complex_id,name,lawd_cd,emd,band,zone,tier,price_now,n_leaders,consensus,consensus_gap,mispricing,mispricing_status,label,reason,leaders
557,광명12차,28237,삼산동,74,Z28237-부평동,6,130000000.0,1,THIN,0.6731182795698925,0.0,PROXY,FALSE_CHEAP,구조적 비중 100% · 과거 전달확률 0%,UPPER_GRADE:5856:74
5796,삼보아파트,41192,도당동,59,Z41192-도당동,5,118125000.0,2,THIN,0.5935845853800058,0.10026995465119012,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),GRADE:5826:59|UPPER_GRADE:2908:59
3930,래미안서초유니빌,11650,서초동,59,Z11650-서초동,2,689500000.0,3,OK,0.5711086775612003,0.08066849984453857,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),GRADE:3543:59|UPPER_GRADE:3888:59|BUYER_CHOICE:3763:84
3895,서초쌍용플래티넘,11650,서초동,59,Z11650-서초동,2,778000000.0,3,DISTORTED,0.4985778158295282,0.05999102941176471,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),GRADE:3543:59|UPPER_GRADE:3888:59|BUYER_CHOICE:3763:84
3895,서초쌍용플래티넘,11650,서초동,74,Z11650-서초동,2,1050000000.0,3,THIN,0.4739286739704175,0.0,PROXY,FALSE_CHEAP,구조적 비중 89% · 과거 전달확률 0% · Follower 무반응(Persistent Cheapness),LOCAL:3944:74|GRADE:3593:74|BUYER_CHOICE:1397:59
4182,도곡우성아파트,11680,도곡동,74,Z11680-역삼동,1,1395000000.0,1,THIN,0.46740667420814475,0.11685166855203619,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),LOCAL:4015:74
3775,방배아크로타워아파트,11650,방배동,59,Z11650-서초동,2,779000000.0,3,DISTORTED,0.46411905238950724,0.07425904838232116,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),GRADE:3543:59|UPPER_GRADE:3888:59|BUYER_CHOICE:3763:84
4528,고덕리엔파크1단지,11740,강일동,59,Z11740-강일동,3,600000000.0,2,THIN,0.4497370554198524,,NOT_CALCULATED,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),GRADE:4498:59|BUYER_CHOICE:8099:59
3942,서초삼성쉐르빌2,11650,서초동,74,Z11650-서초동,2,965000000.0,4,OK,0.4364369587555139,0.0837272647952254,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),LOCAL:3944:74|GRADE:3593:74|UPPER_GRADE:3844:74|BUYER_CHOICE:1397:59
356,삼부아파트,28200,만수동,59,Z28200-만수동,7,95000000.0,1,THIN,0.42186531210502215,0.16015061910786904,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),GRADE:170:59
3418,당산디오빌,11560,당산동5가,59,Z11560-당산동4가,2,770000000.0,4,OK,0.42169800073522046,0.039509326742756604,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),LOCAL:2663:59|GRADE:2623:59|UPPER_GRADE:1282:59|BUYER_CHOICE:2723:59
3879,라인아파트,11650,반포동,84,Z11650-잠원동,1,1400000000.0,3,STRONG,0.4184754837706338,,NOT_CALCULATED,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),LOCAL:3888:84|GRADE:1280:84|BUYER_CHOICE:3632:59
624,미도아파트,28245,효성동,74,Z28245-작전동,7,120000000.0,2,THIN,0.39787907071788103,0.026859758508889768,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),LOCAL:679:74|GRADE:527:74
3952,서초한빛삼성,11650,서초동,59,Z11650-서초동,2,1330000000.0,3,STRONG,0.38611015777400387,0.1043581550430675,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),GRADE:3543:59|UPPER_GRADE:3888:59|BUYER_CHOICE:3632:59
2894,신월대주파크빌,11470,신월동,59,Z11470-신월동,4,515000000.0,2,THIN,0.3758435770818617,0.11839072678078644,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),LOCAL:2908:59|UPPER_GRADE:3006:59
6808,행신윤창,41281,행신동,59,Z41281-행신동,5,148000000.0,2,THIN,0.3729489448528946,0.08125227469292565,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),GRADE:5826:59|UPPER_GRADE:3090:59
3788,방배서리풀e편한세상,11650,방배동,84,Z11650-서초동,2,2810000000.0,3,THIN,0.3644994050410826,0.119418790176101,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),GRADE:3588:84|UPPER_GRADE:3888:84|BUYER_CHOICE:3891:84
