sido,band,complexes,threshold_count,annual_drift,level_first,level_last,gain_17y_median,radius_m,first_year,last_year
경기,A 하위50%,541,0,-0.000744,0.9591,0.9353,0.4784,500,2008,2025
경기,B 중간,319,17,0.000249,1.03,1.0242,0.6581,500,2008,2025
경기,C 상위20%,177,35,0.000844,1.0412,1.0569,0.6176,500,2008,2025
경기,D 상위5%,55,75,0.003215,1.0909,1.1311,0.8742,500,2008,2025
서울,A 하위50%,458,0,-0.000348,0.9879,0.9877,1.1123,500,2008,2025
서울,B 중간,306,13,9.1e-05,1.0,1.0031,1.167,500,2008,2025
서울,C 상위20%,159,25,0.000687,1.0,1.0174,1.1184,500,2008,2025
서울,D 상위5%,49,44,0.003778,1.1296,1.219,1.7964,500,2008,2025
인천,A 하위50%,134,0,-0.000281,0.9786,0.9951,0.283,500,2008,2025
인천,B 중간,85,9,0.000858,1.0,1.0036,0.3191,500,2008,2025
인천,C 상위20%,52,16,0.003978,1.0221,1.0893,0.3264,500,2008,2025
