HOUSE_MANAGE_NO,PBLANC_NO,HOUSE_TY,MODEL_NO,RESIDE_SECD,RESIDE_SENM,SUBSCRPT_RANK_CODE,SUPLY_HSHLDCO,REQ_CNT,CMPET_RATE,HOUSE_NM,HSSPLY_ADRES,RCRIT_PBLANC_DE,SUBSCRPT_AREA_CODE_NM,TOT_SUPLY_HSHLDCO
2026000404,2026000404,060.9495A,01,01,해당지역,1,2,179,179.00,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,060.9495A,01,02,기타지역,1,2,84,262.00,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,060.9495A,01,01,해당지역,2,2,30,-,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,060.9495A,01,02,기타지역,2,2,10,-,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,060.6527B,02,01,해당지역,1,11,295,49.17,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,060.6527B,02,02,기타지역,1,11,152,88.20,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,060.6527B,02,01,해당지역,2,11,24,-,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,060.6527B,02,02,기타지역,2,11,19,-,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,060.9646C,03,01,해당지역,1,16,399,49.88,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,060.9646C,03,02,기타지역,1,16,220,76.38,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,060.9646C,03,01,해당지역,2,16,31,-,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,060.9646C,03,02,기타지역,2,16,27,-,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,084.9079A,04,01,해당지역,1,63,479,14.97,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,084.9079A,04,02,기타지역,1,63,223,21.61,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,084.9079A,04,01,해당지역,2,63,46,-,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,084.9079A,04,02,기타지역,2,63,22,-,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,084.4783B,05,01,해당지역,1,10,45,9.00,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,084.4783B,05,02,기타지역,1,10,27,13.40,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,084.4783B,05,01,해당지역,2,10,7,-,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,084.4783B,05,02,기타지역,2,10,4,-,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,084.9219C,06,01,해당지역,1,12,36,6.00,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,084.9219C,06,02,기타지역,1,12,22,8.67,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
2026000404,2026000404,084.9219C,06,01,해당지역,2,12,6,-,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,인천광역시 서해구 인천검암역세권 공공주택지구 내 B-1BL,2026-08-21,인천,441
