lawd_cd,ym,supply_hh,req_cnt,cmpet_rate,n_types
11110,202105,99,1477,14.92,6
11110,202107,81,1083,13.37,6
11140,202105,141,4126,29.26,6
11140,202204,298,8080,27.11,17
11140,202504,43,594,13.81,5
11140,202608,84,3740,44.52,5
11170,202307,65,10575,162.69,5
11170,202603,78,10528,134.97,5
11200,202308,57,8199,143.84,4
11200,202312,397,15166,38.2,6
11200,202408,73,15239,208.75,5
11200,202506,40,24443,611.08,8
11215,202007,422,27739,65.73,8
11215,202102,27,9919,367.37,2
11215,202307,420,32795,78.08,11
11215,202401,106,449,4.24,7
11215,202405,45,18365,408.11,4
11230,202006,379,20257,53.45,15
11230,202009,99,416,4.2,8
11230,202107,47,1685,35.85,9
11230,202303,329,12286,37.34,7
11230,202306,88,16106,183.02,3
11230,202308,468,28478,60.85,13
11230,202309,24,2094,87.25,5
11230,202310,787,10729,13.63,18
11230,202507,38,2948,77.58,5
11260,202007,91,4412,48.48,9
11260,202011,52,3280,63.08,6
11260,202211,336,2090,6.22,13
11260,202412,596,4430,7.43,15
11260,202505,14,5079,362.79,7
11260,202509,113,1061,9.39,5
11290,202007,123,14706,119.56,4
11290,202111,55,10589,192.53,6
11290,202211,956,2990,3.13,16
11290,202309,42,2691,64.07,2
11290,202407,365,9701,26.58,8
11290,202411,260,5696,21.91,4
11290,202606,510,4873,9.55,18
11305,202010,55,1313,23.87,18
11305,202201,295,10157,34.43,12
11305,202202,145,377,2.6,22
11305,202203,328,2374,7.24,8
11305,202304,138,222,1.61,13
11305,202307,32,65,2.03,4
11305,202604,49,174,3.55,2
11305,202606,6,2571,428.5,3
11320,202104,69,3541,51.32,9
11320,202205,41,298,7.27,5
11320,202310,68,387,5.69,5
11350,202007,432,25484,58.99,10
11350,202409,27,667,24.7,4
11350,202411,1414,16543,11.7,32
11350,202602,29,160,5.52,3
11350,202607,62,3024,48.77,4
11380,202008,855,98896,115.67,39
11380,202302,214,1771,8.28,6
11380,202305,121,6566,54.26,9
11380,202408,148,184,1.24,5
11380,202505,218,1896,8.7,9
11410,202305,52,3328,64.0,2
11410,202402,57,5563,97.6,4
11410,202405,208,1214,5.84,11
11410,202601,151,6655,44.07,18
11410,202608,28,1112,39.71,3
11440,202212,53,792,14.94,5
11440,202311,64,2907,45.42,5
11440,202406,250,35808,143.23,9
11440,202409,94,783,8.33,6
11440,202508,37,490,13.24,6
11440,202604,83,6639,79.99,6
11470,202004,138,17671,128.05,6
11470,202006,48,543,11.31,4
11470,202008,84,12334,146.83,5
11470,202312,45,162,3.6,8
11500,202002,252,36999,146.82,3
11500,202004,208,10291,49.48,14
11500,202006,31,388,12.52,9
11500,202108,37,2288,61.84,8
11500,202211,75,132,1.76,7
11500,202302,81,63,0.78,4
11500,202311,45,47,1.04,2
11500,202408,72,421,5.85,4
11500,202411,139,4083,29.37,5
11500,202603,137,3426,25.01,8
11530,202202,48,1062,22.12,5
11530,202208,186,312,1.68,19
11530,202308,110,2003,18.21,8
11530,202404,60,99,1.65,4
11530,202505,262,2559,9.77,7
11545,202206,17,221,13.0,12
11545,202411,39,345,8.85,4
11560,202202,57,11385,199.74,3
11560,202302,98,13623,139.01,6
11560,202411,57,16531,290.02,4
11560,202506,83,13295,160.18,5
11560,202508,25,210,8.4,3
11560,202603,290,12855,44.33,24
11560,202608,114,14302,125.46,20
11590,202005,800,42075,52.59,19
11590,202308,401,4269,10.65,6
11590,202406,47,475,10.11,4
11590,202510,76,21737,286.01,12
11590,202604,180,4843,26.91,7
11590,202605,343,9471,27.61,24
11590,202606,87,1437,16.52,7
11590,202607,34,3903,114.79,10
11620,202103,18,3922,217.89,2
11620,202107,43,994,23.12,10
11620,202203,18,1207,67.06,4
11620,202306,99,2213,22.35,5
11620,202309,51,2658,52.12,5
11650,202003,67,8358,124.75,5
11650,202005,98,11205,114.34,5
11650,202006,42,1680,40.0,4
11650,202010,35,10507,300.2,8
11650,202106,224,36116,161.23,6
11650,202401,81,35828,442.32,8
11650,202405,1,35076,35076.0,1
11650,202407,178,93864,527.33,13
11650,202408,650,58684,90.28,10
11650,202411,71,34279,482.8,6
11650,202501,268,40635,151.62,11
11650,202510,230,54631,237.53,7
11650,202603,73,63513,870.04,15
11680,202007,1241,43811,35.3,22
11680,202407,71,28611,402.97,7
11680,202409,122,94663,775.93,12
11680,202512,44,21432,487.09,6
11710,202011,290,47031,162.18,8
11710,202311,169,25783,152.56,9
11710,202410,307,82487,268.69,16
11710,202508,110,69476,631.6,5
11740,202006,135,11611,86.01,4
11740,202007,691,22205,32.13,14
11740,202008,67,8093,120.79,5
11740,202010,26,13964,537.08,3
11740,202012,458,62436,136.32,15
11740,202109,389,71645,184.18,26
11740,202211,3748,14428,3.85,26
11740,202212,106,5723,53.99,1
11740,202306,18,467,25.94,4
11740,202307,31,210,6.77,7
11740,202310,270,13716,50.8,28
11740,202312,49,138,2.82,6
11740,202402,84,3349,39.87,6
11740,202407,189,2520,13.33,13
11740,202408,56,1546,27.61,5
11740,202410,29,279,9.62,9
11740,202505,343,18275,53.28,5
28110,202004,418,973,2.33,6
28110,202005,457,732,1.6,5
28110,202007,1210,427,0.35,10
28110,202101,893,3886,4.35,9
28110,202109,148,2831,19.13,7
28110,202111,541,2918,5.39,5
28110,202203,35,177,5.06,3
28110,202210,1198,249,0.21,11
28110,202212,558,27,0.05,12
28110,202304,15,8,0.53,2
28110,202311,305,6,0.02,3
28110,202404,533,9,0.02,3
28110,202411,429,104,0.24,5
28110,202509,160,12,0.07,3
28110,202512,2112,278,0.13,17
28110,202603,249,9,0.04,4
28140,202005,5,53,10.6,1
28140,202207,487,327,0.67,7
28140,202302,45,112,2.49,2
28140,202406,325,18,0.06,6
28177,202006,950,8219,8.65,9
28177,202007,336,316,0.94,12
28177,202103,621,8091,13.03,10
28177,202104,246,6633,26.96,10
28177,202106,628,10670,16.99,7
28177,202109,253,11797,46.63,11
28177,202111,973,14161,14.55,17
28177,202205,383,1794,4.68,7
28177,202207,73,75,1.03,2
28177,202208,92,24,0.26,4
28177,202212,139,10,0.07,6
28177,202302,687,221,0.32,7
28177,202305,50,11,0.22,8
28177,202307,308,240,0.78,12
28177,202311,411,61,0.15,5
28177,202409,1161,5004,4.31,9
28177,202411,548,200,0.36,13
28177,202502,18,30,1.67,4
28177,202503,179,19,0.11,3
28177,202504,988,2804,2.84,9
28177,202508,380,42,0.11,7
28177,202509,11,14,1.27,8
28177,202510,857,564,0.66,5
28177,202511,1124,926,0.82,8
28177,202608,1756,643,0.37,10
28185,202002,266,9753,36.67,6
28185,202003,804,36078,44.87,9
28185,202005,190,19031,100.16,7
28185,202006,624,18387,29.47,11
28185,202007,40,1365,34.12,3
28185,202101,1368,11672,8.53,26
28185,202102,71,1837,25.87,9
28185,202105,394,2428,6.16,10
28185,202108,31,2036,65.68,1
28185,202109,24,373,15.54,4
28185,202110,39,588,15.08,8
28185,202111,1533,7468,4.87,20
28185,202112,486,8276,17.03,9
28185,202201,1114,2002,1.8,16
28185,202202,1078,3713,3.44,16
28185,202206,77,52,0.68,11
28185,202207,69,58,0.84,5
28185,202210,130,10,0.08,4
28185,202301,94,6,0.06,1
28185,202309,104,20,0.19,4
28185,202402,2506,2916,1.16,39
28185,202406,32,564,17.62,8
28185,202408,588,2760,4.69,23
28185,202410,611,15124,24.75,10
28185,202412,777,12110,15.59,17
28185,202504,1,126,126.0,1
28185,202506,118,105,0.89,3
28185,202512,466,114,0.24,5
28185,202603,125,18,0.14,4
28185,202605,1036,14616,14.11,47
28200,202002,40,53,1.32,1
28200,202006,180,1164,6.47,2
28200,202204,88,1679,19.08,8
28200,202207,208,1339,6.44,5
28200,202212,400,164,0.41,3
28200,202601,337,765,2.27,3
28200,202605,451,236,0.52,3
28237,202003,487,28383,58.28,5
28237,202004,53,8766,165.4,6
28237,202005,736,44707,60.74,22
28237,202006,108,6363,58.92,4
28237,202007,304,667,2.19,4
28237,202012,2075,24236,11.68,12
28237,202111,502,6481,12.91,9
28237,202207,266,656,2.47,5
28237,202302,169,172,1.02,2
28237,202404,44,73,1.66,7
28237,202410,102,101,0.99,3
28237,202504,689,1451,2.11,11
28237,202509,247,583,2.36,8
28237,202601,25,51,2.04,6
28237,202603,29,24,0.83,1
28245,202104,28,1221,43.61,6
28245,202107,408,20036,49.11,8
28245,202108,65,2034,31.29,12
28245,202112,66,1016,15.39,2
28245,202203,81,637,7.86,3
28245,202209,300,135,0.45,6
28245,202309,1114,1203,1.08,13
28245,202312,341,1031,3.02,5
28245,202404,944,466,0.49,6
28245,202407,1673,501,0.3,7
28260,202002,645,723,1.12,3
28260,202003,702,5896,8.4,11
28260,202005,3134,48318,15.42,20
28260,202006,390,2178,5.58,10
28260,202104,1380,14135,10.24,16
28260,202106,49,316,6.45,5
28260,202112,1093,18049,16.51,19
28260,202203,1665,20256,12.17,22
28260,202205,26,144,5.54,5
28260,202206,352,659,1.87,3
28260,202208,324,2721,8.4,3
28260,202303,1027,928,0.9,11
28260,202304,609,109,0.18,6
28260,202306,229,3817,16.67,3
28260,202307,1275,553,0.43,4
28260,202309,799,16294,20.39,14
28260,202310,363,1305,3.6,6
28260,202311,2305,1111,0.48,13
28260,202312,417,8749,20.98,6
28260,202401,240,5839,24.33,5
28260,202402,502,878,1.75,10
28260,202404,93,64,0.69,9
28260,202410,653,1043,1.6,6
28260,202507,522,4087,7.83,4
28260,202508,620,104,0.17,15
28260,202509,1401,352,0.25,9
28260,202603,204,4032,19.76,2
28260,202605,379,520,1.37,3
28260,202606,1307,6617,5.06,10
28275,202608,114,1433,12.57,6
28710,202109,411,197,0.48,7
28710,202210,30,0,0.0,4
28710,202412,14,4,0.29,5
28710,202508,371,7,0.02,5
41110,202111,28,3247,115.96,6
41110,202410,44,28,0.64,10
41111,202004,284,5362,18.88,9
41111,202006,226,7771,34.38,9
41111,202102,543,8138,14.99,4
41111,202103,850,17744,20.88,14
41111,202111,30,642,21.4,10
41111,202401,222,74,0.33,5
41111,202409,672,606,0.9,2
41111,202504,1678,193,0.12,14
41111,202602,127,907,7.14,4
41113,202002,408,6788,16.64,6
41113,202111,33,1639,49.67,5
41113,202208,66,294,4.45,4
41113,202309,173,43,0.25,6
41113,202310,431,108,0.25,3
41113,202312,959,1584,1.65,9
41113,202510,856,436,0.51,19
41113,202511,391,117,0.3,9
41113,202605,82,140,1.71,2
41115,202002,1074,81991,76.34,8
41115,202006,1349,19449,14.42,8
41115,202104,45,170,3.78,4
41115,202209,6,1865,310.83,4
41115,202302,516,250,0.48,7
41115,202405,119,75,0.63,4
41117,202004,374,5981,15.99,3
41117,202007,418,14941,35.74,8
41117,202009,927,14079,15.19,7
41117,202010,694,17496,25.21,13
41117,202108,84,4407,52.46,3
41117,202109,151,11039,73.11,4
41117,202205,1031,8802,8.54,10
41117,202402,368,2760,7.5,4
41117,202508,393,3545,9.02,5
41131,202007,371,10754,28.99,10
