complex_id,pnu,bldNm,platArea,archArea,totArea,vlRatEstmTotArea,vlRat,bcRat,hhldCnt,mainBldCnt,useAprDay,n_items
10,2817710200104750035,,,,,,,,,,,0
13,2817710200106900000,엘에이치미추홀3단지,26651.6,6150.99,84146.12,65983.07,247.58,23.08,1500,11,20181203,1
14,2817710200106640000,인천 SK Sky VIEW,197343.6,25605.477,652825.0758,471595.8112,238.97,12.98,3971,32,20160623,1
26,2817710200106270040, ,0,9762.38,138465.07,127799.66,0,0,1170,13, ,1
27,2817710200106470000,용현2단지금호타운,60732,10122.38,143291.016,136098.666,224.1,16.67,1306,16,19991101,1
41,2817710300105870397,,,,,,,,,,,0
50,2817710300107190000,"동아,풍림아파트",62792,13160.0431,256510.4414,188369.8414,299.99,20.96,1520,24, ,1
51,2817710300107210000,학익동풍림아이원아파트,95920.5,15253.8786,305651.1645,239551.1033,249.74,15.9,2090,29,20071213,1
69,2817710400110110000,더샵 인천스카이타워 1단지,36570.2,13030.34,247027.2083,160622.7044,439.22,35.63,1309,9,20201125,1
71,2817710400110090000,e편한세상 도화 6-1단지,46320.1,7265.54,160407.95,113523.74,245.09,15.69,1173,12,20180125,1
80,2817710500106050001,,,,,,,,,,,0
88,2817710500116620000,주안파크자이더플래티넘,72469.2,10677.29,269877.1815,180249.4332,248.73,14.73,2054,15,20230224,1
90,2817710500115770047,,,,,,,,,,,0
92,2817710500116280000,주안역 센트레빌,45106.5,7671.7631,185610.6967,132515.4484,293.7835,17.0081,1458,13,20210727,1
98,2817710500116140000,주안더월드스테이트,113946,20786.359,479450.39,362022.116,317.71,18.24,3160,42,20080528,1
100,2817710500116210000,인천관교 한신휴플러스,62973.9,11580.1947,213187.9334,157150.8934,249.55,18.39,1509,20,20100730,1
134,2818510100106260000,럭키송도아파트,49788.9,10592.54,152593.93,162267.5,325.91099,21.274902,1304,18, ,1
136,2818510100106370001,현대아파트,35748.4,6800.339,120746.999,98012.495,274.17309,19.02,1011,11, ,1
137,2818510100106330000,"현대2차아파트,상가,유치원",38499,7882.433,384396.429,124149.684,322.48,20.47,1180,11, ,1
149,2818510200103470000, ,0,36911.6,129684.22,79708.56,0,0,1300,15, ,1
168,2818510300105820002, ,0,0.0,0.0,0.0,0,0,3643,34, ,1
169,2818510300106350000,연수1차우성아파트,65459.4,8678.358,154164.151,144405.995,220.6,13.26,1088,19,19940902,1
170,2818510300106340000,우성아파트,78441,10118.89,203473.762,0.0,200.476,12.9,2044,22, ,1
172,2818510300105330000, ,0,141012.02,141012.92,130047.75,0,0,2614,17, ,1
173,2818510300105780002, ,37144.3,5435.33,74790.48,69063.71,185.93,14.63,1170,9,19931028,1
178,2818510300105820002, ,0,0.0,0.0,0.0,0,0,3643,34, ,1
179,2818510300105820002, ,0,0.0,0.0,0.0,0,0,3643,34, ,1
193,2818510500107570012,,,,,,,,,,,0
195,2818510500200510007,,,,,,,,,,,0
196,2818510500111310001,연수 서해그랑블 1단지,56056.2,9241.6826,164655.94,110269.88,196.71,16.49,1043,15,20171229,1
198,2818510500109250000,한양아파트,58279,102011.5304,275001.22,128998.08,221.35,175.04,1020,13, ,1
199,2818510500109240003,삼성아파트,60404,19403.72,279686.04000000004,283820.6,268.98,15.082842,1620,14, ,2
200,2818510500109250007,"대우,삼환아파트 전체동",101114.488,32037.76,347330.30000000005,208528.4086,206.22999,15.842319,2664,20, ,2
203,2818510500109310000,무지개마을,71646.1,12779.739,105494.27,123109.35,171.83,17.84,1068,16, ,1
206,2818510500109290000,연수2차풍림아파트,83160,12930.41,103468.45,93926.38,112.95,15.55,1200,19, ,1
207,2818510500109320000,연수2차한양아파트,125615.5,31059.85,147130.034,129897.081,103.41,24.73,0,44, ,1
208,2818510500109280000,"현대아파트,현대상가,유치원",93372,412148.88,161505.43,104310.52,111.71,441.41,1040,26, ,1
209,2818510500109430000,동남아파트,79794.3,9939.68,102537.24,95657.93,119.88,12.45,1350,9, ,1
210,2818510500109230000,연수타운,95535,13322.926,145555.758,139183.41,145.69,13.95,1056,20, ,1
223,2818510600103960001,송도 Luxe Ocean SK VIEW,67158,8873.5583,194835.2861,137555.1899,204.82,13.21,1114,9,20250225,1
224,2818510600103960011,송도자이 더 스타,103853.64,15619.8515,287876.7477,191295.3029,182.96,14.94,1533,10,20241227,1
227,2818510600100300002,힐스테이트 송도 더스카이,32909.9,11630.2064,320430.1902,213890.5527,649.93,35.34,1205,10,20240529,1
228,2818510600103960007,송도자이크리스탈오션,101606.6,14566.7106,288500.7133,197717.3194,194.59,14.34,1503,17,20240627,1
229,2818510600103970005,힐스테이트 레이크 송도 3차,66046.6,8714.09,211600.29,133755.92,202.52,13.19,1100,10,20231024,1
232,2818510600103120001,송도동 312-1외1필-호반 써밋 송도,66114.7,16483.2051,454649.8956,336708.9695,509.28,24.9312,1820,11,20230214,1
237,2818510600103110001,,,,,,,,,,,0
238,2818510600103080001,더샵송도 마리나베이,180714.8,22162.6177,479861.2567,348553.2502,192.87,12.26,3100,31,20200713,1
239,2818510600103100001,송도 오션파크 베르디움,74023,8861.1685,234226.8981,172175.0117,232.6,11.97,1530,12,20200214,1
241,2818510600103150001,송도 SK VIEW,105021.9,11848.1786,334980.5067,243571.52,231.93,11.28,2100,14,20190709,1
245,2818510600103190001,e편한세상 송도,121938.7204,15252.584,3986783503.0,2844507236.0,233.27,12.51,2708,19,20181106,1
246,2818510600101900004,송도 더샵 센트럴시티,97558.6,33038.65,395418.33,292643.27,299.97,33.87,2610,19,20180921,1
247,2818510600101910002,송도 글로벌파크 베르디움,60706.3,7683.8764,168480.7574,121198.1251,199.65,12.66,1153,11,20171101,1
251,2818510600101920008,베르디움 더퍼스트,98094.2,13082.7841,267667.0774,195877.9595,199.68,13.34,1834,17,20170201,1
252,2818510600101910004,송도 에듀포레 푸르지오,75338.2,8473.063,207749.641,154377.22,204.913,11.247,1406,9,20160825,1
253,2818510600101490000,롯데캐슬 캠퍼스타운,57091.6,14714.7577,391585.616,256427.3995,449.15,25.77,1230,10,20160310,1
263,2818510600100020007,송도풍림아이원아파트,71868,8944.0145,147320.054,125664.444,174.85,12.45,1024,19,20050718,1
266,2818510600100150002,더샵 엑스포,33102.3,5925.4384,77409.5497,53662.2715,162.11,17.9,356,7,20090930,1
283,2818510600101610003,송도 캐슬&해모로,83467.6,12049.6234,246707.4595,183628.1096,219.99,14.44,1439,15,20130930,1
284,2818510600101900002,글로벌 캠퍼스 푸르지오,94273.8,23374.69,437309.16,311007.77,329.9,24.79,1703,15,20131015,1
285,2818510600101920001,더샵  그린스퀘어,96614.4,9440.74,263862.2119,192289.0589,199.03,9.77,1516,14,20140311,1
294,2818510600100040001,송도동 4-1,103154,28435.997,513606.312,369598.263,358.2976,27.5665,156,13,20090122,1
299,2820010100116360000,한화 포레나 인천구월,42823.6,7080.6972,153490.908,101123.2854,236.14,16.53,1115,12,20231129,1
