complex_id,band,name,lawd_cd,price_now,pred_log5y,base_factor,bear_factor,bull_factor,market_scenario_log,tier,emd_lead_months,market_scenario_note,dist_center_km,model,status
628,59,e편한세상 계양 더프리미어아파트,28245,491800000,-0.0451,1.0963,0.975,1.2763,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",7.0,,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",10.55,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
628,74,e편한세상 계양 더프리미어아파트,28245,569300000,-0.0989,1.0389,0.9239,1.2095,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",7.0,,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",10.55,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
628,84,e편한세상 계양 더프리미어아파트,28245,632000000,-0.0433,1.0982,0.9767,1.2786,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",7.0,,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",10.55,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
245,74,e편한세상송도아파트,28185,556000000,-0.0445,1.097,0.9756,1.2772,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",23.53,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
245,84,e편한세상송도아파트,28185,638900000,-0.0613,1.0787,0.9594,1.2559,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",23.53,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
944,59,가재울역트루엘에코시티아파트,28275,421500000,-0.0807,1.0544,0.9341,1.2405,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",7.0,-2.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",14.94,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
944,84,가재울역트루엘에코시티아파트,28275,559600000,-0.0854,1.0495,0.9297,1.2346,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",7.0,-2.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",14.94,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
945,59,"가좌두산위브트레지움1,2단지아파트",28275,385900000,-0.081,1.054,0.9337,1.24,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",7.0,-2.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",14.63,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
945,84,"가좌두산위브트레지움1,2단지아파트",28275,514700000,-0.0869,1.0478,0.9282,1.2327,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",7.0,-2.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",14.63,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
954,59,가좌한신휴플러스아파트,28275,341650000,-0.031,1.1081,0.9817,1.3037,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",7.0,-2.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",14.44,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
954,84,가좌한신휴플러스아파트,28275,415250000,-0.0248,1.115,0.9877,1.3117,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",7.0,-2.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",14.44,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
1087,74,검단 금호어울림 센트럴,28290,693700000,-0.0849,1.05,0.9302,1.2353,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,5.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",10.06,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
1087,84,검단 금호어울림 센트럴,28290,762900000,-0.0918,1.0428,0.9237,1.2267,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,5.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",10.06,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
1052,84,검단 신안인스빌어반퍼스트,28290,517800000,-0.0379,1.1005,0.9749,1.2947,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",5.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",10.03,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
1081,74,검단신도시 예미지 트리플에듀 아파트,28290,599150000,-0.0522,1.0848,0.961,1.2763,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,5.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",10.22,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
1081,84,검단신도시 예미지 트리플에듀 아파트,28290,606700000,-0.0527,1.0843,0.9606,1.2756,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,5.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",10.22,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
1055,74,검단신도시디에트르더펠리체아파트,28290,566100000,-0.0447,1.093,0.9683,1.2859,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",5.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",10.16,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
1055,84,검단신도시디에트르더펠리체아파트,28290,595900000,-0.0475,1.0899,0.9655,1.2822,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",5.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",10.16,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
1086,74,검단푸르지오더베뉴,28290,651400000,-0.0874,1.0473,0.9278,1.2321,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,5.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",10.48,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
1086,84,검단푸르지오더베뉴,28290,720000000,-0.0912,1.0434,0.9243,1.2275,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,5.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",10.48,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
1088,74,검단호반써밋1차,28290,652900000,-0.0897,1.045,0.9257,1.2293,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,5.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",10.59,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
1088,84,검단호반써밋1차,28290,713300000,-0.0956,1.0388,0.9203,1.2221,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,5.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",10.59,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
718,59,계양효성해링턴플레이스,28245,461000000,-0.078,1.0609,0.9435,1.2351,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",5.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",7.91,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
