시군명,업종구분명,시설명,교습과정명,전화번호,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
가평군,학원,강남고도 미대재수학원,입시.검정 및 보습,02-3462-9114,12431,경기도 가평군 조종면 상판리 80번지 2층,"경기도 가평군 조종면 명지산로 540 , 2층 (조종면)",37.9144580240,127.3873027965
가평군,교습소,비상잉글리시아이설악영어교습소,보통교과,,12465,경기도 가평군 설악면 신천리 494-2번지 2층,"경기도 가평군 설악면 신천중앙로120번길 18 , 2층 (설악면)",37.6793299450,127.4916192801
가평군,학원,새로운잉글리쉬학원,입시.검정 및 보습,031-582-8205,12421,경기도 가평군 가평읍 대곡리 111-3번지 2층,"경기도 가평군 가평읍 호반로 2605 , 2층  (가평읍)",37.8184314186,127.5142365074
가평군,학원,수학의 신 학원,입시.검정 및 보습,,12437,경기도 가평군 조종면 현리 283-3번지 2층,"경기도 가평군 조종면 조종새싹로 30 , 2층 (조종면)",37.8213378174,127.3497328942
가평군,학원,우리들고시학원,인문사회(대),031-584-3434,12449,경기도 가평군 청평면 상천리 295번지 6층,"경기도 가평군 청평면 경춘로 1401 , 6층 (청평면)",37.7770645770,127.4621518903
가평군,학원,아뮤즈음악학원,예능(대),031-585-5228,12437,경기도 가평군 조종면 현리 274-16번지 2층,"경기도 가평군 조종면 조종새싹로 14 , 2층 (조종면)",37.8201468318,127.3487581625
가평군,학원,J&J뮤직아카데미음악학원,예능(대),031-585-3218,12453,경기도 가평군 청평면 청평리 406-9번지 2층,"경기도 가평군 청평면 잠곡로 28 , 2층 (청평면)",37.7368815504,127.4217683632
가평군,학원,예담아카데미학원,입시.검정 및 보습,031-584-4663,12453,경기도 가평군 청평면 청평리 434-62번지 2층,"경기도 가평군 청평면 청평중앙로 32 , 2층 (청평면)",37.7369063914,127.4185223976
가평군,학원,EiE 고려대학교영어교육프로그램 가평어학원,국제화,,12418,경기도 가평군 가평읍 읍내리 493-6번지 원희빌딩 2층,"경기도 가평군 가평읍 석봉로 168 , 2층 (가평읍, 원희빌딩)",37.8301218488,127.5109773701
가평군,학원,깊은생각영수전문학원,입시.검정 및 보습,031-585-8510,12465,경기도 가평군 설악면 신천리 450-3번지 2층,"경기도 가평군 설악면 신천중앙로 128 , 2층 (설악면)",37.6782121355,127.4897368837
가평군,학원,청평실력이쑥쑥학원,입시.검정 및 보습,,12451,경기도 가평군 청평면 청평리 445-3번지 1층,"경기도 가평군 청평면 경춘로 807-11 , 1층 (청평면)",37.7378877954,127.4170231764
가평군,학원,월광음악학원,예능(대),031-584-5717,12453,경기도 가평군 청평면 청평리 434-53번지 2층 우리식당,"경기도 가평군 청평면 청평중앙로 26 , 2층 (청평면, 우리식당)",37.7366354962,127.4178076825
가평군,학원,튼튼나무학원,입시.검정 및 보습,070-4897-3140,12453,경기도 가평군 청평면 청평리 413-5번지,경기도 가평군 청평면 잠곡로 14 (청평면),37.7368084403,127.4202703162
가평군,학원,트리니티어학원,국제화,,,,"경기도 가평군 가평읍 석봉로 147번길 , 2층 (가평읍)",,
가평군,학원,바하음악학원,예능(대),031-582-4834,12418,경기도 가평군 가평읍 읍내리 461-13번지 1층,"경기도 가평군 가평읍 연인2길 11 , 1층 (가평읍)",37.8298513213,127.5123182422
가평군,교습소,감성채움피아노교습소,예능,,12452,경기도 가평군 청평면 청평리 315-1번지 2층,"경기도 가평군 청평면 청평중앙로 72 , 2층 (청평면)",37.7394233820,127.4218905364
가평군,학원,가우스학원,입시.검정 및 보습,,12418,경기도 가평군 가평읍 읍내리 339-7번지 2층,"경기도 가평군 가평읍 연인길 7 , 2층 (가평읍)",37.8282107845,127.5136020350
가평군,학원,스카이학원,입시.검정 및 보습,,12421,경기도 가평군 가평읍 대곡리 68-4번지 2층,"경기도 가평군 가평읍 호반로 2598 , 2층 (가평읍)",37.8177914186,127.5147590279
가평군,학원,모짜르트음악학원,예능(대),031-585-3307,12437,경기도 가평군 조종면 현리 285-2번지,경기도 가평군 조종면 조종새싹로 33 (조종면),37.8216170218,127.3495732546
가평군,교습소,스마트에듀영어교습소,보통교과,,12417,경기도 가평군 가평읍 읍내리 555번지 1층,"경기도 가평군 가평읍 향교로27번길 5 , 1층 (가평읍)",37.8304915997,127.5084092148
가평군,학원,중앙음악학원,예능(대),031-582-0106,12417,경기도 가평군 가평읍 읍내리 495-28번지 102호,"경기도 가평군 가평읍 향교로 38-7 , 102호 (가평읍)",37.8303201999,127.5102955754
가평군,교습소,뿌리수학교습소,보통교과,,12416,경기도 가평군 가평읍 대곡리 378번지 102호,"경기도 가평군 가평읍 석봉로 77번길 27 , 102호 ",37.8227040491,127.5105785815
가평군,교습소,홍익in미술교습소,예능,031-584-0643,12437,경기도 가평군 조종면 현리 274-16번지 1층,"경기도 가평군 조종면 조종새싹로 14 , 1층 (조종면)",37.8201468318,127.3487581625
가평군,학원,이지학원,입시.검정 및 보습,031-584-3388,12452,경기도 가평군 청평면 청평리 389-13번지 이지학원,"경기도 가평군 청평면 청평중앙로72번길 24-5 (청평면, 이지학원)",37.7375220339,127.4225848556
가평군,교습소,라하잉글리시영어교습소,보통교과,,12465,경기도 가평군 설악면 신천리 491-3번지 1층,"경기도 가평군 설악면 신천중앙로120번길 8 , 1층 (설악면)",37.6785637702,127.4911203821
가평군,교습소,연정서예교습소,기타,031-581-2332,12417,경기도 가평군 가평읍 대곡리 276-7번지 연정서예교습소,"경기도 가평군 가평읍 석봉로 135 , 연정서예교습소 (가평읍)",37.8271925276,127.5114314663
가평군,학원,상상학원,입시.검정 및 보습,,12417,경기도 가평군 가평읍 대곡리 258-1번지 2층 상상학원,"경기도 가평군 가평읍 광장로 4 , 2층 상상학원 (가평읍)",37.8265616048,127.5114427322
가평군,학원,아트슐레미술학원,예능(대),031-585-7435,12465,경기도 가평군 설악면 신천리 450-3번지 2층,"경기도 가평군 설악면 신천중앙로 126-7 , 2층 (설악면)",37.6783743756,127.4897255209
가평군,학원,청명멘토르학원,입시.검정 및 보습,031-582-0789,12417,경기도 가평군 가평읍 읍내리 536-5번지,경기도 가평군 가평읍 석봉로153번길 6 (가평읍),37.8289051155,127.5104999221
가평군,교습소,마이피아노교습소,예능,031-582-9078,12417,경기도 가평군 가평읍 읍내리 538-4번지 이상아아뜰리에,"경기도 가평군 가평읍 향교로 9 (가평읍, 이상아아뜰리에)",37.8293558324,127.5098181707
가평군,교습소,스텝업잉글리쉬영어교습소,보통교과,,12417,경기도 가평군 가평읍 읍내리 539-5번지 1층,"경기도 가평군 가평읍 광장로 22번길 , 36, 1층 (가평읍)",37.8291576047,127.5090454226
가평군,학원,랭스쿨학원,입시.검정 및 보습,,12417,경기도 가평군 가평읍 대곡리 285번지 2층,"경기도 가평군 가평읍 석봉로153번길 10 , 2층 (가평읍)",37.8287699586,127.5100339995
가평군,학원,세움미술학원,예능(대),031-582-5903,12416,경기도 가평군 가평읍 대곡리 261-3번지 4층,"경기도 가평군 가평읍 석봉로 121 , 4층 (가평읍)",37.8260478207,127.5117835452
가평군,학원,늘푸른입시종합학원,입시.검정 및 보습,031-582-7580,12416,경기도 가평군 가평읍 대곡리 312번지 늘푸른입시학원,"경기도 가평군 가평읍 광장로 27 , 늘푸른입시학원 (가평읍)",37.8256695262,127.5088290994
가평군,학원,염은혜음악학원,예능(대),031-585-7074,12451,경기도 가평군 청평면 청평리 445-3번지 스페이스헬스클럽,"경기도 가평군 청평면 경춘로 807-11 (청평면, 스페이스헬스클럽)",37.7378877954,127.4170231764
가평군,학원,탑엘리트 해법영어학원,입시.검정 및 보습,,12437,경기도 가평군 조종면 현리 283-3번지,경기도 가평군 조종면 조종새싹로 28 (조종면),37.8211844925,127.3496536687
가평군,학원,ASG 영어 수학 학원,입시.검정 및 보습,031-585-8209,12465,경기도 가평군 설악면 신천리 446-1번지 2층 동서울부동산,"경기도 가평군 설악면 신천중앙로132번길 14 , 2층 (설악면, 동서울부동산)",37.6793027239,127.4893738324
가평군,학원,청평한샘기숙학원,입시.검정 및 보습,031-585-1301,12446,경기도 가평군 상면 덕현리 355-5번지 청평한샘기숙학원,"경기도 가평군 상면 녹수계곡로 28-1 , 청평한샘기숙학원 (상면)",37.7647295721,127.3947399689
가평군,학원,선학한국어학원,입시.검정 및 보습,,12461,경기도 가평군 설악면 송산리 644번지 1층,"경기도 가평군 설악면 미사리로 238-45 , 1층 (설악면)",37.6841335255,127.5141881173
가평군,학원,위너영수학원,입시.검정 및 보습,,12454,경기도 가평군 청평면 청평리 626-7번지,경기도 가평군 청평면 구청평로 57 (청평면),37.7329640150,127.4135218808
가평군,교습소,이지기타음악교습소,예능,,12465,경기도 가평군 설악면 신천리 496-2번지 2층,"경기도 가평군 설악면 신천중앙로120번길 28 , 2층 (설악면)",37.6799609377,127.4924357438
가평군,학원,세일즈 능력 개발 학원,직업기술,031-584-5881,12467,경기도 가평군 설악면 신천리 407-13번지 세일즈능력개발학원,"경기도 가평군 설악면 신천중앙로 79 , 세일즈능력개발학원 (설악면)",37.6758599130,127.4936155344
가평군,학원,한샘여학생기숙학원,입시.검정 및 보습,031-585-1307,12446,경기도 가평군 상면 덕현리 585-5번지 한샘여학생기숙학원,"경기도 가평군 상면 녹수계곡로 126-27 (상면, 한샘여학생기숙학원)",37.7747171688,127.3957704902
가평군,학원,청평리더스보습학원,입시.검정 및 보습,031-584-5918,12452,경기도 가평군 청평면 청평리 333-9번지,경기도 가평군 청평면 은고개로 36 (청평면),37.7388117189,127.4237865840
가평군,교습소,새로운ENG영어교습소,보통교과,,12416,경기도 가평군 가평읍 대곡리 245번지 2층,"경기도 가평군 가평읍 석봉로 126 , 2층 (가평읍)",37.8263902888,127.5121017674
가평군,학원,뮤직칸타레음악학원,예능(대),031-584-1361,12465,경기도 가평군 설악면 신천리 435-1번지 뮤직칸타레음악학원,"경기도 가평군 설악면 신천중앙로120번길 4-5 , 뮤직칸타레음악학원 (설악면)",37.6783564638,127.4911430879
가평군,학원,폭스바디무용학원,예능(대),031-582-2044,12417,경기도 가평군 가평읍 읍내리 575-3번지 2층 2호 폭스바디무용학원,"경기도 가평군 가평읍 향교로27번길 11 , 2층2호 폭스바디무용학원 (가평읍)",37.8311585872,127.5082161049
가평군,학원,조이스학원,입시.검정 및 보습,031-581-0533,12417,경기도 가평군 가평읍 읍내리 495-28번지 4층,"경기도 가평군 가평읍 향교로 38-7 , 4층 (가평읍)",37.8303201999,127.5102955754
가평군,학원,국가공무원학원,인문사회(대),,12449,경기도 가평군 청평면 상천리 295번지 5층,"경기도 가평군 청평면 경춘로 1401 , 5층 (청평면)",37.7770645770,127.4621518903
가평군,학원,랩씨앤씨커피교육학원,직업기술,080-070-7052,12451,경기도 가평군 청평면 청평리 312-9번지 1층,"경기도 가평군 청평면 톳골길 3 , 1층 (청평면)",37.7400717338,127.4209818614
가평군,학원,카인드매쓰학원,입시.검정 및 보습,,12417,경기도 가평군 가평읍 대곡리 277-7번지 2층,"경기도 가평군 가평읍 석봉로 141 , 2층 (가평읍)",37.8277153054,127.5112838236
가평군,교습소,차수학청평교습소,보통교과,,12452,경기도 가평군 청평면 청평리 313-18번지 한영미란채 201호,"경기도 가평군 청평면 톳골길 68 , 201호 (청평면, 한영 미란채)",37.7392696573,127.4211416112
가평군,학원,웅진씽크빅 스마트올클래스 설악학원,입시.검정 및 보습,,12467,경기도 가평군 설악면 신천리 454-1번지 2층,"경기도 가평군 설악면 신천중앙로 121 , 2층 (설악면)",37.6779147378,127.4902585854
가평군,학원,실력이쑥쑥학원,입시.검정 및 보습,031-584-0543,12437,경기도 가평군 조종면 현리 285-2번지 2층,"경기도 가평군 하면 조종새싹로 33 , 2층 (하면)",37.8216170218,127.3495732546
가평군,학원,싸일러스학원,입시.검정 및 보습,,12416,경기도 가평군 가평읍 대곡리 261-10번지 오토오아시스 3층,"경기도 가평군 가평읍 석봉로 123 , 3층 (가평읍, 오토오아시스)",37.8262461149,127.5117381243
가평군,교습소,연세피아노교습소,예능,,12417,경기도 가평군 가평읍 대곡리 285-13번지 1층,"경기도 가평군 가평읍 석봉로153번길 16 , 1층 (가평읍)",37.8286978976,127.5094999059
가평군,학원,클나무음악학원,예능(대),031-585-3803,12437,경기도 가평군 조종면 현리 231-11번지,경기도 가평군 조종면 조종새싹로 39 (조종면),37.8221664604,127.3492880776
가평군,교습소,연필의작업실미술교습소,예능,070-4226-1553,12419,경기도 가평군 가평읍 읍내리 474-18번지 2층,"경기도 가평군 가평읍 가화로 110 , 2층 (가평읍)",37.8295536883,127.5140909171
가평군,교습소,뮤직아카데미음악교습소,예능,031-584-8382,12465,경기도 가평군 설악면 신천리 435-3번지 2층 한서종합신발,"경기도 가평군 설악면 신천중앙로 120 , 2층 (설악면, 한서종합신발)",37.6782482628,127.4906214378
가평군,학원,디자인포스미술학원,예능(대),031-581-7833,12417,경기도 가평군 가평읍 읍내리 495-32번지 2층 디자인포스미술학원,"경기도 가평군 가평읍 석봉로 163 , 2층 디자인포스미술학원 (가평읍)",37.8297162878,127.5106364007
가평군,학원,광릉한샘기숙학원,입시.검정 및 보습,,12431,경기도 가평군 조종면 상판리 80번지 광릉한샘기숙학원,"경기도 가평군 조종면 명지산로 540 , 광릉한샘기숙학원 (조종면)",37.9144580240,127.3873027965
