complex_id,complex_name,lawd_cd,sigun,zone_name,biz_type,biz_step,addr,lat,lon,match_meters,match_by,existing_far,planned_far,existing_households,정비구역지정,추진위,안전진단,조합설립,사업시행인가,관리처분,착공,준공
6729,관산주공그린빌,41281,고양시,관산Ⅱ-1구역,재건축,예정구역,경기도 고양시 덕양구 관산동 178-57번지 일원,37.68832754574743,126.86757613981428,387.3,이름,230%,230%,435,,,20240415,,,,,
6768,행신동문,41281,고양시,행신Ⅰ-1구역,재개발,조합설립,경기도 고양시 덕양구 행신동 222번지 일원,37.62354791618803,126.84529720372296,61.8,이름,200%,230%,662,20221227,20230406,,20240415,,,,
6975,일산동문(3),41287,고양시,일산Ⅰ-2구역,재개발,조합설립,경기도 고양시 일산동 960-16번지 일원,37.68662677737291,126.76518289954366,156.7,이름,150%,230%,94,20150410,20100201,,20190115,,,,
6768,행신동문,41281,고양시,행신 Ⅱ-1구역,재건축,관리처분,경기도 고양시 행신동 173-1번지일원(행신지구 재건축 주변),37.6204758205059,126.84451215583535,348.6,이름,104%,230%,267,20100309,,,20010921,20220503,20240223,,
7110,과천주공10단지,41290,과천시,주공10단지구역,재건축,조합설립,경기도 과천시 중앙동 67번지 일원,37.43415022166788,126.9946102505703,115.0,이름+세대수,82%,180%,632,20161121,20210810,20141229,,,,,
6081,철산주공13단지,41210,광명시,"철산주공8,9단지",재건축,준공,경기도 광명시 철산동 235,37.4825743248951,126.86984652809778,223.6,이름,77%,280%,2064,20110524,20140326,20100125,,20181228,20200715,20211230,20250530
6065,철산 자이브리에르,41210,광명시,"철산주공10,11단지",재건축,착공,경기도 광명시 철산동 105,37.48577378750555,126.86885566227741,191.8,이름,85%,267%,1080,20110524,20131025,20100302,,20190613,20210126,20220916,
9297,서암주공,41570,김포시,서암,주거환경개선,준공,경기도 김포시 통진읍 서암리 758-22,37.69299760068576,126.59954309989477,261.2,이름,200%,200%,126,20151114,,,,,,20160504,20190619
7513,퇴계원4단지,41360,남양주시,퇴계원4,재개발,정비구역,경기도 남양주시 퇴계원읍 퇴계원리 82-13일원,37.65650199672944,127.14314146654215,321.6,이름,36.10%,250%,166,20231231,,,,,,,
5958,괴안동삼익3차아파트,41194,부천시,괴안 3-2(역곡조공2차아파트),재건축,예정구역,경기도 부천시 괴안동 33,37.477355043254185,126.80427303071733,129.2,이름,,219%,320,,,20240320,,,,,
5958,괴안동삼익3차아파트,41194,부천시,괴안 3-1(역곡조공1차아파트),재건축,예정구역,경기도 부천시 괴안동 36,37.47932804822793,126.80416024576681,120.7,이름,,230%,224,,,20240228,,,,,
5930,부천한신,41194,부천시,소사본 3-2(부천한신아파트),재건축,예정구역,경기도 부천시 소사본동 277-12,37.4741674476798,126.80047648779515,66.8,이름+세대수,,230%,916,,,20240319,,,,,
