no,gu,biz_type,stage_now,zone,jibun,ara_id,location,households,정비구역지정,추진위,조합설립,사업시행인가,관리처분,착공,준공,complex_id,complex_name,lawd_cd,meters
144,서해구,주택재건축,조합설립인가,가좌진주1차아파트 주택재건축,가좌동 30-2번지,BARA_0000000000194,가좌동 30-2,727,20110816,20090514,20111201,,,,,950,가좌 진주1단지 아파트,28275,47.3
136,계양구,주택재건축,정비구역지정,계산극동아파트,계산동 899번지 일원,BARA_0000000000543,,,,,,,,,,663,계산극동아파트,28245,58.6
118,미추홀구,주택재건축,사업시행인가,남광로얄아파트구역,주안동 1458번지 일원,BARA_0000000000048,"주안동 1458,1143,1445,1459(30,500)",654,20111219,20090605,20190604,20220816,,,,102,주안 남광로얄 아파트,28177,129.4
106,서해구,주택재건축,준공,롯데우람재건축,석남동 491-3번지 일원,BARA_0000000000189,석남동 491-3외,689,20120611,20091202,20151110,20190507,20200605,20211108,20241118,933,석남브라운스톤더프라임,28275,55.7
99,남동구,주택재건축,추진위승인,만수주공아파트,만수동 29번지 일원,BARA_0000000000539,,,,,,,,,,384,만수주공2단지아파트,28200,131.7
84,부평구,주택재건축,조합설립인가,부평현대1단지,산곡동 307번지 9 일원,BARA_0000000000528,산곡동 307번지 9 일원,3324,19940704,20250825,,,,,,519,부평현대1단지,28237,263.8
77,부평구,주택재개발,착공,산곡구역,산곡동 87-903번지 일원,BARA_0000000000119,"산곡동 87-956번지 일원(115,101.2)",2475,20040524,20081024,20100302,20130408,20220516,20240808,,517,산곡 한화1차 아파트,28237,244.5
68,연수구,주택재건축,착공,송도영남아파트구역,청학동 96-4번지 일원,BARA_0000000000083,"청학동 96-4번지(26,640)",649,20200720,20080623,20090724,20220707,20230419,20250328,,183,청학동보,28185,124.1
61,제물포구,주택재개발,조합설립인가,송월구역,송월동1가 12-16번지 일원,BARA_0000000000004,송월동1가 12-16번지 일원,686,20090413,20070222,20090820,,,,,807,송월 아파트,28125,224.4
60,제물포구,주택재개발,사업시행인가,송월아파트구역,송월동1가 10-1번지 일원,BARA_0000000000005,송월동1가 10-1번지 일원,692,20080811,20110616,20200309,20241202,,,,807,송월 아파트,28125,58.1
54,남동구,주택재건축,정비구역지정,신세계아파트,구월동 342-1번지 일원,BARA_0000000000557,,,,,,,,,,320,구월신세계아파트,28200,135.4
32,계양구,주거환경개선,준공,작전구역(현지개량),작전동 646번지 일원,BARA_0000000000492,작전동 646번지 일원,0,20220913,,,20230105,,20231207,20260120,710,작전 동보2차 아파트,28245,200.1
20,부평구,주택재건축,추진위승인,진흥&middot;동남,산곡동 38-26,BARA_0000000000542,,,,,,,,,,500,부평캐슬&더샵퍼스트,28237,143.6
18,부평구,주택재건축,사업시행인가,청천대진아파트구역,청천2동 236번지 일원,BARA_0000000000135,청천2동 236번지 일원,401,20110816,20080805,20210604,20240902,,,,547,청천대진,28237,52.0
16,서해구,주택재건축,추진위승인,태화아파트,가좌동 122번지,BARA_0000000000541,,,,,,,,,,955,가좌 현대3차 아파트,28275,73.5
9,서해구,주택재건축,추진위승인,한신그랜드힐빌리지,가정동 546번지,BARA_0000000000525,,,,,,,,,,923,가정 한신그랜드힐빌리지,28275,180.1
8,부평구,주택재건축,조합설립인가,한양아파트2단지,산곡동 182,BARA_0000000000521,산곡동 182,0,20250728,20250825,20260728,,,,,531,산곡8차 한양 아파트,28237,247.4
7,부평구,주택재건축,추진위승인,현대3단지,산곡동 370-399,BARA_0000000000519,,,,,,,,,,521,부평3주구 현대아파트,28237,86.7
4,계양구,주택재개발,정비구역지정,효성 / 정비구역후보지(23년 1차),효성동 273-1번지 일원,BARA_0000000000467,효성동 273-1번지 일원,1,,,,,,,,632,효성 뉴서울6차 아파트,28245,263.4
2,계양구,주택재건축,조합설립인가,효성뉴서울아파트구역,효성동 99-11번지,BARA_0000000000151,"효성동 99-11번지(17,400)",570,20130923,20091126,20210511,,,,,638,효성 뉴서울1차 아파트,28245,25.9
1,계양구,주택재건축,사업시행인가,효성새사미아파트구역,효성동 623-16번지,BARA_0000000000152,효성동 623-16번지,413,20130923,20081120,20191031,20250117,20260518,,,626,새사미2차아파트,28245,68.8
