no,gu,biz_type,stage_now,zone,jibun,ara_id,location,households,정비구역지정,추진위,조합설립,사업시행인가,관리처분,착공,준공
148,서해구,주거환경개선,준공,가재울숲문화마을(현지개량),가좌동 310번지 일원,BARA_0000000000495,가좌동 310번지 일원,0,20240122,,,20240219,,20240404,20251201
147,서해구,주택재개발,정비구역지정,가정동520-25번지일원 / 정비구역후보지(23년 2차),가정동 520-25번지 일원,BARA_0000000000473,가정동 520-25번지 일원,1,,,,,,,
146,서해구,주거환경개선,준공,가좌3구역(현지개량),원적로 47번길 일원,BARA_0000000000493,원적로 47번길 일원,0,20210712,,,20221212,,20220607,20240102
145,서해구,주택재개발,추진위승인,가좌동350-10번지일원 / 정비구역후보지(23년 2차),가좌동 350-10번지 일원,BARA_0000000000474,가좌동 350-10번지 일원,1,,20260526,,,,,
144,서해구,주택재건축,조합설립인가,가좌진주1차아파트 주택재건축,가좌동 30-2번지,BARA_0000000000194,가좌동 30-2,727,20110816,20090514,20111201,,,,
143,남동구,주거환경개선,준공,간석3동(현지개량),간석동 37번지 일원,BARA_0000000000489,간석동 37번지 일원,0,20221107,,,20221212,,20221226,20231029
142,남동구,주택재개발,정비구역지정,간석동37 / 정비구역후보지(23년 2차),간석동 37번지 일원,BARA_0000000000448,간석동 37번지 일원,1,,,,,,,
141,남동구,주택재개발,착공,간석성락아파트구역,간석1동 514번지 일원,BARA_0000000000086,"간석동 514번지 일원(20,637.1)",469,20070919,,20090717,20110722,20210210,20220415,
140,부평구,주택재개발,관리처분,갈산1구역,갈산동 112-39번지 일원,BARA_0000000000099,"갈산동 112-93번지 일원(50,005)",1137,20090708,20091123,20101026,20200615,20220826,,
139,부평구,주택재개발,추진위승인,갈산동 64-12번지 일원,갈산동 64-12번지 일원,BARA_0000000000547,,,,,,,,,
138,제물포구,주택재개발,조합설립인가,경동구역,경동 96-1번지 일원,BARA_0000000000009,경동 96-1번지 일원,999,20111116,20060823,20100524,20260629,,,
137,제물포구,주택재개발,조합설립인가,경동율목구역,경동 40번지 및 율목동 10번지 일원,BARA_0000000000002,경동 40번지 및 율목동 10번지 일원,579,20090323,20061227,20090623,,,,
136,계양구,주택재건축,정비구역지정,계산극동아파트,계산동 899번지 일원,BARA_0000000000543,,,,,,,,,
135,계양구,주택재개발,정비구역지정,계산역남측 / 정비구역후보지(23년 1차),계산동 951-6번지 일원,BARA_0000000000466,계산동 951-6번지 일원,1,,,,,,,
