kind,sido,sigungu,name,area_k_m2,industry_k_m2,designated,note,source_file
농공,충북,제천시,봉양농공단지,133,115,1990-01-24,2021-09-24 00:00:00,한국산업단지공단_전국산업단지현황통계_20210930.xlsx
일반,경북,고령군,성산일반산업단지,113,64,1994-08-11,2025-12-29,한국산업단지공단_전국산업단지현황통계_20251231.xlsx
농공,충남,서천군,장항원수제2농공단지,151,103,2001-09-29,2019-07-29,한국산업단지공단_전국산업단지현황통계_2019년3분기.xlsx
일반,경기,안성시,무능일반산업단지,263,181,2003-05-16,2019-11-25 00:00:00,한국산업단지공단_전국산업단지현황통계_2019년4분기.xlsx
일반,전남,여수시,"율촌제3일반산업단지
(광양만권경제자유구역)",9762,5438,2003-10-30,2020-08-19 00:00:00,한국산업단지공단_전국산업단지현황통계_20200917.xlsx
일반,충남,서산시,대산2일반산업단지,1142,903,2006-07-07,2020-06-01 00:00:00,한국산업단지공단_전국산업단지현황통계_20200630.xlsx
일반,전북,군산시,새만금산업단지,18495,8608,2008-05-06,2019-08-02 00:00:00,한국산업단지공단_전국산업단지현황통계_2019년3분기.xlsx
일반,전남,고흥군,도양일반산업단지,2684,1169,2008-09-26,2020-06-05 00:00:00,한국산업단지공단_전국산업단지현황통계_20200630.xlsx
일반,강원,삼척시,소방·방재일반산업단지[구:방재],782,448,2008-12-19,2023-06-21,한국산업단지공단_전국산업단지현황통계_20230630.xlsx
일반,충북,음성군,감곡상우일반산업단지,75,51,2009-02-26,2021-03-12,한국산업단지공단_전국산업단지현황통계_20210331.xlsx
일반,경기,양주시,도하2일반산업단지,32,25,2009-04-14,2019-12-23,한국산업단지공단_전국산업단지현황통계_2019년4분기.xlsx
일반,경북,문경시,봉룡일반산업단지,410,269,2010-04-26,2021-03-15,한국산업단지공단_전국산업단지현황통계_20210331.xlsx
일반,충북,음성군,신천보부산업단지(구 음성임대),145,109,2010-07-02,2021-12-30,한국산업단지공단_전국산업단지현황통계_20211231.xlsx
일반,경기,이천시,덕평일반산업단지,43,23,2012-08-20,2022-08-29,한국산업단지공단_전국산업단지현황통계_20220930.xlsx
농공,전남,영광군,영광식품산업특화단지,109,44,2012-08-27,2025-10-13,한국산업단지공단_전국산업단지현황통계_20251231.xlsx
일반,경남,김해시,송현일반산업단지,187,173,2013-09-05,2022-06-24,한국산업단지공단_전국산업단지현황통계_20220630.xlsx
일반,경남,밀양시,미전일반산업단지,263,156,2013-12-12,2019-07-18 00:00:00,한국산업단지공단_전국산업단지현황통계_2019년3분기.xlsx
