PRD_DE,C1,C1_NM,C2,C2_NM,ITM_ID,ITM_NM,DT,UNIT_NM
200001,15397AA2AA,건설,,,16397AAA0,건설공사비지수,46.14,2020＝100
200002,15397AA2AA,건설,,,16397AAA0,건설공사비지수,46.08,2020＝100
200003,15397AA2AA,건설,,,16397AAA0,건설공사비지수,46.19,2020＝100
200004,15397AA2AA,건설,,,16397AAA0,건설공사비지수,46.19,2020＝100
200005,15397AA2AA,건설,,,16397AAA0,건설공사비지수,46.19,2020＝100
200006,15397AA2AA,건설,,,16397AAA0,건설공사비지수,46.31,2020＝100
200007,15397AA2AA,건설,,,16397AAA0,건설공사비지수,46.37,2020＝100
200008,15397AA2AA,건설,,,16397AAA0,건설공사비지수,46.43,2020＝100
200009,15397AA2AA,건설,,,16397AAA0,건설공사비지수,46.79,2020＝100
200010,15397AA2AA,건설,,,16397AAA0,건설공사비지수,46.91,2020＝100
200011,15397AA2AA,건설,,,16397AAA0,건설공사비지수,47.03,2020＝100
200012,15397AA2AA,건설,,,16397AAA0,건설공사비지수,46.97,2020＝100
200001,15397AA2AA1,건물건설 및 건축보수,,,16397AAA0,건설공사비지수,46.99,2020＝100
200002,15397AA2AA1,건물건설 및 건축보수,,,16397AAA0,건설공사비지수,46.93,2020＝100
200003,15397AA2AA1,건물건설 및 건축보수,,,16397AAA0,건설공사비지수,47.05,2020＝100
200004,15397AA2AA1,건물건설 및 건축보수,,,16397AAA0,건설공사비지수,47.05,2020＝100
200005,15397AA2AA1,건물건설 및 건축보수,,,16397AAA0,건설공사비지수,47.05,2020＝100
200006,15397AA2AA1,건물건설 및 건축보수,,,16397AAA0,건설공사비지수,47.05,2020＝100
200007,15397AA2AA1,건물건설 및 건축보수,,,16397AAA0,건설공사비지수,47.17,2020＝100
200008,15397AA2AA1,건물건설 및 건축보수,,,16397AAA0,건설공사비지수,47.17,2020＝100
200009,15397AA2AA1,건물건설 및 건축보수,,,16397AAA0,건설공사비지수,47.53,2020＝100
200010,15397AA2AA1,건물건설 및 건축보수,,,16397AAA0,건설공사비지수,47.59,2020＝100
200011,15397AA2AA1,건물건설 및 건축보수,,,16397AAA0,건설공사비지수,47.65,2020＝100
200012,15397AA2AA1,건물건설 및 건축보수,,,16397AAA0,건설공사비지수,47.59,2020＝100
200001,15397AA2AA11,주거용건물,,,16397AAA0,건설공사비지수,47.24,2020＝100
200002,15397AA2AA11,주거용건물,,,16397AAA0,건설공사비지수,47.24,2020＝100
200003,15397AA2AA11,주거용건물,,,16397AAA0,건설공사비지수,47.3,2020＝100
200004,15397AA2AA11,주거용건물,,,16397AAA0,건설공사비지수,47.3,2020＝100
200005,15397AA2AA11,주거용건물,,,16397AAA0,건설공사비지수,47.3,2020＝100
200006,15397AA2AA11,주거용건물,,,16397AAA0,건설공사비지수,47.36,2020＝100
200007,15397AA2AA11,주거용건물,,,16397AAA0,건설공사비지수,47.48,2020＝100
200008,15397AA2AA11,주거용건물,,,16397AAA0,건설공사비지수,47.42,2020＝100
200009,15397AA2AA11,주거용건물,,,16397AAA0,건설공사비지수,47.83,2020＝100
200010,15397AA2AA11,주거용건물,,,16397AAA0,건설공사비지수,47.9,2020＝100
200011,15397AA2AA11,주거용건물,,,16397AAA0,건설공사비지수,47.9,2020＝100
200012,15397AA2AA11,주거용건물,,,16397AAA0,건설공사비지수,47.9,2020＝100
200001,15397AA2AA111,주거용건물,,,16397AAA0,건설공사비지수,47.24,2020＝100
200002,15397AA2AA111,주거용건물,,,16397AAA0,건설공사비지수,47.24,2020＝100
200003,15397AA2AA111,주거용건물,,,16397AAA0,건설공사비지수,47.3,2020＝100
200004,15397AA2AA111,주거용건물,,,16397AAA0,건설공사비지수,47.3,2020＝100
200005,15397AA2AA111,주거용건물,,,16397AAA0,건설공사비지수,47.3,2020＝100
200006,15397AA2AA111,주거용건물,,,16397AAA0,건설공사비지수,47.36,2020＝100
200007,15397AA2AA111,주거용건물,,,16397AAA0,건설공사비지수,47.48,2020＝100
200008,15397AA2AA111,주거용건물,,,16397AAA0,건설공사비지수,47.42,2020＝100
200009,15397AA2AA111,주거용건물,,,16397AAA0,건설공사비지수,47.83,2020＝100
200010,15397AA2AA111,주거용건물,,,16397AAA0,건설공사비지수,47.9,2020＝100
200011,15397AA2AA111,주거용건물,,,16397AAA0,건설공사비지수,47.9,2020＝100
200012,15397AA2AA111,주거용건물,,,16397AAA0,건설공사비지수,47.9,2020＝100
