PRD_DE,C1,C1_NM,C2,C2_NM,ITM_ID,ITM_NM,DT,UNIT_NM
200001,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1098.64811,
200002,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1099.43052,
200003,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1058.75899,
200004,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1008.70755,
200005,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1054.77414,
200006,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1065.30288,
200007,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1031.70366,
200008,1005,대한민국,B1,기간말,T002,유로당 국내 통화,987.49728,
200009,1005,대한민국,B1,기간말,T002,유로당 국내 통화,977.2975,
200010,1005,대한민국,B1,기간말,T002,유로당 국내 통화,956.76039,
200011,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1037.99852,
200012,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1172.15085,
200001,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1518.06225,
200002,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1515.7968,
200003,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1492.74035,
200004,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1464.71776,
200005,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1496.6333,
200006,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1490.79885,
200007,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1465.95676,
200008,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1446.76032,
200009,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1447.14795,
200010,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1454.22957,
200011,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1532.33374,
200012,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1641.27299,
200001,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1122.1,
200002,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1131.8,
200003,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1108.3,
200004,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1110.3,
200005,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1133.8,
200006,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1114.8,
200007,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1116.2,
200008,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1108.8,
200009,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1115,
200010,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1136.7,
200011,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1195.3,
200012,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1259.7,
200001,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1146.56027,
200002,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1110.0888,
200003,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1077.35489,
200004,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1050.88723,
200005,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1014.69342,
200006,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1061.87309,
200007,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1047.58616,
200008,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1007.63428,
200009,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,973.7156,
200010,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,964.02939,
200011,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,985.82916,
200012,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1089.70029,
200001,1005,대한민국,B2,기간평균,T003,SDR당 국내 통화,1549.99979,
200002,1005,대한민국,B2,기간평균,T003,SDR당 국내 통화,1518.06896,
200003,1005,대한민국,B2,기간평균,T003,SDR당 국내 통화,1500.23283,
200004,1005,대한민국,B2,기간평균,T003,SDR당 국내 통화,1486.13274,
200005,1005,대한민국,B2,기간평균,T003,SDR당 국내 통화,1468.13408,
200006,1005,대한민국,B2,기간평균,T003,SDR당 국내 통화,1488.60321,
200007,1005,대한민국,B2,기간평균,T003,SDR당 국내 통화,1475.49115,
200008,1005,대한민국,B2,기간평균,T003,SDR당 국내 통화,1458.26295,
200009,1005,대한민국,B2,기간평균,T003,SDR당 국내 통화,1444.84601,
200010,1005,대한민국,B2,기간평균,T003,SDR당 국내 통화,1450.28353,
200011,1005,대한민국,B2,기간평균,T003,SDR당 국내 통화,1476.64461,
200012,1005,대한민국,B2,기간평균,T003,SDR당 국내 통화,1571.91605,
200001,1005,대한민국,B2,기간평균,T004,USD당 국내 통화,1131.07,
200002,1005,대한민국,B2,기간평균,T004,USD당 국내 통화,1128.8,
200003,1005,대한민국,B2,기간평균,T004,USD당 국내 통화,1117.19,
200004,1005,대한민국,B2,기간평균,T004,USD당 국내 통화,1109.76,
200005,1005,대한민국,B2,기간평균,T004,USD당 국내 통화,1120.01,
200006,1005,대한민국,B2,기간평균,T004,USD당 국내 통화,1118.73,
200007,1005,대한민국,B2,기간평균,T004,USD당 국내 통화,1114.86,
200008,1005,대한민국,B2,기간평균,T004,USD당 국내 통화,1114.57,
200009,1005,대한민국,B2,기간평균,T004,USD당 국내 통화,1116.5,
200010,1005,대한민국,B2,기간평균,T004,USD당 국내 통화,1127.31,
200011,1005,대한민국,B2,기간평균,T004,USD당 국내 통화,1151.15,
200012,1005,대한민국,B2,기간평균,T004,USD당 국내 통화,1214.4,
200101,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1176.02915,
200102,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1152.02336,
200103,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1172.8896,
200104,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1175.80372,
200105,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1096.3792,
200106,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1102.9936,
200107,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1139.3757,
200108,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1175.70404,
200109,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1195.33921,
200110,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1171.93362,
200111,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1133.6052,
200112,1005,대한민국,B1,기간말,T002,유로당 국내 통화,1168.69193,
200101,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1642.35258,
200102,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1610.03685,
200103,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1674.14443,
200104,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1676.79512,
200105,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1621.58772,
200106,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1620.21438,
200107,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1638.1206,
200108,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1653.8252,
200109,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1687.44119,
200110,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1656.51448,
200111,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1612.98287,
200112,1005,대한민국,B1,기간말,T003,SDR당 국내 통화,1666.54937,
200101,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1265.5,
200102,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1245.7,
200103,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1328,
200104,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1324.7,
200105,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1292.9,
200106,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1300.7,
200107,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1301.4,
200108,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1283.8,
200109,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1309.1,
200110,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1296.1,
200111,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1274,
200112,1005,대한민국,B1,기간말,T004,USD당 국내 통화,1326.1,
200101,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1194.26386,
200102,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1154.38021,
200103,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1171.85637,
200104,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1182.3906,
200105,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1135.06652,
200106,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1103.85263,
200107,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1121.10045,
200108,1005,대한민국,B2,기간평균,T002,유로당 국내 통화,1157.47134,
