kosis_code,sido,sigungu,lawd_cd,level,year,persons,total_salary_mw,salary_per_person_mw
A0101,서울,강남구,11680,시군구,2016,206346,12989836.0,62.952
A0101,서울,강남구,11680,시군구,2017,200894,14078169.0,70.078
A0101,서울,강남구,11680,시군구,2018,206523,14339618.0,69.434
A0101,서울,강남구,11680,시군구,2019,209360,14863887.0,70.997
A0101,서울,강남구,11680,시군구,2020,210648,15694857.0,74.508
A0101,서울,강남구,11680,시군구,2021,215441,17417230.0,80.845
A0101,서울,강남구,11680,시군구,2022,225664,18950177.0,83.975
A0101,서울,강남구,11680,시군구,2023,238504,20320151.0,85.198
A0102,서울,강동구,11740,시군구,2016,161558,5577333.0,34.522
A0102,서울,강동구,11740,시군구,2017,160084,5788728.0,36.161
A0102,서울,강동구,11740,시군구,2018,164967,6254566.0,37.914
A0102,서울,강동구,11740,시군구,2019,183504,7407086.0,40.365
A0102,서울,강동구,11740,시군구,2020,188760,7827655.0,41.469
A0102,서울,강동구,11740,시군구,2021,191800,8449977.0,44.056
A0102,서울,강동구,11740,시군구,2022,197014,9045655.0,45.914
A0102,서울,강동구,11740,시군구,2023,202336,9636540.0,47.626
A0103,서울,강북구,11305,시군구,2016,102053,2632574.0,25.796
A0103,서울,강북구,11305,시군구,2017,101879,2749477.0,26.988
A0103,서울,강북구,11305,시군구,2018,103160,2897863.0,28.091
A0103,서울,강북구,11305,시군구,2019,104773,3058999.0,29.196
A0103,서울,강북구,11305,시군구,2020,105092,3094916.0,29.45
A0103,서울,강북구,11305,시군구,2021,105266,3259552.0,30.965
A0103,서울,강북구,11305,시군구,2022,106480,3509671.0,32.961
A0103,서울,강북구,11305,시군구,2023,105168,3552047.0,33.775
A0104,서울,강서구,11500,시군구,2016,232996,7628623.0,32.741
A0104,서울,강서구,11500,시군구,2017,235487,8133889.0,34.541
A0104,서울,강서구,11500,시군구,2018,241919,8719706.0,36.044
A0104,서울,강서구,11500,시군구,2019,244918,9087948.0,37.106
A0104,서울,강서구,11500,시군구,2020,247380,9228565.0,37.305
A0104,서울,강서구,11500,시군구,2021,251917,9911518.0,39.344
A0104,서울,강서구,11500,시군구,2022,255875,10790892.0,42.173
A0104,서울,강서구,11500,시군구,2023,254704,11115420.0,43.641
A0105,서울,관악구,11620,시군구,2016,201656,5745259.0,28.49
A0105,서울,관악구,11620,시군구,2017,204654,6065462.0,29.638
A0105,서울,관악구,11620,시군구,2018,211360,6487537.0,30.694
A0105,서울,관악구,11620,시군구,2019,216841,6830972.0,31.502
A0105,서울,관악구,11620,시군구,2020,216393,6929881.0,32.025
A0105,서울,관악구,11620,시군구,2021,223714,7517118.0,33.601
A0105,서울,관악구,11620,시군구,2022,231654,8290665.0,35.789
A0105,서울,관악구,11620,시군구,2023,230093,8453248.0,36.738
A0106,서울,광진구,11215,시군구,2016,137552,4631001.0,33.667
A0106,서울,광진구,11215,시군구,2017,139100,4923083.0,35.392
A0106,서울,광진구,11215,시군구,2018,142225,5223826.0,36.729
A0106,서울,광진구,11215,시군구,2019,145146,5469408.0,37.682
A0106,서울,광진구,11215,시군구,2020,145864,5604978.0,38.426
A0106,서울,광진구,11215,시군구,2021,149746,6096454.0,40.712
A0106,서울,광진구,11215,시군구,2022,152660,6601797.0,43.245
A0106,서울,광진구,11215,시군구,2023,153095,6787398.0,44.335
A0107,서울,구로구,11530,시군구,2016,163144,5027109.0,30.814
A0107,서울,구로구,11530,시군구,2017,161581,5236393.0,32.407
A0107,서울,구로구,11530,시군구,2018,166375,5584744.0,33.567
A0107,서울,구로구,11530,시군구,2019,171435,5943790.0,34.671
A0107,서울,구로구,11530,시군구,2020,171270,6053085.0,35.342
A0107,서울,구로구,11530,시군구,2021,173678,6478283.0,37.301
A0107,서울,구로구,11530,시군구,2022,179596,7108919.0,39.583
A0107,서울,구로구,11530,시군구,2023,179213,7289485.0,40.675
A0108,서울,금천구,11545,시군구,2016,90925,2397028.0,26.363
A0108,서울,금천구,11545,시군구,2017,90998,2517894.0,27.67
A0108,서울,금천구,11545,시군구,2018,94939,2750939.0,28.976
A0108,서울,금천구,11545,시군구,2019,98708,2958726.0,29.975
A0108,서울,금천구,11545,시군구,2020,100479,3090062.0,30.753
A0108,서울,금천구,11545,시군구,2021,103985,3374171.0,32.449
A0108,서울,금천구,11545,시군구,2022,106203,3663588.0,34.496
A0108,서울,금천구,11545,시군구,2023,106095,3763785.0,35.476
A0109,서울,노원구,11350,시군구,2016,189359,6462286.0,34.127
A0109,서울,노원구,11350,시군구,2017,187809,6657118.0,35.446
A0109,서울,노원구,11350,시군구,2018,188666,6900803.0,36.577
A0109,서울,노원구,11350,시군구,2019,190624,7165622.0,37.59
A0109,서울,노원구,11350,시군구,2020,191132,7325413.0,38.326
A0109,서울,노원구,11350,시군구,2021,193811,7745559.0,39.964
A0109,서울,노원구,11350,시군구,2022,197319,8232262.0,41.721
A0109,서울,노원구,11350,시군구,2023,197526,8435368.0,42.705
A0110,서울,도봉구,11320,시군구,2016,116562,3398850.0,29.159
A0110,서울,도봉구,11320,시군구,2017,116233,3509818.0,30.196
A0110,서울,도봉구,11320,시군구,2018,118008,3662835.0,31.039
A0110,서울,도봉구,11320,시군구,2019,118459,3776964.0,31.884
A0110,서울,도봉구,11320,시군구,2020,117727,3806073.0,32.33
A0110,서울,도봉구,11320,시군구,2021,117908,3991429.0,33.852
A0110,서울,도봉구,11320,시군구,2022,119598,4236110.0,35.42
A0110,서울,도봉구,11320,시군구,2023,118976,4316725.0,36.282
A0111,서울,동대문구,11230,시군구,2016,116108,3517492.0,30.295
A0111,서울,동대문구,11230,시군구,2017,117278,3761164.0,32.07
A0111,서울,동대문구,11230,시군구,2018,120420,4046113.0,33.6
A0111,서울,동대문구,11230,시군구,2019,124535,4333325.0,34.796
A0111,서울,동대문구,11230,시군구,2020,125527,4478814.0,35.68
A0111,서울,동대문구,11230,시군구,2021,129267,4891094.0,37.837
A0111,서울,동대문구,11230,시군구,2022,134518,5423276.0,40.316
A0111,서울,동대문구,11230,시군구,2023,137923,5793908.0,42.008
A0112,서울,동작구,11590,시군구,2016,152208,5586855.0,36.705
A0112,서울,동작구,11590,시군구,2017,153530,5879398.0,38.295
A0112,서울,동작구,11590,시군구,2018,159483,6334088.0,39.716
A0112,서울,동작구,11590,시군구,2019,162746,6627712.0,40.724
A0112,서울,동작구,11590,시군구,2020,163106,6818437.0,41.804
A0112,서울,동작구,11590,시군구,2021,166747,7368294.0,44.188
A0112,서울,동작구,11590,시군구,2022,170614,7968173.0,46.703
A0112,서울,동작구,11590,시군구,2023,171523,8172022.0,47.644
A0113,서울,마포구,11440,시군구,2016,145471,5906142.0,40.6
A0113,서울,마포구,11440,시군구,2017,147786,6296498.0,42.606
A0113,서울,마포구,11440,시군구,2018,151737,6775997.0,44.656
A0113,서울,마포구,11440,시군구,2019,155708,7256814.0,46.605
A0113,서울,마포구,11440,시군구,2020,157471,7545532.0,47.917
A0113,서울,마포구,11440,시군구,2021,160441,8210265.0,51.173
A0113,서울,마포구,11440,시군구,2022,165345,8932550.0,54.024
A0113,서울,마포구,11440,시군구,2023,165864,9142659.0,55.121
A0114,서울,서대문구,11410,시군구,2016,111454,3998679.0,35.877
