PRD_DE,C1,C1_NM,C2,C2_NM,ITM_ID,ITM_NM,DT,UNIT_NM
2016,A00,전국,B01,급여총계,T001,인원,17740098,명
2016,A00,전국,B01,급여총계,T002,금액,600099695,백만원
2016,A00,전국,B02,과세대상근로소득(총급여),T001,인원,17668285,명
2016,A00,전국,B02,과세대상근로소득(총급여),T002,금액,595990661,백만원
2016,A00,전국,B03,과세표준,T001,인원,15419516,명
2016,A00,전국,B03,과세표준,T002,금액,320805519,백만원
2016,A00,전국,B04,결정세액,T001,인원,9998156,명
2016,A00,전국,B04,결정세액,T002,금액,30853854,백만원
2016,A01,서울,B01,급여총계,T001,인원,3629625,명
2016,A01,서울,B01,급여총계,T002,금액,138096837,백만원
2016,A01,서울,B02,과세대상근로소득(총급여),T001,인원,3621150,명
2016,A01,서울,B02,과세대상근로소득(총급여),T002,금액,137226200,백만원
2016,A01,서울,B03,과세표준,T001,인원,3159795,명
2016,A01,서울,B03,과세표준,T002,금액,79865568,백만원
2016,A01,서울,B04,결정세액,T001,인원,2099483,명
2016,A01,서울,B04,결정세액,T002,금액,10035736,백만원
2016,A0101,강남구,B01,급여총계,T001,인원,206668,명
2016,A0101,강남구,B01,급여총계,T002,금액,13057288,백만원
2016,A0101,강남구,B02,과세대상근로소득(총급여),T001,인원,206346,명
2016,A0101,강남구,B02,과세대상근로소득(총급여),T002,금액,12989836,백만원
2016,A0101,강남구,B03,과세표준,T001,인원,185324,명
2016,A0101,강남구,B03,과세표준,T002,금액,9108357,백만원
2016,A0101,강남구,B04,결정세액,T001,인원,139670,명
2016,A0101,강남구,B04,결정세액,T002,금액,1761616,백만원
2016,A0102,강동구,B01,급여총계,T001,인원,161837,명
2016,A0102,강동구,B01,급여총계,T002,금액,5614760,백만원
2016,A0102,강동구,B02,과세대상근로소득(총급여),T001,인원,161558,명
2016,A0102,강동구,B02,과세대상근로소득(총급여),T002,금액,5577333,백만원
2016,A0102,강동구,B03,과세표준,T001,인원,140810,명
2016,A0102,강동구,B03,과세표준,T002,금액,3045249,백만원
2016,A0102,강동구,B04,결정세액,T001,인원,91771,명
2016,A0102,강동구,B04,결정세액,T002,금액,298009,백만원
2016,A0103,강북구,B01,급여총계,T001,인원,102249,명
2016,A0103,강북구,B01,급여총계,T002,금액,2647871,백만원
2016,A0103,강북구,B02,과세대상근로소득(총급여),T001,인원,102053,명
2016,A0103,강북구,B02,과세대상근로소득(총급여),T002,금액,2632574,백만원
2016,A0103,강북구,B03,과세표준,T001,인원,86391,명
2016,A0103,강북구,B03,과세표준,T002,금액,1248641,백만원
2016,A0103,강북구,B04,결정세액,T001,인원,50278,명
2016,A0103,강북구,B04,결정세액,T002,금액,84141,백만원
2016,A0104,강서구,B01,급여총계,T001,인원,233511,명
2016,A0104,강서구,B01,급여총계,T002,금액,7710165,백만원
2016,A0104,강서구,B02,과세대상근로소득(총급여),T001,인원,232996,명
2016,A0104,강서구,B02,과세대상근로소득(총급여),T002,금액,7628623,백만원
2016,A0104,강서구,B03,과세표준,T001,인원,203712,명
2016,A0104,강서구,B03,과세표준,T002,금액,4026675,백만원
2016,A0104,강서구,B04,결정세액,T001,인원,131726,명
2016,A0104,강서구,B04,결정세액,T002,금액,354709,백만원
2016,A0105,관악구,B01,급여총계,T001,인원,202189,명
2016,A0105,관악구,B01,급여총계,T002,금액,5779387,백만원
2016,A0105,관악구,B02,과세대상근로소득(총급여),T001,인원,201656,명
2016,A0105,관악구,B02,과세대상근로소득(총급여),T002,금액,5745259,백만원
2016,A0105,관악구,B03,과세표준,T001,인원,173961,명
2016,A0105,관악구,B03,과세표준,T002,금액,2893776,백만원
2016,A0105,관악구,B04,결정세액,T001,인원,108313,명
2016,A0105,관악구,B04,결정세액,T002,금액,217188,백만원
2016,A0106,광진구,B01,급여총계,T001,인원,137927,명
2016,A0106,광진구,B01,급여총계,T002,금액,4657189,백만원
2016,A0106,광진구,B02,과세대상근로소득(총급여),T001,인원,137552,명
2016,A0106,광진구,B02,과세대상근로소득(총급여),T002,금액,4631001,백만원
2016,A0106,광진구,B03,과세표준,T001,인원,119474,명
2016,A0106,광진구,B03,과세표준,T002,금액,2548573,백만원
2016,A0106,광진구,B04,결정세액,T001,인원,77608,명
2016,A0106,광진구,B04,결정세액,T002,금액,270328,백만원
2016,A0107,구로구,B01,급여총계,T001,인원,163520,명
2016,A0107,구로구,B01,급여총계,T002,금액,5055671,백만원
2016,A0107,구로구,B02,과세대상근로소득(총급여),T001,인원,163144,명
2016,A0107,구로구,B02,과세대상근로소득(총급여),T002,금액,5027109,백만원
2016,A0107,구로구,B03,과세표준,T001,인원,141311,명
2016,A0107,구로구,B03,과세표준,T002,금액,2597886,백만원
2016,A0107,구로구,B04,결정세액,T001,인원,90387,명
2016,A0107,구로구,B04,결정세액,T002,금액,212314,백만원
2016,A0108,금천구,B01,급여총계,T001,인원,91194,명
2016,A0108,금천구,B01,급여총계,T002,금액,2411167,백만원
2016,A0108,금천구,B02,과세대상근로소득(총급여),T001,인원,90925,명
2016,A0108,금천구,B02,과세대상근로소득(총급여),T002,금액,2397028,백만원
2016,A0108,금천구,B03,과세표준,T001,인원,78065,명
