dest_cd,dest_nm,origin_cd,origin_nm,year,movers
11110,서울 종로구,00,전국,2012,26001
11110,서울 종로구,00,전국,2013,24676
11110,서울 종로구,00,전국,2014,24191
11110,서울 종로구,00,전국,2015,24951
11110,서울 종로구,00,전국,2016,23604
11110,서울 종로구,00,전국,2017,28020
11110,서울 종로구,00,전국,2018,23187
11110,서울 종로구,00,전국,2019,22271
11110,서울 종로구,00,전국,2020,23632
11110,서울 종로구,00,전국,2021,22204
11110,서울 종로구,00,전국,2022,19123
11110,서울 종로구,00,전국,2023,18238
11110,서울 종로구,00,전국,2024,18695
11110,서울 종로구,00,전국,2025,18734
11110,서울 종로구,11,서울특별시,2012,17465
11110,서울 종로구,11,서울특별시,2013,16724
11110,서울 종로구,11,서울특별시,2014,15750
11110,서울 종로구,11,서울특별시,2015,16463
11110,서울 종로구,11,서울특별시,2016,15280
11110,서울 종로구,11,서울특별시,2017,19122
11110,서울 종로구,11,서울특별시,2018,14905
11110,서울 종로구,11,서울특별시,2019,14003
11110,서울 종로구,11,서울특별시,2020,15059
11110,서울 종로구,11,서울특별시,2021,14227
11110,서울 종로구,11,서울특별시,2022,11626
11110,서울 종로구,11,서울특별시,2023,11316
11110,서울 종로구,11,서울특별시,2024,11503
11110,서울 종로구,11,서울특별시,2025,11391
11110,서울 종로구,11110,종로구,2012,4935
11110,서울 종로구,11110,종로구,2013,4921
11110,서울 종로구,11110,종로구,2014,4507
11110,서울 종로구,11110,종로구,2015,4617
11110,서울 종로구,11110,종로구,2016,4145
11110,서울 종로구,11110,종로구,2017,4512
11110,서울 종로구,11110,종로구,2018,3807
11110,서울 종로구,11110,종로구,2019,3443
11110,서울 종로구,11110,종로구,2020,3355
11110,서울 종로구,11110,종로구,2021,3223
11110,서울 종로구,11110,종로구,2022,2433
11110,서울 종로구,11110,종로구,2023,2427
11110,서울 종로구,11110,종로구,2024,2281
11110,서울 종로구,11110,종로구,2025,2199
11110,서울 종로구,11140,중구,2012,587
11110,서울 종로구,11140,중구,2013,655
11110,서울 종로구,11140,중구,2014,517
11110,서울 종로구,11140,중구,2015,563
11110,서울 종로구,11140,중구,2016,596
11110,서울 종로구,11140,중구,2017,693
11110,서울 종로구,11140,중구,2018,563
11110,서울 종로구,11140,중구,2019,454
11110,서울 종로구,11140,중구,2020,649
11110,서울 종로구,11140,중구,2021,654
11110,서울 종로구,11140,중구,2022,538
11110,서울 종로구,11140,중구,2023,481
11110,서울 종로구,11140,중구,2024,531
11110,서울 종로구,11140,중구,2025,588
11110,서울 종로구,11170,용산구,2012,519
11110,서울 종로구,11170,용산구,2013,435
11110,서울 종로구,11170,용산구,2014,484
11110,서울 종로구,11170,용산구,2015,456
11110,서울 종로구,11170,용산구,2016,422
11110,서울 종로구,11170,용산구,2017,633
11110,서울 종로구,11170,용산구,2018,505
11110,서울 종로구,11170,용산구,2019,547
11110,서울 종로구,11170,용산구,2020,488
11110,서울 종로구,11170,용산구,2021,586
11110,서울 종로구,11170,용산구,2022,504
11110,서울 종로구,11170,용산구,2023,436
11110,서울 종로구,11170,용산구,2024,561
11110,서울 종로구,11170,용산구,2025,400
11110,서울 종로구,11200,성동구,2012,400
11110,서울 종로구,11200,성동구,2013,387
11110,서울 종로구,11200,성동구,2014,340
11110,서울 종로구,11200,성동구,2015,422
11110,서울 종로구,11200,성동구,2016,372
11110,서울 종로구,11200,성동구,2017,550
11110,서울 종로구,11200,성동구,2018,382
11110,서울 종로구,11200,성동구,2019,402
11110,서울 종로구,11200,성동구,2020,474
11110,서울 종로구,11200,성동구,2021,450
11110,서울 종로구,11200,성동구,2022,337
11110,서울 종로구,11200,성동구,2023,393
11110,서울 종로구,11200,성동구,2024,349
11110,서울 종로구,11200,성동구,2025,365
11110,서울 종로구,11215,광진구,2012,202
11110,서울 종로구,11215,광진구,2013,230
11110,서울 종로구,11215,광진구,2014,228
11110,서울 종로구,11215,광진구,2015,250
11110,서울 종로구,11215,광진구,2016,265
11110,서울 종로구,11215,광진구,2017,254
11110,서울 종로구,11215,광진구,2018,207
11110,서울 종로구,11215,광진구,2019,200
11110,서울 종로구,11215,광진구,2020,224
11110,서울 종로구,11215,광진구,2021,251
11110,서울 종로구,11215,광진구,2022,227
11110,서울 종로구,11215,광진구,2023,203
11110,서울 종로구,11215,광진구,2024,177
11110,서울 종로구,11215,광진구,2025,258
11110,서울 종로구,11230,동대문구,2012,649
11110,서울 종로구,11230,동대문구,2013,654
11110,서울 종로구,11230,동대문구,2014,507
11110,서울 종로구,11230,동대문구,2015,646
11110,서울 종로구,11230,동대문구,2016,578
11110,서울 종로구,11230,동대문구,2017,594
11110,서울 종로구,11230,동대문구,2018,651
11110,서울 종로구,11230,동대문구,2019,551
11110,서울 종로구,11230,동대문구,2020,629
11110,서울 종로구,11230,동대문구,2021,535
11110,서울 종로구,11230,동대문구,2022,539
11110,서울 종로구,11230,동대문구,2023,452
11110,서울 종로구,11230,동대문구,2024,496
11110,서울 종로구,11230,동대문구,2025,485
11110,서울 종로구,11260,중랑구,2012,287
11110,서울 종로구,11260,중랑구,2013,245
11110,서울 종로구,11260,중랑구,2014,236
11110,서울 종로구,11260,중랑구,2015,246
11110,서울 종로구,11260,중랑구,2016,217
11110,서울 종로구,11260,중랑구,2017,216
11110,서울 종로구,11260,중랑구,2018,204
11110,서울 종로구,11260,중랑구,2019,191
11110,서울 종로구,11260,중랑구,2020,220
11110,서울 종로구,11260,중랑구,2021,222
11110,서울 종로구,11260,중랑구,2022,167
11110,서울 종로구,11260,중랑구,2023,170
11110,서울 종로구,11260,중랑구,2024,179
11110,서울 종로구,11260,중랑구,2025,190
11110,서울 종로구,11290,성북구,2012,1937
11110,서울 종로구,11290,성북구,2013,1851
11110,서울 종로구,11290,성북구,2014,1902
11110,서울 종로구,11290,성북구,2015,1787
11110,서울 종로구,11290,성북구,2016,1806
11110,서울 종로구,11290,성북구,2017,1738
11110,서울 종로구,11290,성북구,2018,1589
11110,서울 종로구,11290,성북구,2019,1347
11110,서울 종로구,11290,성북구,2020,1676
11110,서울 종로구,11290,성북구,2021,1358
11110,서울 종로구,11290,성북구,2022,1175
11110,서울 종로구,11290,성북구,2023,1093
11110,서울 종로구,11290,성북구,2024,1177
11110,서울 종로구,11290,성북구,2025,1119
11110,서울 종로구,11305,강북구,2012,547
11110,서울 종로구,11305,강북구,2013,472
11110,서울 종로구,11305,강북구,2014,401
11110,서울 종로구,11305,강북구,2015,407
11110,서울 종로구,11305,강북구,2016,380
11110,서울 종로구,11305,강북구,2017,395
11110,서울 종로구,11305,강북구,2018,294
11110,서울 종로구,11305,강북구,2019,308
11110,서울 종로구,11305,강북구,2020,338
11110,서울 종로구,11305,강북구,2021,356
11110,서울 종로구,11305,강북구,2022,256
11110,서울 종로구,11305,강북구,2023,300
11110,서울 종로구,11305,강북구,2024,316
11110,서울 종로구,11305,강북구,2025,285
11110,서울 종로구,11320,도봉구,2012,297
11110,서울 종로구,11320,도봉구,2013,333
11110,서울 종로구,11320,도봉구,2014,284
11110,서울 종로구,11320,도봉구,2015,230
11110,서울 종로구,11320,도봉구,2016,199
11110,서울 종로구,11320,도봉구,2017,267
11110,서울 종로구,11320,도봉구,2018,289
11110,서울 종로구,11320,도봉구,2019,217
11110,서울 종로구,11320,도봉구,2020,269
11110,서울 종로구,11320,도봉구,2021,207
11110,서울 종로구,11320,도봉구,2022,177
11110,서울 종로구,11320,도봉구,2023,192
11110,서울 종로구,11320,도봉구,2024,161
11110,서울 종로구,11320,도봉구,2025,168
11110,서울 종로구,11350,노원구,2012,457
11110,서울 종로구,11350,노원구,2013,386
11110,서울 종로구,11350,노원구,2014,368
11110,서울 종로구,11350,노원구,2015,348
11110,서울 종로구,11350,노원구,2016,336
11110,서울 종로구,11350,노원구,2017,391
11110,서울 종로구,11350,노원구,2018,342
11110,서울 종로구,11350,노원구,2019,341
11110,서울 종로구,11350,노원구,2020,280
11110,서울 종로구,11350,노원구,2021,328
11110,서울 종로구,11350,노원구,2022,257
11110,서울 종로구,11350,노원구,2023,279
11110,서울 종로구,11350,노원구,2024,279
11110,서울 종로구,11350,노원구,2025,263
11110,서울 종로구,11380,은평구,2012,1015
11110,서울 종로구,11380,은평구,2013,933
11110,서울 종로구,11380,은평구,2014,928
11110,서울 종로구,11380,은평구,2015,979
11110,서울 종로구,11380,은평구,2016,844
11110,서울 종로구,11380,은평구,2017,1185
11110,서울 종로구,11380,은평구,2018,791
11110,서울 종로구,11380,은평구,2019,888
11110,서울 종로구,11380,은평구,2020,804
11110,서울 종로구,11380,은평구,2021,666
11110,서울 종로구,11380,은평구,2022,624
11110,서울 종로구,11380,은평구,2023,533
11110,서울 종로구,11380,은평구,2024,540
11110,서울 종로구,11380,은평구,2025,604
11110,서울 종로구,11410,서대문구,2012,1609
11110,서울 종로구,11410,서대문구,2013,1442
11110,서울 종로구,11410,서대문구,2014,1266
11110,서울 종로구,11410,서대문구,2015,1443
11110,서울 종로구,11410,서대문구,2016,1361
11110,서울 종로구,11410,서대문구,2017,2441
11110,서울 종로구,11410,서대문구,2018,1305
11110,서울 종로구,11410,서대문구,2019,1252
11110,서울 종로구,11410,서대문구,2020,1212
11110,서울 종로구,11410,서대문구,2021,1153
11110,서울 종로구,11410,서대문구,2022,853
11110,서울 종로구,11410,서대문구,2023,942
11110,서울 종로구,11410,서대문구,2024,866
11110,서울 종로구,11410,서대문구,2025,940
11110,서울 종로구,11440,마포구,2012,576
11110,서울 종로구,11440,마포구,2013,555
11110,서울 종로구,11440,마포구,2014,501
11110,서울 종로구,11440,마포구,2015,535
11110,서울 종로구,11440,마포구,2016,525
11110,서울 종로구,11440,마포구,2017,1008
11110,서울 종로구,11440,마포구,2018,547
11110,서울 종로구,11440,마포구,2019,564
11110,서울 종로구,11440,마포구,2020,597
11110,서울 종로구,11440,마포구,2021,507
11110,서울 종로구,11440,마포구,2022,518
11110,서울 종로구,11440,마포구,2023,477
11110,서울 종로구,11440,마포구,2024,492
11110,서울 종로구,11440,마포구,2025,475
11110,서울 종로구,11470,양천구,2012,229
11110,서울 종로구,11470,양천구,2013,201
11110,서울 종로구,11470,양천구,2014,246
11110,서울 종로구,11470,양천구,2015,234
11110,서울 종로구,11470,양천구,2016,239
11110,서울 종로구,11470,양천구,2017,360
11110,서울 종로구,11470,양천구,2018,208
11110,서울 종로구,11470,양천구,2019,232
11110,서울 종로구,11470,양천구,2020,265
11110,서울 종로구,11470,양천구,2021,204
11110,서울 종로구,11470,양천구,2022,219
11110,서울 종로구,11470,양천구,2023,179
11110,서울 종로구,11470,양천구,2024,182
11110,서울 종로구,11470,양천구,2025,199
11110,서울 종로구,11500,강서구,2012,317
11110,서울 종로구,11500,강서구,2013,295
11110,서울 종로구,11500,강서구,2014,253
11110,서울 종로구,11500,강서구,2015,297
11110,서울 종로구,11500,강서구,2016,287
11110,서울 종로구,11500,강서구,2017,367
11110,서울 종로구,11500,강서구,2018,298
11110,서울 종로구,11500,강서구,2019,318
11110,서울 종로구,11500,강서구,2020,317
11110,서울 종로구,11500,강서구,2021,291
11110,서울 종로구,11500,강서구,2022,246
11110,서울 종로구,11500,강서구,2023,258
11110,서울 종로구,11500,강서구,2024,275
11110,서울 종로구,11500,강서구,2025,232
11110,서울 종로구,11530,구로구,2012,193
11110,서울 종로구,11530,구로구,2013,139
11110,서울 종로구,11530,구로구,2014,179
11110,서울 종로구,11530,구로구,2015,214
11110,서울 종로구,11530,구로구,2016,154
11110,서울 종로구,11530,구로구,2017,218
11110,서울 종로구,11530,구로구,2018,157
11110,서울 종로구,11530,구로구,2019,150
11110,서울 종로구,11530,구로구,2020,192
11110,서울 종로구,11530,구로구,2021,166
11110,서울 종로구,11530,구로구,2022,155
11110,서울 종로구,11530,구로구,2023,151
11110,서울 종로구,11530,구로구,2024,150
11110,서울 종로구,11530,구로구,2025,179
11110,서울 종로구,11545,금천구,2012,82
11110,서울 종로구,11545,금천구,2013,74
11110,서울 종로구,11545,금천구,2014,78
11110,서울 종로구,11545,금천구,2015,58
11110,서울 종로구,11545,금천구,2016,69
11110,서울 종로구,11545,금천구,2017,92
11110,서울 종로구,11545,금천구,2018,76
11110,서울 종로구,11545,금천구,2019,69
11110,서울 종로구,11545,금천구,2020,96
11110,서울 종로구,11545,금천구,2021,61
11110,서울 종로구,11545,금천구,2022,79
11110,서울 종로구,11545,금천구,2023,61
11110,서울 종로구,11545,금천구,2024,92
11110,서울 종로구,11545,금천구,2025,72
11110,서울 종로구,11560,영등포구,2012,312
11110,서울 종로구,11560,영등포구,2013,276
11110,서울 종로구,11560,영등포구,2014,319
11110,서울 종로구,11560,영등포구,2015,345
11110,서울 종로구,11560,영등포구,2016,301
11110,서울 종로구,11560,영등포구,2017,427
11110,서울 종로구,11560,영등포구,2018,292
11110,서울 종로구,11560,영등포구,2019,340
11110,서울 종로구,11560,영등포구,2020,349
11110,서울 종로구,11560,영등포구,2021,381
11110,서울 종로구,11560,영등포구,2022,280
11110,서울 종로구,11560,영등포구,2023,293
11110,서울 종로구,11560,영등포구,2024,278
11110,서울 종로구,11560,영등포구,2025,266
11110,서울 종로구,11590,동작구,2012,271
11110,서울 종로구,11590,동작구,2013,269
11110,서울 종로구,11590,동작구,2014,254
11110,서울 종로구,11590,동작구,2015,318
11110,서울 종로구,11590,동작구,2016,242
11110,서울 종로구,11590,동작구,2017,360
11110,서울 종로구,11590,동작구,2018,292
11110,서울 종로구,11590,동작구,2019,276
11110,서울 종로구,11590,동작구,2020,332
11110,서울 종로구,11590,동작구,2021,330
11110,서울 종로구,11590,동작구,2022,243
11110,서울 종로구,11590,동작구,2023,281
11110,서울 종로구,11590,동작구,2024,288
11110,서울 종로구,11590,동작구,2025,304
11110,서울 종로구,11620,관악구,2012,393
11110,서울 종로구,11620,관악구,2013,389
11110,서울 종로구,11620,관악구,2014,358
11110,서울 종로구,11620,관악구,2015,352
11110,서울 종로구,11620,관악구,2016,349
11110,서울 종로구,11620,관악구,2017,424
11110,서울 종로구,11620,관악구,2018,359
11110,서울 종로구,11620,관악구,2019,332
11110,서울 종로구,11620,관악구,2020,411
11110,서울 종로구,11620,관악구,2021,394
11110,서울 종로구,11620,관악구,2022,340
11110,서울 종로구,11620,관악구,2023,335
11110,서울 종로구,11620,관악구,2024,387
11110,서울 종로구,11620,관악구,2025,394
11110,서울 종로구,11650,서초구,2012,374
11110,서울 종로구,11650,서초구,2013,418
11110,서울 종로구,11650,서초구,2014,455
11110,서울 종로구,11650,서초구,2015,476
11110,서울 종로구,11650,서초구,2016,431
11110,서울 종로구,11650,서초구,2017,646
11110,서울 종로구,11650,서초구,2018,536
11110,서울 종로구,11650,서초구,2019,487
11110,서울 종로구,11650,서초구,2020,576
11110,서울 종로구,11650,서초구,2021,563
11110,서울 종로구,11650,서초구,2022,392
11110,서울 종로구,11650,서초구,2023,314
11110,서울 종로구,11650,서초구,2024,375
11110,서울 종로구,11650,서초구,2025,380
11110,서울 종로구,11680,강남구,2012,625
11110,서울 종로구,11680,강남구,2013,609
11110,서울 종로구,11680,강남구,2014,576
11110,서울 종로구,11680,강남구,2015,667
11110,서울 종로구,11680,강남구,2016,615
11110,서울 종로구,11680,강남구,2017,714
11110,서울 종로구,11680,강남구,2018,614
11110,서울 종로구,11680,강남구,2019,611
11110,서울 종로구,11680,강남구,2020,686
11110,서울 종로구,11680,강남구,2021,650
11110,서울 종로구,11680,강남구,2022,540
11110,서울 종로구,11680,강남구,2023,549
11110,서울 종로구,11680,강남구,2024,528
11110,서울 종로구,11680,강남구,2025,544
11110,서울 종로구,11710,송파구,2012,402
11110,서울 종로구,11710,송파구,2013,329
11110,서울 종로구,11710,송파구,2014,363
11110,서울 종로구,11710,송파구,2015,369
11110,서울 종로구,11710,송파구,2016,311
11110,서울 종로구,11710,송파구,2017,424
11110,서울 종로구,11710,송파구,2018,426
11110,서울 종로구,11710,송파구,2019,338
11110,서울 종로구,11710,송파구,2020,409
11110,서울 종로구,11710,송파구,2021,448
11110,서울 종로구,11710,송파구,2022,347
11110,서울 종로구,11710,송파구,2023,344
11110,서울 종로구,11710,송파구,2024,338
11110,서울 종로구,11710,송파구,2025,301
11110,서울 종로구,11740,강동구,2012,250
11110,서울 종로구,11740,강동구,2013,226
11110,서울 종로구,11740,강동구,2014,200
11110,서울 종로구,11740,강동구,2015,204
11110,서울 종로구,11740,강동구,2016,236
11110,서울 종로구,11740,강동구,2017,213
11110,서울 종로구,11740,강동구,2018,171
11110,서울 종로구,11740,강동구,2019,145
11110,서울 종로구,11740,강동구,2020,211
11110,서울 종로구,11740,강동구,2021,243
11110,서울 종로구,11740,강동구,2022,180
11110,서울 종로구,11740,강동구,2023,173
11110,서울 종로구,11740,강동구,2024,205
11110,서울 종로구,11740,강동구,2025,181
11110,서울 종로구,26,부산광역시,2012,484
11110,서울 종로구,26,부산광역시,2013,497
11110,서울 종로구,26,부산광역시,2014,541
11110,서울 종로구,26,부산광역시,2015,537
11110,서울 종로구,26,부산광역시,2016,484
11110,서울 종로구,26,부산광역시,2017,528
11110,서울 종로구,26,부산광역시,2018,446
11110,서울 종로구,26,부산광역시,2019,485
11110,서울 종로구,26,부산광역시,2020,454
11110,서울 종로구,26,부산광역시,2021,509
11110,서울 종로구,26,부산광역시,2022,466
11110,서울 종로구,26,부산광역시,2023,416
11110,서울 종로구,26,부산광역시,2024,419
11110,서울 종로구,26,부산광역시,2025,386
11110,서울 종로구,26110,중  구,2012,7
11110,서울 종로구,26110,중  구,2013,11
11110,서울 종로구,26110,중  구,2014,4
11110,서울 종로구,26110,중  구,2015,8
11110,서울 종로구,26110,중  구,2016,10
11110,서울 종로구,26110,중  구,2017,10
11110,서울 종로구,26110,중  구,2018,6
11110,서울 종로구,26110,중  구,2019,5
11110,서울 종로구,26110,중  구,2020,1
11110,서울 종로구,26110,중  구,2021,3
11110,서울 종로구,26110,중  구,2022,9
11110,서울 종로구,26110,중  구,2023,1
11110,서울 종로구,26110,중  구,2024,5
11110,서울 종로구,26110,중  구,2025,3
11110,서울 종로구,26140,서  구,2012,8
11110,서울 종로구,26140,서  구,2013,15
11110,서울 종로구,26140,서  구,2014,16
11110,서울 종로구,26140,서  구,2015,17
11110,서울 종로구,26140,서  구,2016,16
11110,서울 종로구,26140,서  구,2017,22
11110,서울 종로구,26140,서  구,2018,12
11110,서울 종로구,26140,서  구,2019,20
11110,서울 종로구,26140,서  구,2020,12
11110,서울 종로구,26140,서  구,2021,10
11110,서울 종로구,26140,서  구,2022,16
11110,서울 종로구,26140,서  구,2023,9
