rule_key,rule_type,value,conditions_json,region,regulated_area,home_status,first_home_buyer,price_min,price_max,ltv,dsr,dti,stress_rate_bp,max_loan_amount,residence_required,effective_from,effective_to,source_name,source_url,last_verified,status,verification,note
# ─────────────────────────────────────────────────────────────────────────────
# 대출 규칙표.  **한 행에 정책 하나**를 적는다(rule_type).
#
#   LTV           담보인정비율.        value = 0.40 또는 40
#   DSR           총부채원리금상환비율. value = 0.40 또는 40
#   STRESS_DSR    스트레스 가산금리.    value = **bp** (150 = 1.50%p, 300 = 3.00%p)
#                 한도 계산에만 쓰이고 실제 이자비용에는 쓰지 않는다
#   MORTGAGE_CAP  대출 총액 절대한도.   value = 원
#   DTI           총부채상환비율
#
#   FINAL_MORTGAGE = MIN(LTV_LIMIT, DSR_LIMIT, MORTGAGE_CAP, 요청액)
#   "매매가 × LTV" 하나로 대출가능액을 확정하지 않는다.
#
# 조건 컬럼을 비우면 '무관'. 값을 적으면 반드시 맞아야 그 규칙이 잡힌다.
#   region / regulated_area(1·0) / home_status(무주택·1주택·다주택) /
#   first_home_buyer(1·0) / price_min~max
# conditions_json 으로 더 세밀하게 건다. 쓸 수 있는 키:
#   lender_type("은행"·"비은행") / metro(수도권 true) / purpose("주택구입" 등) /
#   disposal_condition(처분조건부 true) / house_count / regulated / first_home_buyer
#
# ★ 같은 rule_type 에 여러 행이 맞으면 **조건이 더 많이 맞는 행**이 이긴다.
#   스트레스 DSR 기본 150bp 위에 규제지역·수도권 300bp 행이 있어서,
#   수도권 물건이면 300bp 가 자동으로 우선한다.
#
# ★ conditions_json 은 AND 만 표현한다. "수도권 **또는** 규제지역" 같은 OR 는
#   행을 나눠 적는다 — 절대한도(MORTGAGE_CAP)가 구간마다 두 벌씩 들어 있는 이유다.
#
# ★★ 백테스트가 이 표에 직접 의존한다.
#    정책이 바뀌면 기존 행을 덮어쓰지 말고 effective_to 를 채운 뒤 새 행을 추가한다.
# ─────────────────────────────────────────────────────────────────────────────
#
# ── 아직 채우지 못한 것 (값을 받지 못해 비워 둠) ───────────────────────────
# 이 세 가지가 없으면 해당 조건에서 LTV 한도가 '확인 불가' 로 나옵니다.
# (그래도 DSR·절대한도로 최종 한도는 계산되며, "이보다 작을 수 있음" 이 붙습니다)
#
# 1) 비규제지역 LTV — 규제지역 40% 규칙의 짝이 되는 값
#ltv/비규제/무주택,LTV,<value>,,,0,무주택,,0,,,,,,,0,<시행일>,,금융위원회,https://www.fsc.go.kr,<확인일>,ENACTED,VERIFIED,
#ltv/비규제/1주택,LTV,<value>,,,0,1주택,,0,,,,,,,0,<시행일>,,금융위원회,https://www.fsc.go.kr,<확인일>,ENACTED,VERIFIED,
#
# 2) 생애최초 LTV — 규제지역에서도 우대되는 별도 규칙
#ltv/생애최초,LTV,<value>,,,,,1,0,,,,,,,0,<시행일>,,금융위원회,https://www.fsc.go.kr,<확인일>,ENACTED,VERIFIED,
#
# 3) 다주택자 LTV — 규제지역 다주택은 0%(금지)일 수 있습니다. 0 이면 0 이라고 적으세요
#ltv/규제지역/다주택,LTV,<value>,,,1,다주택,,0,,,,,,,0,<시행일>,,금융위원회,https://www.fsc.go.kr,<확인일>,ENACTED,VERIFIED,
#
# 4) 발표됐지만 시행 전인 정책은 status 를 ANNOUNCED 로 — 금액에 넣지 않습니다
#ltv/개편안,LTV,<value>,,,,,,0,,,,,,,0,<시행예정일>,,금융위원회 발표,https://www.fsc.go.kr,<확인일>,ANNOUNCED,NEEDS_VERIFICATION,시행 전 — 계산에 넣지 않음
dsr/은행권,DSR,0.4,"{""lender_type"": ""은행""}",,,,,0,,,,,,,0,2022-07-01,,금융위원회 금융업권 감독규정 (차주단위 DSR),https://www.fsc.go.kr/po040200/78428,2026-08-31,ENACTED,VERIFIED,총대출액 1억원 초과 차주에 대한 차주단위 DSR. 은행권 40%. [종인님이 2026-08-31 직접 제공·검증한 값]
dsr/비은행권,DSR,0.5,"{""lender_type"": ""비은행""}",,,,,0,,,,,,,0,2022-07-01,,금융위원회 금융업권 감독규정 (차주단위 DSR),https://www.fsc.go.kr/po040200/78428,2026-08-31,ENACTED,VERIFIED,비은행권 50%. [종인님이 2026-08-31 직접 제공·검증한 값]
stress/3단계/기본,STRESS_DSR,150,,,,,,0,,,,,,,0,2025-07-01,,금융위원회 3단계 스트레스 DSR 시행방안,https://www.fsc.go.kr/po010101/84617,2026-08-31,ENACTED,VERIFIED,3단계 스트레스 DSR 기본 스트레스 금리 1.50%p = 150bp. 한도 계산에만 쓰이고 실제 이자비용에는 쓰지 않는다. [종인님이 2026-08-31 직접 제공·검증한 값]
stress/3단계/규제지역,STRESS_DSR,300,,,1,,,0,,,,,,,0,2025-10-16,,금융위원회 10.15 주택시장 안정화 대책 후속 금융대책,https://www.fsc.go.kr/po020201/85518,2026-08-31,ENACTED,VERIFIED,규제지역 주담대 스트레스 금리 3.00%p = 300bp (기본 규칙보다 우선). ★시행일은 10.15 대책(2025-10-16 시행) 기준으로 적었습니다. 정확한 시행일이 다르면 effective_from 을 고치세요. [종인님이 2026-08-31 직접 제공·검증한 값]
stress/3단계/수도권,STRESS_DSR,300,"{""metro"": true}",,,,,0,,,,,,,0,2025-10-16,,금융위원회 10.15 주택시장 안정화 대책 후속 금융대책,https://www.fsc.go.kr/po020201/85518,2026-08-31,ENACTED,VERIFIED,수도권(서울·경기·인천) 주담대 스트레스 금리 3.00%p = 300bp. ★시행일은 10.15 대책(2025-10-16 시행) 기준으로 적었습니다. 정확한 시행일이 다르면 effective_from 을 고치세요. [종인님이 2026-08-31 직접 제공·검증한 값]
ltv/규제지역/무주택,LTV,0.4,,,1,무주택,,0,,,,,,,1,2025-10-16,,금융위원회 10.15 주택시장 안정화 대책 후속 금융대책,https://www.fsc.go.kr/po020201/85518,2026-08-31,ENACTED,VERIFIED,규제지역 무주택자 LTV 70% → 40% 강화. ★시행일은 10.15 대책(2025-10-16 시행) 기준으로 적었습니다. 정확한 시행일이 다르면 effective_from 을 고치세요. [종인님이 2026-08-31 직접 제공·검증한 값]
ltv/규제지역/처분조건부1주택,LTV,0.4,"{""disposal_condition"": true}",,1,1주택,,0,,,,,,,1,2025-10-16,,금융위원회 10.15 주택시장 안정화 대책 후속 금융대책,https://www.fsc.go.kr/po020201/85518,2026-08-31,ENACTED,VERIFIED,규제지역 **처분조건부** 1주택자 LTV 40%. 처분조건을 걸지 않은 1주택자는 별도 규칙이라 여기서 추정하지 않는다. ★시행일은 10.15 대책(2025-10-16 시행) 기준으로 적었습니다. 정확한 시행일이 다르면 effective_from 을 고치세요. [종인님이 2026-08-31 직접 제공·검증한 값]
cap/규제지역/15억이하,MORTGAGE_CAP,600000000,"{""purpose"": ""주택구입""}",,1,,,0,1500000000,,,,,,0,2025-10-16,,금융위원회 주택시장 안정화를 위한 대출수요 관리 방안,https://www.fsc.go.kr/po010101/85432,2026-08-31,ENACTED,VERIFIED,규제지역 주택구입목적 주담대 절대한도. 시가 15억이하 → 6억. [종인님이 2026-08-31 직접 제공·검증한 값]
cap/수도권/15억이하,MORTGAGE_CAP,600000000,"{""metro"": true, ""purpose"": ""주택구입""}",,,,,0,1500000000,,,,,,0,2025-10-16,,금융위원회 주택시장 안정화를 위한 대출수요 관리 방안,https://www.fsc.go.kr/po010101/85432,2026-08-31,ENACTED,VERIFIED,수도권 주택구입목적 주담대 절대한도. 시가 15억이하 → 6억. [종인님이 2026-08-31 직접 제공·검증한 값]
cap/규제지역/15억~25억,MORTGAGE_CAP,400000000,"{""purpose"": ""주택구입""}",,1,,,1500000000,2500000000,,,,,,0,2025-10-16,,금융위원회 주택시장 안정화를 위한 대출수요 관리 방안,https://www.fsc.go.kr/po010101/85432,2026-08-31,ENACTED,VERIFIED,규제지역 주택구입목적 주담대 절대한도. 시가 15억~25억 → 4억. [종인님이 2026-08-31 직접 제공·검증한 값]
cap/수도권/15억~25억,MORTGAGE_CAP,400000000,"{""metro"": true, ""purpose"": ""주택구입""}",,,,,1500000000,2500000000,,,,,,0,2025-10-16,,금융위원회 주택시장 안정화를 위한 대출수요 관리 방안,https://www.fsc.go.kr/po010101/85432,2026-08-31,ENACTED,VERIFIED,수도권 주택구입목적 주담대 절대한도. 시가 15억~25억 → 4억. [종인님이 2026-08-31 직접 제공·검증한 값]
cap/규제지역/25억초과,MORTGAGE_CAP,200000000,"{""purpose"": ""주택구입""}",,1,,,2500000000,,,,,,,0,2025-10-16,,금융위원회 주택시장 안정화를 위한 대출수요 관리 방안,https://www.fsc.go.kr/po010101/85432,2026-08-31,ENACTED,VERIFIED,규제지역 주택구입목적 주담대 절대한도. 시가 25억초과 → 2억. [종인님이 2026-08-31 직접 제공·검증한 값]
cap/수도권/25억초과,MORTGAGE_CAP,200000000,"{""metro"": true, ""purpose"": ""주택구입""}",,,,,2500000000,,,,,,,0,2025-10-16,,금융위원회 주택시장 안정화를 위한 대출수요 관리 방안,https://www.fsc.go.kr/po010101/85432,2026-08-31,ENACTED,VERIFIED,수도권 주택구입목적 주담대 절대한도. 시가 25억초과 → 2억. [종인님이 2026-08-31 직접 제공·검증한 값]
ltv/비규제지역/기본,LTV,0.7,,,0,,,0,,,,,,,0,2026-08-01,,금융위원회 2026년 가계부채 관리방안,https://www.fsc.go.kr/comm/getFile?fileNo=3&fileTy=ATTACH&srvcId=BBSTY1&upperNo=87517,2026-09-01,ENACTED,VERIFIED,비규제지역 기본 LTV 70%. 최종 한도는 DSR·절대한도·은행심사 중 최솟값이다. [종인님 2026-09-01 작업지시서 제공]
ltv/수도권/다주택자,LTV,0.0,"{""purpose"": ""주택구입""}",수도권,,다주택,,0,,,,,,,0,2026-08-01,,금융위원회 2026년 가계부채 관리방안,https://www.fsc.go.kr/comm/getFile?fileNo=3&fileTy=ATTACH&srvcId=BBSTY1&upperNo=87517,2026-09-01,ENACTED,VERIFIED,다주택자의 수도권 주택구입 목적 주담대 LTV 0%. 생애최초·서민실수요자·정책대출·경과조치는 별도 규칙으로 분리한다. [종인님 2026-09-01 작업지시서 제공]
