emd_cd10,sido_cd,sgg_cd,ym,workplaces,insured,notice_amount,file
1154510100,11,11545,2026-0,6967,121114,43354088340, 내역_20260825
4113510700,41,41135,2026-0,823,22510,8942620540, 내역_20260825
1141011800,11,11410,2026-0,149,2491,704098600, 내역_20260825
1168011400,11,11680,2026-0,199,10476,5163560900, 내역_20260825
1165010800,11,11650,2026-0,5685,168285,66042726860, 내역_20260825
1114015400,11,11140,2026-0,69,548,184130060, 내역_20260825
1171010700,11,11710,2026-0,1869,23196,8275965620, 내역_20260825
4121010600,41,41210,2026-0,847,19180,7596072540, 내역_20260825
1159010100,11,11590,2026-0,246,3328,1091817840, 내역_20260825
1111010600,11,11110,2026-0,56,735,240094100, 내역_20260825
1111011600,11,11110,2026-0,20,2100,758599500, 내역_20260825
1156011000,11,11560,2026-0,3123,271250,136856416740, 내역_20260825
1111012600,11,11110,2026-0,147,7414,3718130600, 내역_20260825
1114010300,11,11140,2026-0,291,10298,4565908680, 내역_20260825
1114010400,11,11140,2026-0,78,13650,7607323400, 내역_20260825
1114014400,11,11140,2026-0,106,5481,2091345960, 내역_20260825
1114010800,11,11140,2026-0,130,8980,4945766800, 내역_20260825
1114011100,11,11140,2026-0,141,15930,7226971420, 내역_20260825
4128113100,41,41281,2026-0,598,4855,1637670040, 내역_20260825
1138010100,11,11380,2026-0,62,1025,294146520, 내역_20260825
1111018400,11,11110,2026-0,37,1193,249049940, 내역_20260825
1171010600,11,11710,2026-0,257,7778,2448001180, 내역_20260825
1111016400,11,11110,2026-0,179,2797,1064909860, 내역_20260825
1114011800,11,11140,2026-0,309,26399,13175804640, 내역_20260825
1150010500,11,11500,2026-0,2700,98221,41841531520, 내역_20260825
1153010200,11,11530,2026-0,3970,78451,28396770560, 내역_20260825
4167038021,41,41670,2026-0,27,281,89355280, 내역_20260825
1114015100,11,11140,2026-0,41,312,101501880, 내역_20260825
1126010600,11,11260,2026-0,516,7306,2481162220, 내역_20260825
1165010700,11,11650,2026-0,1062,25206,9651085480, 내역_20260825
4122011600,41,41220,2026-0,16,337,125918800, 내역_20260825
1121510300,11,11215,2026-0,666,10515,3319089400, 내역_20260825
