complex_id,complex_name,lawd_cd,region,project_name,project_type,option_stage,option_stage_label,stage_verification,stage_source,stage_label_raw,match_meters,existing_far,existing_households,site_area,land_share,base_allowed_far,policy_allowed_far,upside_allowed_far,estimated_new_households,member_households,general_sale_units,general_sale_ratio,estimated_member_contribution,contribution_status,years_to_next_stage,years_to_completion,project_probability,probability_status,base_case_liquid_exit,project_case_liquid_exit,upside_case_liquid_exit,base_terminal_wealth,project_terminal_wealth,upside_terminal_wealth,net_project_upside,option_value,option_already_priced_ratio,option_data_confidence,option_research_status,option_research_priority
6623,군자주공11단지,41273,경기,군자주공5단지,재건축,8,NEAR_COMPLETE,PROXY_MATCH,경기데이터드림 정비사업 추진현황,청산,375.2,52.216544496000864,400.0,N/A,93.0873949579832,240.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,LOW,STAGE_MAPPED_ONLY,HIGH
6625,"군자주공9,10단지",41273,경기,군자주공7단지,재건축,8,NEAR_COMPLETE,PROXY_MATCH,경기데이터드림 정비사업 추진현황,준공,182.0,228.3920520246544,480.0,N/A,21.26233082706767,264.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,LOW,STAGE_MAPPED_ONLY,HIGH
8261,마평우성,41461,경기,마평1,주거환경개선,8,NEAR_COMPLETE,PROXY_MATCH,경기데이터드림 정비사업 추진현황,준공,365.5,230.0,352.0,N/A,N/A,230.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,LOW,STAGE_MAPPED_ONLY,HIGH
5641,박달1차한신휴플러스,41171,경기,박달1동 연합지구,재건축,8,NEAR_COMPLETE,VERIFIED,경기데이터드림 정비사업 추진현황,준공,97.6,128.0,313.0,N/A,N/A,262.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
9297,서암주공,41570,경기,서암,주거환경개선,8,NEAR_COMPLETE,PROXY_MATCH,경기데이터드림 정비사업 추진현황,준공,261.2,200.0,126.0,N/A,N/A,200.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,LOW,STAGE_MAPPED_ONLY,HIGH
6150,서정주공3단지,41220,경기,서정주공1,재건축,8,NEAR_COMPLETE,VERIFIED,경기데이터드림 정비사업 추진현황,준공,64.1,82.71301817659314,582.0,N/A,58.60631578947369,230.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
6527,성포주공10단지,41271,경기,성포주공3단지,재건축,8,NEAR_COMPLETE,PROXY_MATCH,경기데이터드림 정비사업 추진현황,청산,152.1,81.0,700.0,N/A,N/A,259.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,LOW,STAGE_MAPPED_ONLY,HIGH
6146,세경아파트,41220,경기,서정연립,재건축,8,NEAR_COMPLETE,VERIFIED,경기데이터드림 정비사업 추진현황,준공,148.1,137.4976849576567,420.0,N/A,46.024047619047614,228.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
8220,역북신원아침도시아파트,41461,경기,김량주공아파트(용인1구역),재건축,8,NEAR_COMPLETE,PROXY_MATCH,경기데이터드림 정비사업 추진현황,준공,241.4,90.0,450.0,N/A,N/A,220.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,LOW,STAGE_MAPPED_ONLY,HIGH
6081,철산주공13단지,41210,경기,"철산주공8,9단지",재건축,8,NEAR_COMPLETE,PROXY_MATCH,경기데이터드림 정비사업 추진현황,준공,223.6,169.96840519298806,2064.0,N/A,55.78191056910569,280.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,LOW,STAGE_MAPPED_ONLY,HIGH
