amsmtFclty,appnNtfcDate,cltrFclty,cnvnncFclty,etcFclty,institutionNm,insttCode,insttNm,latitude,lnmadr,longitude,manageNo,mvmFclty,parkAr,parkNm,parkSe,phoneNumber,rdnmadr,referenceDate
,2009-07-03,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.66684436,경기도 고양시 일산서구 대화동 2718,126.7432461,41287-00055,,4457,국제전시2단계(제1호문화공원),문화공원,031-8075-4341,,2025-12-15
,2012-06-29,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.69514584,경기도 고양시 일산서구 탄현동 1637,126.7641204,41287-00056,,3488.8,탄현주상복합(탄현통나무),어린이공원,031-8075-4341,,2025-12-15
,2013-03-15,,화장실,조형물,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67473275,경기도 고양시 일산서구 대화동 2316,126.7387386,41287-00057,체력단련시설,29812,농업체험,근린공원,031-8075-4341,경기도 고양시 일산서구 대수길 31-5,2025-12-15
,2013-03-15,생태교육학습센터,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.68394896,경기도 고양시 일산서구 대화동 2330,126.7441279,41287-00058,,56712,고양생태,근린공원,031-8075-4341,경기도 고양시 일산서구 대화로 315,2025-12-15
조합놀이대,2013-03-15,,화장실,야외무대+피크닉장,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.68536054,경기도 고양시 일산서구 대화동 2337,126.7486216,41287-00059,게이트볼장+족구장+체력단련시설,18125.4,고양피크닉시민공원,근린공원,031-8075-4341,경기도 고양시 일산서구 대화로 355,2025-12-15
조합놀이대,1971-09-27,유아숲체험원,주차장+화장실,피크닉장,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.64905648,경기도 고양시 덕양구 성사동 267,126.835368,41281-00001,체력단련시설+실내배드민턴장+테니스장,543650,성라,근린공원,031-8075-4318,경기도 고양시 덕양구 고양대로 1432번길 84-18,2025-12-15
조합놀이대,1971-09-27,작은도서관,주차장+화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.66014949,경기도 고양시 덕양구 주교동 313-16,126.8330165,41281-00002,국궁장+다목적운동장+농구장+실내배드민턴장+게이트볼장+체력단련시설,104445,마상,근린공원,031-8075-4316,경기도 고양시 덕양구 원당로 69번길 46,2025-12-15
조합놀이대,1971-09-27,청소년수련관,주차장+화장실,경로당,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.62199707,경기도 고양시 덕양구 토당동 3-39,126.8271981,41281-00003,야외배드민턴장+축구장+테니스장+농구장+게이트볼장+실내배드민턴장+체력단련시설,173813,지도,근린공원,031-8075-4319,경기도 고양시 덕양구 행당로11번길 42,2025-12-15
,1971-09-27,고양인재교육원,주차장+화장실,행주산성문화재+전망대,경기도 고양시 행주산성관리사업소,3940000,경기도 고양시,37.60312868,경기도 고양시 덕양구 행주외동 53-13,126.8233225,41281-00004,,410245,행주산성,역사공원,031-8075-4640,,2025-12-15
조합놀이대1+유아용조합놀이대1+그네1+시소2+흔들놀이2+날으는흔들놀이2,,,파고라3+등의자8+연식의자2,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.606876,서울특별시 은평구 갈현동 474-1,126.914238,11380-00012,파도타기1+입식헬스싸이클1+상체근육풀기1+역기올리기1+전신하늘걷기1+트위스트머신1+달리기운동1,1596.7,길마어린이공원,어린이공원,02-350-5248,,2026-07-16
조합놀이대1+그네1+시소2,,,원형시계1+화장실1+사무실1,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.625092,서울특별시 은평구 녹번동 158-1,126.926178,11380-00001,트윈트위스트1+스트레칭로라1+워밍맘1+철봉1+평행봉1,956,새록어린이공원,어린이공원,02-350-5248,,2026-07-16
조합놀이대1유아용조합놀이대1,,,화장실1,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.615323,서울특별시 은평구 응암동 85-41,126.919745,11380-00002,트윈위밍암1+파도타기1+크로스컨트리1+허리돌리기2+스트레칭로라1+거꾸리머신1,992.1,응암어린이공원,어린이공원,02-350-5248,,2026-07-16
조합놀이대1,,,,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.614689,서울특별시 은평구 녹번동 20-6,126.915685,11380-00003,온몸당겨올리기1+온몸밀어올리기1+무릎펴서걷기1+어깨손목돌리기1+허리돌리기1+허리흔들기1+레그프레스1+체어웨이트1,469,신록어린이공원,어린이공원,02-350-5248,,2026-07-16
조합놀이대1+그네1+시소1+흔들놀이5+모래놀이시설,,,음수대1화장실1,,서울특별시 은평구시설관리공단,3110000,서울특별시 은평구,37.617265,서울특별시 은평구 응암동 120-22,126.913295,11380-00004,크로스컨트리1허리돌리기1스트레칭로라1+스윙워커미신+온몸역기올리기1+옆파도타기1,954.4,참다래어린이공원,어린이공원,02-350-5248,,2026-07-16
