lawd_cd,emd_name,designator,target_scope,target_use,effective_from,effective_to,residence_duty_months,jeonse_succession_allowed,resale_restriction,source_name,source_url,last_verified,note
28125,,인천광역시장,외국인,,2025-08-26,2026-08-25,,0,,"인천광역시 토지거래허가구역 현황 (공공데이터포털 15103016, 작성기준일 2025-09-06)",https://www.data.go.kr/data/15103016/fileData.do,2026-08-31,'외국인 등' 토허 7개 구 477.91㎢ 중 중구·동구 (→제물포구). 내국인 매수에는 적용되지 않는다. 이 행은 원지정(2025-08-26~2026-08-25) 기록이다. 국토교통부 2026-08-20 공고로 2027-08-25 까지 1년 연장됐다 — 연장분은 신행정구역 코드로 rules/permit_foreign.csv 에 별도로 들어 있다. 같은 지정을 두 번 적지 않는다. 실거주 의무기간은 원 고시에서 확인하지 못해 비워 둔다 — 0 이 아니라 미확인이라 NEEDS_CHECK 로 막힌다
28155,,인천광역시장,외국인,,2025-08-26,2026-08-25,,0,,"인천광역시 토지거래허가구역 현황 (공공데이터포털 15103016, 작성기준일 2025-09-06)",https://www.data.go.kr/data/15103016/fileData.do,2026-08-31,'외국인 등' 토허 7개 구 477.91㎢ 중 중구 영종 (→영종구). 내국인 매수에는 적용되지 않는다. 이 행은 원지정(2025-08-26~2026-08-25) 기록이다. 국토교통부 2026-08-20 공고로 2027-08-25 까지 1년 연장됐다 — 연장분은 신행정구역 코드로 rules/permit_foreign.csv 에 별도로 들어 있다. 같은 지정을 두 번 적지 않는다. 실거주 의무기간은 원 고시에서 확인하지 못해 비워 둔다 — 0 이 아니라 미확인이라 NEEDS_CHECK 로 막힌다
28177,,인천광역시장,외국인,,2025-08-26,2026-08-25,,0,,"인천광역시 토지거래허가구역 현황 (공공데이터포털 15103016, 작성기준일 2025-09-06)",https://www.data.go.kr/data/15103016/fileData.do,2026-08-31,'외국인 등' 토허 7개 구 477.91㎢ 중 미추홀구. 내국인 매수에는 적용되지 않는다. 이 행은 원지정(2025-08-26~2026-08-25) 기록이다. 국토교통부 2026-08-20 공고로 2027-08-25 까지 1년 연장됐다 — 연장분은 신행정구역 코드로 rules/permit_foreign.csv 에 별도로 들어 있다. 같은 지정을 두 번 적지 않는다. 실거주 의무기간은 원 고시에서 확인하지 못해 비워 둔다 — 0 이 아니라 미확인이라 NEEDS_CHECK 로 막힌다
28185,,인천광역시장,외국인,,2025-08-26,2026-08-25,,0,,"인천광역시 토지거래허가구역 현황 (공공데이터포털 15103016, 작성기준일 2025-09-06)",https://www.data.go.kr/data/15103016/fileData.do,2026-08-31,'외국인 등' 토허 7개 구 477.91㎢ 중 연수구. 내국인 매수에는 적용되지 않는다. 이 행은 원지정(2025-08-26~2026-08-25) 기록이다. 국토교통부 2026-08-20 공고로 2027-08-25 까지 1년 연장됐다 — 연장분은 신행정구역 코드로 rules/permit_foreign.csv 에 별도로 들어 있다. 같은 지정을 두 번 적지 않는다. 실거주 의무기간은 원 고시에서 확인하지 못해 비워 둔다 — 0 이 아니라 미확인이라 NEEDS_CHECK 로 막힌다
28200,,인천광역시장,외국인,,2025-08-26,2026-08-25,,0,,"인천광역시 토지거래허가구역 현황 (공공데이터포털 15103016, 작성기준일 2025-09-06)",https://www.data.go.kr/data/15103016/fileData.do,2026-08-31,'외국인 등' 토허 7개 구 477.91㎢ 중 남동구. 내국인 매수에는 적용되지 않는다. 이 행은 원지정(2025-08-26~2026-08-25) 기록이다. 국토교통부 2026-08-20 공고로 2027-08-25 까지 1년 연장됐다 — 연장분은 신행정구역 코드로 rules/permit_foreign.csv 에 별도로 들어 있다. 같은 지정을 두 번 적지 않는다. 실거주 의무기간은 원 고시에서 확인하지 못해 비워 둔다 — 0 이 아니라 미확인이라 NEEDS_CHECK 로 막힌다
28237,,인천광역시장,외국인,,2025-08-26,2026-08-25,,0,,"인천광역시 토지거래허가구역 현황 (공공데이터포털 15103016, 작성기준일 2025-09-06)",https://www.data.go.kr/data/15103016/fileData.do,2026-08-31,'외국인 등' 토허 7개 구 477.91㎢ 중 부평구. 내국인 매수에는 적용되지 않는다. 이 행은 원지정(2025-08-26~2026-08-25) 기록이다. 국토교통부 2026-08-20 공고로 2027-08-25 까지 1년 연장됐다 — 연장분은 신행정구역 코드로 rules/permit_foreign.csv 에 별도로 들어 있다. 같은 지정을 두 번 적지 않는다. 실거주 의무기간은 원 고시에서 확인하지 못해 비워 둔다 — 0 이 아니라 미확인이라 NEEDS_CHECK 로 막힌다
28245,,인천광역시장,외국인,,2025-08-26,2026-08-25,,0,,"인천광역시 토지거래허가구역 현황 (공공데이터포털 15103016, 작성기준일 2025-09-06)",https://www.data.go.kr/data/15103016/fileData.do,2026-08-31,'외국인 등' 토허 7개 구 477.91㎢ 중 계양구. 내국인 매수에는 적용되지 않는다. 이 행은 원지정(2025-08-26~2026-08-25) 기록이다. 국토교통부 2026-08-20 공고로 2027-08-25 까지 1년 연장됐다 — 연장분은 신행정구역 코드로 rules/permit_foreign.csv 에 별도로 들어 있다. 같은 지정을 두 번 적지 않는다. 실거주 의무기간은 원 고시에서 확인하지 못해 비워 둔다 — 0 이 아니라 미확인이라 NEEDS_CHECK 로 막힌다
28275,,인천광역시장,외국인,,2025-08-26,2026-08-25,,0,,"인천광역시 토지거래허가구역 현황 (공공데이터포털 15103016, 작성기준일 2025-09-06)",https://www.data.go.kr/data/15103016/fileData.do,2026-08-31,'외국인 등' 토허 7개 구 477.91㎢ 중 서구 (→서해구). 내국인 매수에는 적용되지 않는다. 이 행은 원지정(2025-08-26~2026-08-25) 기록이다. 국토교통부 2026-08-20 공고로 2027-08-25 까지 1년 연장됐다 — 연장분은 신행정구역 코드로 rules/permit_foreign.csv 에 별도로 들어 있다. 같은 지정을 두 번 적지 않는다. 실거주 의무기간은 원 고시에서 확인하지 못해 비워 둔다 — 0 이 아니라 미확인이라 NEEDS_CHECK 로 막힌다
28290,,인천광역시장,외국인,,2025-08-26,2026-08-25,,0,,"인천광역시 토지거래허가구역 현황 (공공데이터포털 15103016, 작성기준일 2025-09-06)",https://www.data.go.kr/data/15103016/fileData.do,2026-08-31,'외국인 등' 토허 7개 구 477.91㎢ 중 서구 (→검단구). 내국인 매수에는 적용되지 않는다. 이 행은 원지정(2025-08-26~2026-08-25) 기록이다. 국토교통부 2026-08-20 공고로 2027-08-25 까지 1년 연장됐다 — 연장분은 신행정구역 코드로 rules/permit_foreign.csv 에 별도로 들어 있다. 같은 지정을 두 번 적지 않는다. 실거주 의무기간은 원 고시에서 확인하지 못해 비워 둔다 — 0 이 아니라 미확인이라 NEEDS_CHECK 로 막힌다
28185,선학동,인천광역시장,전체,,2024-09-21,2025-09-20,,0,,"인천광역시 토지거래허가구역 현황 (공공데이터포털 15103016, 작성기준일 2025-09-06)",https://www.data.go.kr/data/15103016/fileData.do,,구월2 공공주택지구 및 인근지역 5.43㎢. 이미 만료(2025-09-20). ★target_scope 를 원 고시에서 확인하지 못해 '전체' 로 뒀다 — 미검증
