# ═══════════════════════════════════════════════════════════════════════
# 내국인에게도 적용되는 아파트 토지거래허가구역 (ALL_BUYERS)
# ═══════════════════════════════════════════════════════════════════════
#
# ⚠ 이 파일은 rules/permit_foreign.csv 와 **완전히 다른 레이어**다.
#   저기는 외국인만(FOREIGN_ONLY), 여기는 내국인·외국인 모두(ALL_BUYERS).
#   섞으면 내국인이 인천 아파트를 못 사거나, 외국인 규칙이 서울 전체에
#   걸리는 사고가 난다.
#
# ⚠ 이것은 **광역(시·구 단위) 아파트 지정**이다. 재건축·재개발·
#   신속통합기획·모아타운 등 **필지 단위** 지정은 별도 레이어이고
#   아직 수집하지 않았다 (permit_coverage 의 PARCEL_SPECIFIC 참고).
#
# 허가 대상: 주거지역 토지지분 6㎡ **초과** (6㎡ 이하는 대상 아님)
# 실거주의무: 24개월 → 비거주 투자는 BLOCK
#
# lawd_cd 는 전부 region 표에서 조회한 값이다. 지어낸 코드가 없다.
rule_id,lawd_cd,zone_group,target_scope,buyer_scope,property_scope,effective_from,effective_to,residence_duty_months,jeonse_succession_allowed,residential_threshold_sqm,status,source_name,source_url,last_verified,note
LPZ_2025_SEOUL_JONGNO,11110,2025_10_15,전체,ALL_BUYERS,APARTMENT_AND_SAME_COMPLEX_MULTI_HOUSING,2025-10-20,2026-12-31,24,0,6,ENACTED,국토교통부 2025 10·15 대책,https://www.korea.kr/news/policyNewsView.do?newsId=148950973,2026-09-01,서울 종로구 · 아파트 및 동일단지에 아파트 1개동 이상 포함된 연립·다세대
LPZ_2025_SEOUL_JUNG,11140,2025_10_15,전체,ALL_BUYERS,APARTMENT_AND_SAME_COMPLEX_MULTI_HOUSING,2025-10-20,2026-12-31,24,0,6,ENACTED,국토교통부 2025 10·15 대책,https://www.korea.kr/news/policyNewsView.do?newsId=148950973,2026-09-01,서울 중구 · 아파트 및 동일단지에 아파트 1개동 이상 포함된 연립·다세대
LPZ_2025_SEOUL_YONGSAN,11170,2025_10_15,전체,ALL_BUYERS,APARTMENT_AND_SAME_COMPLEX_MULTI_HOUSING,2025-10-20,2026-12-31,24,0,6,ENACTED,국토교통부 2025 10·15 대책,https://www.korea.kr/news/policyNewsView.do?newsId=148950973,2026-09-01,서울 용산구 · 아파트 및 동일단지에 아파트 1개동 이상 포함된 연립·다세대
LPZ_2025_SEOUL_SEONGDONG,11200,2025_10_15,전체,ALL_BUYERS,APARTMENT_AND_SAME_COMPLEX_MULTI_HOUSING,2025-10-20,2026-12-31,24,0,6,ENACTED,국토교통부 2025 10·15 대책,https://www.korea.kr/news/policyNewsView.do?newsId=148950973,2026-09-01,서울 성동구 · 아파트 및 동일단지에 아파트 1개동 이상 포함된 연립·다세대
LPZ_2025_SEOUL_GWANGJIN,11215,2025_10_15,전체,ALL_BUYERS,APARTMENT_AND_SAME_COMPLEX_MULTI_HOUSING,2025-10-20,2026-12-31,24,0,6,ENACTED,국토교통부 2025 10·15 대책,https://www.korea.kr/news/policyNewsView.do?newsId=148950973,2026-09-01,서울 광진구 · 아파트 및 동일단지에 아파트 1개동 이상 포함된 연립·다세대
LPZ_2025_SEOUL_DONGDAEMUN,11230,2025_10_15,전체,ALL_BUYERS,APARTMENT_AND_SAME_COMPLEX_MULTI_HOUSING,2025-10-20,2026-12-31,24,0,6,ENACTED,국토교통부 2025 10·15 대책,https://www.korea.kr/news/policyNewsView.do?newsId=148950973,2026-09-01,서울 동대문구 · 아파트 및 동일단지에 아파트 1개동 이상 포함된 연립·다세대
LPZ_2025_SEOUL_JUNGNANG,11260,2025_10_15,전체,ALL_BUYERS,APARTMENT_AND_SAME_COMPLEX_MULTI_HOUSING,2025-10-20,2026-12-31,24,0,6,ENACTED,국토교통부 2025 10·15 대책,https://www.korea.kr/news/policyNewsView.do?newsId=148950973,2026-09-01,서울 중랑구 · 아파트 및 동일단지에 아파트 1개동 이상 포함된 연립·다세대
LPZ_2025_SEOUL_SEONGBUK,11290,2025_10_15,전체,ALL_BUYERS,APARTMENT_AND_SAME_COMPLEX_MULTI_HOUSING,2025-10-20,2026-12-31,24,0,6,ENACTED,국토교통부 2025 10·15 대책,https://www.korea.kr/news/policyNewsView.do?newsId=148950973,2026-09-01,서울 성북구 · 아파트 및 동일단지에 아파트 1개동 이상 포함된 연립·다세대
LPZ_2025_SEOUL_GANGBUK,11305,2025_10_15,전체,ALL_BUYERS,APARTMENT_AND_SAME_COMPLEX_MULTI_HOUSING,2025-10-20,2026-12-31,24,0,6,ENACTED,국토교통부 2025 10·15 대책,https://www.korea.kr/news/policyNewsView.do?newsId=148950973,2026-09-01,서울 강북구 · 아파트 및 동일단지에 아파트 1개동 이상 포함된 연립·다세대
LPZ_2025_SEOUL_DOBONG,11320,2025_10_15,전체,ALL_BUYERS,APARTMENT_AND_SAME_COMPLEX_MULTI_HOUSING,2025-10-20,2026-12-31,24,0,6,ENACTED,국토교통부 2025 10·15 대책,https://www.korea.kr/news/policyNewsView.do?newsId=148950973,2026-09-01,서울 도봉구 · 아파트 및 동일단지에 아파트 1개동 이상 포함된 연립·다세대
