complex_id,name,lawd_cd,option_stage,households,current_m2_won,post_redev_m2_won,gross_uplift,n_new_within_2km,status
6623,군자주공11단지,41273,8,1190,,,,4,N/A(2km 안 최근 5년 신축 부족)
6625,"군자주공9,10단지",41273,8,1330,,,,4,N/A(2km 안 최근 5년 신축 부족)
6527,성포주공10단지,41271,8,1380,,,,0,N/A(2km 안 최근 5년 신축 부족)
6081,철산주공13단지,41210,8,2460,16770833,15639881,0.933,5,"PROXY(동일 생활권 신축 ㎡단가, 분담금·기간 미차감)"
4422,강동헤리티지자이,11740,8,1299,25000000,20922619,0.837,4,"PROXY(동일 생활권 신축 ㎡단가, 분담금·기간 미차감)"
2258,상계주공9단지,11350,8,2830,,,,1,N/A(2km 안 최근 5년 신축 부족)
3911,서초그랑자이,11650,8,1446,46428571,,,1,N/A(2km 안 최근 5년 신축 부족)
4214,잠실르엘,11710,8,1865,,,,0,N/A(2km 안 최근 5년 신축 부족)
4454,프라이어팰리스,11740,8,1622,20461310,22023810,1.076,3,"PROXY(동일 생활권 신축 ㎡단가, 분담금·기간 미차감)"
3727,힐스테이트뉴포레,11620,8,1143,20178571,,,1,N/A(2km 안 최근 5년 신축 부족)
7644,e편한세상 시흥 더블스퀘어 아파트,41390,7,1026,,,,0,N/A(2km 안 최근 5년 신축 부족)
6065,철산 자이브리에르,41210,7,1490,,,,5,N/A(2km 안 최근 5년 신축 부족)
3246,개봉한진,11530,7,1371,8062500,15639881,1.94,5,"PROXY(동일 생활권 신축 ㎡단가, 분담금·기간 미차감)"
3870,반포래미안트리니원,11650,7,2091,,,,4,N/A(2km 안 최근 5년 신축 부족)
3996,역삼래미안,11680,7,1050,38238095,40625000,1.062,2,"PROXY(동일 생활권 신축 ㎡단가, 분담금·기간 미차감)"
3491,래미안에스티움,11560,6,1722,23095238,20178571,0.874,5,"PROXY(동일 생활권 신축 ㎡단가, 분담금·기간 미차감)"
5061,은행주공,41133,5,1900,10238095,15297619,1.494,3,"PROXY(동일 생활권 신축 ㎡단가, 분담금·기간 미차감)"
1994,번동주공5단지,11305,5,1123,,,,2,N/A(2km 안 최근 5년 신축 부족)
4088,은마,11680,5,4424,46220238,41666667,0.901,5,"PROXY(동일 생활권 신축 ㎡단가, 분담금·기간 미차감)"
4212,잠실5단지아파트,11710,5,3930,,,,0,N/A(2km 안 최근 5년 신축 부족)
4277,가락쌍용1차,11710,4,2064,24583333,,,1,N/A(2km 안 최근 5년 신축 부족)
4001,개포래미안포레스트,11680,4,2296,38095238,,,1,N/A(2km 안 최근 5년 신축 부족)
2797,목동10단지,11470,4,2160,,,,1,N/A(2km 안 최근 5년 신축 부족)
2792,목동11단지,11470,4,1595,,,,1,N/A(2km 안 최근 5년 신축 부족)
2793,목동12단지,11470,4,1860,,,,1,N/A(2km 안 최근 5년 신축 부족)
2786,목동13단지,11470,4,2280,,,,1,N/A(2km 안 최근 5년 신축 부족)
2854,목동2단지,11470,4,1640,,,,0,N/A(2km 안 최근 5년 신축 부족)
