cost_kind,rule_key,region,conditions_json,price_min,price_max,rate,max_amount,fixed_amount,vat_applicable,effective_from,effective_to,source_name,source_url,last_verified,status,verification,note
인지세,stamp/1천만원이하/과거,,{},0,10000000,,,0,0,2013-08-28,2026-01-01,인지세법 제3조제1항제1호,https://www.law.go.kr/법령/인지세법/제3조,2026-09-03,ENACTED,VERIFIED,부동산 소유권 이전 증서 · 현행과 같은 금액을 과거 구간에 적용
인지세,stamp/1천만~3천만/과거,,{},10000000,30000000,,,20000,0,2013-08-28,2026-01-01,인지세법 제3조제1항제1호,https://www.law.go.kr/법령/인지세법/제3조,2026-09-03,ENACTED,VERIFIED,부동산 소유권 이전 증서 · 현행과 같은 금액을 과거 구간에 적용
인지세,stamp/3천만~5천만/과거,,{},30000000,50000000,,,40000,0,2013-08-28,2026-01-01,인지세법 제3조제1항제1호,https://www.law.go.kr/법령/인지세법/제3조,2026-09-03,ENACTED,VERIFIED,부동산 소유권 이전 증서 · 현행과 같은 금액을 과거 구간에 적용
인지세,stamp/5천만~1억/과거,,{},50000000,100000000,,,70000,0,2013-08-28,2026-01-01,인지세법 제3조제1항제1호,https://www.law.go.kr/법령/인지세법/제3조,2026-09-03,ENACTED,VERIFIED,부동산 소유권 이전 증서 · 현행과 같은 금액을 과거 구간에 적용
인지세,stamp/1억~10억/과거,,{},100000000,1000000000,,,150000,0,2013-08-28,2026-01-01,인지세법 제3조제1항제1호,https://www.law.go.kr/법령/인지세법/제3조,2026-09-03,ENACTED,VERIFIED,부동산 소유권 이전 증서 · 현행과 같은 금액을 과거 구간에 적용
인지세,stamp/10억초과/과거,,{},1000000000,,,,350000,0,2013-08-28,2026-01-01,인지세법 제3조제1항제1호,https://www.law.go.kr/법령/인지세법/제3조,2026-09-03,ENACTED,VERIFIED,부동산 소유권 이전 증서 · 현행과 같은 금액을 과거 구간에 적용
등기신청수수료,regfee/소유권이전/방문,,{},0,,,,15000,0,2013-08-28,,등기사항증명서 등 수수료규칙 제5조의2,https://www.law.go.kr/법령/등기사항증명서등수수료규칙,2026-09-03,ENACTED,ESTIMATED,"방문신청 15,000원 기준(e-Form 13,000 · 전자 10,000). 보수적으로 방문가를 썼다"
국민주택채권,bond/매입+즉시매도/1.5억~2.5억,,{},150000000,250000000,0.001228,,,0,2013-08-28,,주택도시기금법 시행령 별표 (제1종국민주택채권 매입기준),https://www.law.go.kr/법령/주택도시기금법시행령,2026-09-03,ENACTED,ESTIMATED,공시가격≈매매가×0.65 → 매입요율 2.1% → 즉시매도 할인손실 9% = 매매가×0.123%. 세 단계 모두 추정이다
국민주택채권,bond/매입+즉시매도/2.5억~4억,,{},250000000,400000000,0.001345,,,0,2013-08-28,,주택도시기금법 시행령 별표 (제1종국민주택채권 매입기준),https://www.law.go.kr/법령/주택도시기금법시행령,2026-09-03,ENACTED,ESTIMATED,공시가격≈매매가×0.65 → 매입요율 2.3% → 즉시매도 할인손실 9% = 매매가×0.135%. 세 단계 모두 추정이다
국민주택채권,bond/매입+즉시매도/4억~9.2억,,{},400000000,920000000,0.001521,,,0,2013-08-28,,주택도시기금법 시행령 별표 (제1종국민주택채권 매입기준),https://www.law.go.kr/법령/주택도시기금법시행령,2026-09-03,ENACTED,ESTIMATED,공시가격≈매매가×0.65 → 매입요율 2.6% → 즉시매도 할인손실 9% = 매매가×0.152%. 세 단계 모두 추정이다
국민주택채권,bond/매입+즉시매도/9.2억이상,,{},920000000,,0.001814,,,0,2013-08-28,,주택도시기금법 시행령 별표 (제1종국민주택채권 매입기준),https://www.law.go.kr/법령/주택도시기금법시행령,2026-09-03,ENACTED,ESTIMATED,공시가격≈매매가×0.65 → 매입요율 3.1% → 즉시매도 할인손실 9% = 매매가×0.181%. 세 단계 모두 추정이다
국민주택채권,bond/매입+즉시매도/1.5억미만,,{},0,150000000,,,0,0,2013-08-28,,주택도시기금법 시행령 별표 (제1종국민주택채권 매입기준),https://www.law.go.kr/법령/주택도시기금법시행령,2026-09-03,ENACTED,ESTIMATED,공시가격 1억 미만이면 매입 부담이 사실상 없다고 봤다
