lawd_cd,emd_name,zone_type,effective_from,effective_to,confidence,exclude,source_url
11110,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11140,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11170,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11200,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11215,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11230,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11260,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11290,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11305,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11320,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11350,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11380,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11410,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11440,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11470,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11500,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11530,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11545,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11560,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11590,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11620,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11650,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11680,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11710,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11740,,조정대상지역,2016-11-03,2023-01-05,VERIFIED,,https://www.korea.kr/special/policyCurationView.do?newsId=148868829
11680,,조정대상지역,2023-01-05,,VERIFIED,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
11650,,조정대상지역,2023-01-05,,VERIFIED,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
11710,,조정대상지역,2023-01-05,,VERIFIED,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
11170,,조정대상지역,2023-01-05,,VERIFIED,,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역
11110,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11140,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11170,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11200,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11215,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11230,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11260,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11290,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11305,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11320,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11350,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11380,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11410,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11440,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11470,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11500,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
11530,,조정대상지역,2025-10-16,,VERIFIED,,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308
