zone_type,sido,sigungu,emd_scope,emd_list,effective_from,effective_to,source_name,source_url,confidence,note
조정대상지역,서울,전체,ALL,,2016-11-03,2023-01-05,11.3 주택시장 안정적 관리방안(국토부 2016-11-03),https://www.korea.kr/special/policyCurationView.do?newsId=148868829,VERIFIED,서울 25개구 전역. 2022-11-14 해제 대상 아님(서울 유지) → 2023-01-05 강남·서초·송파·용산 외 해제
조정대상지역,서울,강남구,ALL,,2023-01-05,,2023년 제1차 주거정책심의위원회,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역,VERIFIED,2023-01-05 이후 유지
조정대상지역,서울,서초구,ALL,,2023-01-05,,2023년 제1차 주거정책심의위원회,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역,VERIFIED,
조정대상지역,서울,송파구,ALL,,2023-01-05,,2023년 제1차 주거정책심의위원회,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역,VERIFIED,
조정대상지역,서울,용산구,ALL,,2023-01-05,,2023년 제1차 주거정책심의위원회,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역,VERIFIED,
조정대상지역,서울,전체,ALL,,2025-10-16,,10.15 주택시장 안정화 대책,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,VERIFIED,서울 25개구 재지정(4개구는 연속 유지)
조정대상지역,경기,과천시,ALL,,2016-11-03,2025-10-16,11.3 대책,https://www.korea.kr/special/policyCurationView.do?newsId=148868829,VERIFIED,2022-11-14 해제 대상 아님(유지) → 2023-01-05 해제. 종료일은 2023-01-05
조정대상지역,경기,과천시,ALL,,2025-10-16,,10.15 대책,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,VERIFIED,
조정대상지역,경기,성남시,ALL,,2016-11-03,2023-01-05,11.3 대책,https://www.korea.kr/special/policyCurationView.do?newsId=148868829,VERIFIED,성남 전역(분당·수정·중원). 2022-11-14: 중원구 해제·분당·수정 유지 → 2023-01-05 전부 해제
조정대상지역,경기,성남시,ALL,,2025-10-16,,10.15 대책,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,VERIFIED,분당·수정·중원
조정대상지역,경기,하남시,ALL,,2016-11-03,2023-01-05,11.3 대책,https://www.korea.kr/special/policyCurationView.do?newsId=148868829,VERIFIED,2022-11-14 유지 → 2023-01-05 해제
조정대상지역,경기,하남시,ALL,,2025-10-16,,10.15 대책,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,VERIFIED,
조정대상지역,경기,고양시,ALL,,2016-11-03,2019-11-08,11.3 대책 / 국토교통부공고 제2019-1540호,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역,VERIFIED,2019-11-08 대부분 해제(삼송·원흥·지축·향동·덕은·킨텍스1단계·한류월드 지구만 유지)
조정대상지역,경기,고양시,INCLUDE,삼송동|원흥동|지축동|향동동|덕은동|대화동|장항동,2019-11-08,2020-06-19,국토교통부공고 제2019-1540호(택지지구 → 법정동 근사),https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역,PROXY,지구 경계를 법정동으로 근사(대화동=킨텍스1단계·장항동=한류월드)
조정대상지역,경기,고양시,ALL,,2020-06-19,2022-11-14,6.17 주택시장 안정을 위한 관리방안,https://www.korea.kr/special/policyCurationView.do?newsId=148868829,VERIFIED,경기 전역 지정에 포함
조정대상지역,경기,남양주시,ALL,,2016-11-03,2019-11-08,11.3 대책 / 국토교통부공고 제2019-1540호,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역,VERIFIED,2019-11-08 다산동·별내동 외 해제
조정대상지역,경기,남양주시,INCLUDE,다산동|별내동,2019-11-08,2020-06-19,국토교통부공고 제2019-1540호,https://xn--989a00af8jnslv3dba.com/wiki/조정대상지역,VERIFIED,
조정대상지역,경기,남양주시,EXCLUDE,화도읍|수동면|조안면,2020-06-19,2022-11-14,6.17 대책,https://www.korea.kr/special/policyCurationView.do?newsId=148868829,VERIFIED,
조정대상지역,경기,화성시,INCLUDE,동탄2 택지개발지구(청계동|영천동|오산동|신동|중동|목동|산척동|장지동|송동|방교동|금곡동),2016-11-03,2020-06-19,11.3 대책(동탄2 → 법정동 근사),https://www.korea.kr/special/policyCurationView.do?newsId=148868829,PROXY,동탄2 지구 경계를 법정동으로 근사
조정대상지역,경기,화성시,ALL,,2020-06-19,2022-11-14,6.17 대책,https://www.korea.kr/special/policyCurationView.do?newsId=148868829,VERIFIED,
조정대상지역,경기,광명시,ALL,,2017-06-19,2023-01-05,6.19 주택시장 선별적·맞춤형 대응방안,https://www.korea.kr/special/policyCurationView.do?newsId=148868829,VERIFIED,2022-11-14 유지 → 2023-01-05 해제
조정대상지역,경기,광명시,ALL,,2025-10-16,,10.15 대책,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95091308,VERIFIED,
