complex_id,name,lawd_cd,emd,band,zone,tier,price_now,n_leaders,consensus,consensus_gap,mispricing,mispricing_status,label,reason,leaders
822,e편한세상 영종국제도시 오션하임,28155,중산동,74,Z28155-중산동,6,403500000.0,2,THIN,0.011471522206307401,0.0036246577880850984,PROXY,NEUTRAL,,UPPER_GRADE:1064:74|BUYER_CHOICE:14:59
822,e편한세상 영종국제도시 오션하임,28155,중산동,84,Z28155-중산동,6,435000000.0,3,STRONG,0.05754637815536764,0.009302563850075697,PROXY,NEUTRAL,,GRADE:319:84|UPPER_GRADE:915:84|BUYER_CHOICE:14:59
245,e편한세상송도아파트,28185,송도동,74,Z28185-송도동,4,555000000.0,2,THIN,0.007614527810734684,0.0022329412441784192,PROXY,NEUTRAL,,LOCAL:246:74|GRADE:5991:74
245,e편한세상송도아파트,28185,송도동,84,Z28185-송도동,4,638000000.0,3,STRONG,0.0967582633687257,0.007998090402629526,PROXY,NEUTRAL,,LOCAL:246:84|GRADE:966:84|UPPER_GRADE:3006:84
945,"가좌두산위브트레지움1,2단지아파트",28275,가좌동,59,Z28237-산곡동,7,384750000.0,2,THIN,-0.004545372007172616,0.008582599026951892,PROXY,NEUTRAL,,GRADE:731:59|UPPER_GRADE:568:59
945,"가좌두산위브트레지움1,2단지아파트",28275,가좌동,84,Z28237-산곡동,7,513250000.0,3,WEAK,-0.009973071217947023,0.0,PROXY,NEUTRAL,,LOCAL:518:84|GRADE:697:84|UPPER_GRADE:566:84
954,가좌한신휴플러스아파트,28275,가좌동,59,Z28237-산곡동,7,340000000.0,3,WEAK,0.014584659171186348,0.003403087139943481,PROXY,NEUTRAL,,LOCAL:945:59|GRADE:731:59|UPPER_GRADE:568:59
954,가좌한신휴플러스아파트,28275,가좌동,84,Z28237-산곡동,7,417875000.0,4,WEAK,0.004952528353716984,0.0014238873096558433,PROXY,NEUTRAL,,LOCAL:518:84|GRADE:697:84|UPPER_GRADE:566:84|BUYER_CHOICE:945:84
333,간석 래미안자이아파트,28200,간석동,59,Z28177-주안동,6,463250000.0,1,THIN,0.021638826673005682,0.012983296003803409,VERIFIED,NEUTRAL,,GRADE:568:59
333,간석 래미안자이아파트,28200,간석동,84,Z28177-주안동,6,554250000.0,3,OK,0.07071395260978959,0.019856839543742667,VERIFIED,NEUTRAL,,LOCAL:319:84|GRADE:566:84|UPPER_GRADE:915:84
671,계산 현대 아파트,28245,계산동,74,Z28245-작전동,7,300000000.0,3,OK,0.032938593474468765,0.01476272333012077,PROXY,NEUTRAL,,GRADE:384:74|UPPER_GRADE:9222:74|BUYER_CHOICE:518:59
671,계산 현대 아파트,28245,계산동,84,Z28245-작전동,7,363750000.0,4,WEAK,0.05342023755262128,0.013715354595968364,PROXY,NEUTRAL,,LOCAL:697:84|GRADE:518:84|UPPER_GRADE:566:84|BUYER_CHOICE:568:59
100,관교한신휴플러스,28177,주안동,59,Z28177-주안동,6,288000000.0,3,OK,0.15558384336377665,0.025050607790285936,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),LOCAL:333:59|GRADE:568:59|BUYER_CHOICE:51:59
100,관교한신휴플러스,28177,주안동,84,Z28177-주안동,6,350000000.0,3,STRONG,0.1476670319606189,0.025682253848388032,PROXY,NEUTRAL,,LOCAL:319:84|GRADE:566:84|UPPER_GRADE:915:84
319,구월롯데캐슬골드아파트,28200,구월동,59,Z28177-주안동,6,450000000.0,2,THIN,0.0031002174985074894,0.004082869661821654,VERIFIED,NEUTRAL,,LOCAL:333:59|GRADE:568:59
319,구월롯데캐슬골드아파트,28200,구월동,74,Z28177-주안동,6,490000000.0,3,WEAK,-0.01783470685216638,0.0,PROXY,NEUTRAL,,GRADE:7648:74|UPPER_GRADE:7894:74|BUYER_CHOICE:333:84
319,구월롯데캐슬골드아파트,28200,구월동,84,Z28177-주안동,6,496500000.0,3,WEAK,0.024754083147735608,0.009901633259094244,VERIFIED,NEUTRAL,,LOCAL:333:84|GRADE:566:84|UPPER_GRADE:915:84
508,금호이수마운트밸리,28237,산곡동,59,Z28237-산곡동,7,431250000.0,3,WEAK,-0.00020862620469557373,0.0,VERIFIED,NEUTRAL,,LOCAL:945:59|GRADE:731:59|UPPER_GRADE:568:59
508,금호이수마운트밸리,28237,산곡동,84,Z28237-산곡동,7,554750000.0,3,WEAK,-0.050902407637573636,0.0,VERIFIED,NEUTRAL,,LOCAL:518:84|GRADE:697:84|UPPER_GRADE:566:84
443,논현주공1단지,28200,논현동,59,Z28200-논현동,6,241250000.0,2,THIN,0.06646598364330687,0.004459515023997204,PROXY,NEUTRAL,,GRADE:7688:59|BUYER_CHOICE:385:74
1066,당하 KCC스위첸 아파트,28290,당하동,74,Z28290-당하동,5,342500000.0,2,THIN,-0.01725152813549716,0.0,PROXY,NEUTRAL,,LOCAL:1064:74|BUYER_CHOICE:9253:84
1066,당하 KCC스위첸 아파트,28290,당하동,84,Z28290-당하동,5,352125000.0,2,THIN,-0.00015104822043359063,0.0,PROXY,NEUTRAL,,GRADE:9303:84|BUYER_CHOICE:9253:84
238,더샵송도마리나베이,28185,송도동,74,Z28185-송도동,4,604000000.0,2,THIN,0.042107868448945956,0.0,PROXY,NEUTRAL,,LOCAL:246:74|GRADE:5991:74
238,더샵송도마리나베이,28185,송도동,84,Z28185-송도동,4,657500000.0,3,OK,0.047558568366731314,0.0021231333883118026,PROXY,NEUTRAL,,LOCAL:246:84|GRADE:966:84|UPPER_GRADE:3006:84
69,더샵인천스카이타워1단지아파트,28177,도화동,84,Z28177-주안동,6,550000000.0,3,WEAK,-0.008001962609404707,0.0,PROXY,NEUTRAL,,LOCAL:319:84|GRADE:566:84|UPPER_GRADE:915:84
694,도두리마을 대동아파트,28245,작전동,59,Z28245-작전동,7,283000000.0,4,OK,0.07246480958113621,0.025442667322496032,PROXY,NEUTRAL,,LOCAL:731:59|GRADE:945:59|UPPER_GRADE:568:59|BUYER_CHOICE:671:84
695,도두리마을 동남롯데아파트,28245,작전동,59,Z28245-작전동,7,276500000.0,4,OK,0.04410214413050783,0.01440647820057613,PROXY,NEUTRAL,,LOCAL:731:59|GRADE:945:59|UPPER_GRADE:568:59|BUYER_CHOICE:671:84
775,동부아파트,28125,송현동,59,Z28125-송림동,8,161500000.0,2,THIN,0.04885415048658984,0.000642622622830936,PROXY,NEUTRAL,,LOCAL:786:59|UPPER_GRADE:14:59
775,동부아파트,28125,송현동,74,Z28125-송림동,8,210000000.0,2,THIN,0.05674978715577019,0.019443939009093858,PROXY,NEUTRAL,,UPPER_GRADE:195:74|BUYER_CHOICE:786:59
775,동부아파트,28125,송현동,84,Z28125-송림동,8,230000000.0,4,OK,0.1436348609958567,0.011867044414803745,PROXY,FALSE_CHEAP,Follower 무반응(Persistent Cheapness),LOCAL:790:84|GRADE:6252:84|UPPER_GRADE:14:84|BUYER_CHOICE:137:59
496,동암 신동아 아파트,28237,십정동,59,Z28177-주안동,6,263000000.0,3,STRONG,0.16632874905342357,0.046572049734958605,PROXY,LAG_CANDIDATE,합의 STRONG · Leader 이동 확인 · 후행 움직임 거래량↑,LOCAL:333:59|GRADE:568:59|BUYER_CHOICE:384:74
496,동암 신동아 아파트,28237,십정동,84,Z28177-주안동,6,355000000.0,3,DISTORTED,0.10015251652262322,0.012018301982714788,PROXY,NEUTRAL,,LOCAL:319:84|GRADE:566:84|UPPER_GRADE:915:84
203,동춘 무지개마을아파트,28185,동춘동,59,Z28185-동춘동,7,326500000.0,3,OK,0.03248389532473136,0.007572193808278365,PROXY,NEUTRAL,,GRADE:14:59|UPPER_GRADE:333:59|BUYER_CHOICE:137:84
203,동춘 무지개마을아파트,28185,동춘동,84,Z28185-동춘동,7,414000000.0,3,WEAK,-0.003651211112741925,0.0,PROXY,NEUTRAL,,LOCAL:208:84|GRADE:14:84|UPPER_GRADE:319:84
206,동춘풍림2차아파트,28185,동춘동,84,Z28185-동춘동,7,448500000.0,3,WEAK,-0.03898955311917836,0.0,PROXY,NEUTRAL,,LOCAL:208:84|GRADE:14:84|UPPER_GRADE:319:84
474,래미안부평아파트,28237,부평동,59,Z28237-부평동,6,530000000.0,4,DISTORTED,0.05521250032986688,0.005243670580429449,PROXY,NEUTRAL,,LOCAL:568:59|GRADE:333:59|UPPER_GRADE:5577:59|BUYER_CHOICE:482:84
474,래미안부평아파트,28237,부평동,84,Z28237-부평동,6,620000000.0,4,OK,0.04439096379638628,0.020377981132268266,PROXY,NEUTRAL,,LOCAL:566:84|GRADE:319:84|UPPER_GRADE:915:84|BUYER_CHOICE:5826:84
