emd_key,lawd_cd,emd,life_zone,tier,price_level_log_m2,n_level,n_complex
28177|숭의동,28177,숭의동,Z28177-숭의동,5,15.577193065782456,8,5
28177|용현동,28177,용현동,Z28177-학익동,7,15.194174530218474,39,26
28177|학익동,28177,학익동,Z28177-학익동,7,15.008405277117056,39,29
28177|도화동,28177,도화동,Z28177-주안동,6,15.506942922433645,22,15
28177|주안동,28177,주안동,Z28177-주안동,6,15.478883206463454,24,27
28177|관교동,28177,관교동,Z28185-동춘동,7,15.246266694617935,2,7
28185|옥련동,28185,옥련동,Z28177-학익동,7,15.183786413581487,30,19
28185|선학동,28185,선학동,Z28185-동춘동,7,15.122468176847644,5,12
28185|연수동,28185,연수동,Z28185-동춘동,7,15.18380742448615,14,27
28185|청학동,28185,청학동,Z28185-동춘동,6,15.280624869557156,4,9
28185|동춘동,28185,동춘동,Z28185-동춘동,6,15.482768041287201,29,28
28185|송도동,28185,송도동,Z28185-송도동,4,16.054984669250217,70,72
28200|구월동,28200,구월동,Z28177-주안동,5,15.620693047524469,29,24
28200|간석동,28200,간석동,Z28177-주안동,6,15.392676531468386,23,23
28200|만수동,28200,만수동,Z28200-만수동,7,15.186863339085965,25,43
28200|장수동,28200,장수동,P28200,,,0,2
28200|서창동,28200,서창동,Z28200-논현동,6,15.410006890400176,17,21
28200|남촌동,28200,남촌동,Z28185-동춘동,7,15.09842656463033,7,4
28200|도림동,28200,도림동,Z28200-논현동,7,15.205718436498174,4,4
28200|논현동,28200,논현동,Z28200-논현동,6,15.376158306228943,9,40
28237|부평동,28237,부평동,Z28237-부평동,5,15.71339465919015,34,24
28237|십정동,28237,십정동,Z28177-주안동,6,15.384679039156367,14,12
28237|산곡동,28237,산곡동,Z28237-산곡동,6,15.284591112703453,45,34
28237|청천동,28237,청천동,Z28237-산곡동,7,14.977561683643007,20,15
28237|삼산동,28237,삼산동,Z28237-부평동,5,15.590652389029467,22,23
28237|갈산동,28237,갈산동,Z28237-부평동,6,15.295385083038344,10,18
28237|부개동,28237,부개동,Z28237-부평동,6,15.543108082975044,27,24
28237|일신동,28237,일신동,P28237,,,0,2
28237|구산동,28237,구산동,Z28237-구산동,6,15.525180764366805,2,1
28245|효성동,28245,효성동,Z28245-작전동,7,15.105005535728372,37,28
28245|계산동,28245,계산동,Z28245-작전동,7,15.091517811253865,30,30
28245|작전동,28245,작전동,Z28245-작전동,7,15.154628917554675,39,36
28245|서운동,28245,서운동,Z28245-서운동,5,15.821363742986621,3,3
28245|용종동,28245,용종동,Z28245-용종동,5,15.774843727351728,5,6
28245|병방동,28245,병방동,Z28245-작전동,6,15.3935277664015,5,6
28245|방축동,28245,방축동,Z28245-방축동,5,15.788775408386238,2,3
28245|박촌동,28245,박촌동,Z28245-작전동,6,15.531979919737607,6,7
28245|동양동,28245,동양동,Z28245-동양동,6,15.422293126929755,2,6
28245|귤현동,28245,귤현동,Z28245-동양동,6,15.541562760620096,4,4
28245|이화동,28245,이화동,Z28245-이화동,,15.291417077773852,1,1
28245|오류동,28245,오류동,Z28245-오류동,7,15.107263716733184,2,1
28710|강화읍,28710,강화읍,Z28710-강화읍,7,14.895732560815166,4,3
28710|선원면,28710,선원면,Z28710-선원면,7,15.197516074105812,5,3
28720|영흥면,28720,영흥면,P28720,,,0,1
28125|만석동,28125,만석동,Z28125-만석동,7,15.108611142186218,5,2
28125|화수동,28125,화수동,Z28125-화수동,7,15.13698351286893,4,3
28125|송현동,28125,송현동,Z28125-송림동,8,14.837820951412226,8,9
28125|송림동,28125,송림동,Z28125-송림동,7,15.166697716669857,16,12
28125|항동7가,28125,항동7가,P28125,,,0,4
