bnhhSe,cddcCode,cddcNm,changeDate,creatDate,edcSport,edcSportNm,fondDate,fondType,insttCode,insttNm,latitude,lnmadr,longitude,operSttus,rdnmadr,referenceDate,schoolId,schoolNm,schoolSe
본교,7010000,서울특별시교육청,2025-10-25,2013-11-29,7021000,서울특별시동부교육지원청,1961-03-03,사립,B554398,한국교육시설안전원,37.5818726,서울특별시 동대문구 전농동 90-3,127.0569769,운영,서울특별시 동대문구 전농로20길 31,2026-03-20,B000011305,해성국제컨벤션고등학교,고등학교
본교,9010000,경상남도교육청,2025-10-25,2013-11-29,9221000,경상남도합천교육지원청,1967-03-06,사립,B554398,한국교육시설안전원,35.66049728,경상남도 합천군 묘산면 산제리 10,128.1135315,운영,경상남도 합천군 묘산면 묘산로 157-70,2026-03-20,B000011240,묘산중학교,중학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7652000,경기도구리남양주교육지원청,2005-03-01,공립,B554398,한국교육시설안전원,37.64804303,경기도 남양주시 평내동 591,127.2382105,운영,경기도 남양주시 경춘로1286번길 23,2026-03-20,B000009610,평내중학교,중학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7541000,경기도수원교육지원청,2005-03-01,공립,B554398,한국교육시설안전원,37.26262774,경기도 수원시 영통구 매탄동 1247,127.0447779,운영,경기도 수원시 영통구 매탄로126번길 11,2026-03-20,B000012443,매탄고등학교,고등학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7692000,경기도광주하남교육지원청,2015-03-01,공립,B554398,한국교육시설안전원,37.5592925,경기도 하남시 망월동 1180,127.1988697,운영,경기도 하남시 미사강변한강로334번길 46,2026-03-20,B000023072,미사중앙초등학교,초등학교
본교,8750000,경상북도교육청,2025-10-25,2013-11-29,8801000,경상북도구미교육지원청,2008-03-01,공립,B554398,한국교육시설안전원,36.11651264,경상북도 구미시 광평동 160,128.3568194,운영,경상북도 구미시 화신로10길 11-12,2026-03-20,B000010777,광평중학교,중학교
본교,8750000,경상북도교육청,2025-10-25,2013-11-29,8831000,경상북도상주교육지원청,1953-04-15,공립,B554398,한국교육시설안전원,36.48016569,경상북도 상주시 외서면 관동리 147,128.1721632,운영,경상북도 상주시 외서면 북상주로 591-14,2026-03-20,B000007194,백원초등학교,초등학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7551000,경기도성남교육지원청,1994-03-03,공립,B554398,한국교육시설안전원,37.37142116,경기도 성남시 분당구 분당동 114,127.1466861,운영,경기도 성남시 분당구 장안로 70,2026-03-20,B000009216,장안중학교,중학교
본교,7010000,서울특별시교육청,2025-10-25,2013-11-29,7051000,서울특별시북부교육지원청,1993-03-01,공립,B554398,한국교육시설안전원,37.67176621,서울특별시 노원구 상계동 632,127.0595044,운영,서울특별시 노원구 수락산로 182,2026-03-20,B000008204,상원중학교,중학교
본교,7430000,대전광역시교육청,2025-10-25,2013-11-29,7441000,대전광역시동부교육지원청,2007-03-02,공립,B554398,한국교육시설안전원,36.30045896,대전광역시 동구 대성동 134,127.4609857,운영,대전광역시 동구 동구청로 26,2026-03-20,B000008984,대전은어송중학교,중학교
