complex_id,complex_name,lawd_cd,gu,project,biz_type,stage,jibun,meters
4014,개포주공7단지,11680,강남구,"개포주공6,7단지아파트 재건축정비사업조합",재건축,사업시행인가,개포동 185,126.4
4016,개포주공5단지,11680,강남구,개포주공5단지아파트 재건축정비사업 조합,재건축,관리처분인가,개포동 187,64.2
4010,개포경남아파트,11680,강남구,개포 경남·우성3차·현대1차 통합 재건축정비사업,재건축,추진위원회승인,개포동 649,34.2
4006,개포2차 현대아파트,11680,강남구,개포현대2차아파트 재건축정비사업,재건축,추진위원회승인,개포동 654,89.2
4001,개포래미안포레스트,11680,강남구,"개포현대2차아파트 200동,220동 소규모재건축사업조합",소규모재건축,조합설립인가,개포동 655,114.6
3999,개포6차우성아파트,11680,강남구,개포우성6차아파트 재건축정비사업조합,재건축,조합설립인가,개포동 658-1,42.2
3997,디에이치퍼스티어아이파크,11680,강남구,개포1동주공아파트 주택재건축정비사업조합,재건축,착공,개포동 660-4,60.9
4114,논현동현,11680,강남구,논현동현아파트 재건축정비사업,재건축,추진위원회승인,논현동 105,130.1
4086,대치우성1차아파트,11680,강남구,대치우성1차아파트 재건축정비사업조합,재건축,사업시행인가,대치동 63,84.0
4085,대치쌍용2차,11680,강남구,대치쌍용2차아파트 주택재건축정비사업조합,재건축,사업시행인가,대치동 65,41.1
4087,쌍용대치1차,11680,강남구,대치쌍용1차아파트 주택재건축정비사업조합,재건축,사업시행인가,대치동 66,92.6
4088,은마,11680,강남구,은마아파트 재건축정비사업조합,재건축,사업시행인가,대치동 316,211.3
4089,대치선경,11680,강남구,대치선경아파트 재건축정비사업,재건축,추진위원회승인,대치동 506,159.0
4066,디에이치 대치 에델루이아파트,11680,강남구,대치동 구마을 제3지구 재건축정비사업조합,재건축,준공인가,대치동 964,35.3
4068,대치르엘,11680,강남구,대치제2지구 재건축정비사업조합,재건축,이전고시,대치동 977,146.8
4186,도곡개포한신아파트,11680,강남구,도곡개포한신아파트 주택재건축정비사업조합,재건축,관리처분인가,도곡동 464,125.8
4184,개포4차우성,11680,강남구,개포우성4차아파트 주택재건축정비사업조합,재건축,조합설립인가,도곡동 465,110.2
4179,역삼삼익,11680,강남구,도곡삼익아파트 재건축정비사업 조합설립추진위원회,재건축,추진위원회승인,도곡동 869,55.3
4182,도곡우성아파트,11680,강남구,도곡우성아파트 재건축정비사업 조합,재건축,조합설립인가,도곡동 934-10,23.7
4038,아크로삼성,11680,강남구,홍실아파트 주택재건축정비사업조합,재건축,준공인가,삼성동 79,145.6
4119,"압구정 현대(10,13,14차)",11680,강남구,압구정아파트지구 특별계획구역③ 재건축정비사업 조합,재건축,조합설립인가,압구정동 369-1,130.5
4116,압구정미성1차,11680,강남구,압구정아파트지구 특별계획구역① 재건축사업,재건축,추진위원회승인,압구정동 414,86.6
4120,압구정현대8차,11680,강남구,압구정아파트지구 특별계획구역4,재건축,조합설립인가,압구정동 481,87.2
3980,역삼래미안펜타빌,11680,강남구,개나리4차아파트주택재건축정비사업 조합,재건축,이전고시,역삼동 712,55.6
3996,역삼래미안,11680,강남구,"역삼동(758,은하수,760) 주택재건축정비사업조합",재건축,분양,역삼동 758,131.3
4157,개포7차우성,11680,강남구,개포우성7차아파트 재건축정비사업조합,재건축,조합설립인가,일원동 615,83.4
4147,디에이치포레센트아파트,11680,강남구,일원개포한신아파트 재건축정비사업조합,재건축,관리처분인가,일원동 615-1,142.9
4158,한솔마을,11680,강남구,한솔아파트 재건축정비사업,재건축,추진위원회승인,일원동 731,135.3
4159,상록수아파트,11680,강남구,상록수아파트 재건축정비사업,재건축,추진위원회승인,일원동 734,113.8
4151,수서가람,11680,강남구,가람아파트 재건축정비사업,재건축,추진위원회승인,일원동 735,119.9
4018,청담르엘,11680,강남구,청담삼익아파트 재건축정비사업 조합,재건축,준공인가,청담동 134-18,40.6
4028,청담삼성진흥,11680,강남구,청담현대1차아파트 소규모재건축정비사업,소규모재건축,조합설립인가,청담동 75-1,77.3
4400,고덕아남,11740,강동구,고덕대우아파트 소규모재건축사업,소규모재건축,조합설립인가,고덕동 470,90.9
4422,강동헤리티지자이,11740,강동구,"길동신동아1,2차아파트 주택재건축정비사업조합",재건축,준공인가,길동 160,98.3
4430,길동우성1차,11740,강동구,길동한전우성아파트 소규모주택정비사업조합,소규모재건축,조합설립인가,길동 332,51.1
4383,명일삼익그린11차,11740,강동구,삼익그린11차아파트 소규모재건축사업 조합,소규모재건축,조합설립인가,명일동 38,71.4
4388,명일동우성,11740,강동구,명일우성아파트 재건축정비사업,재건축,정비계획 수립,명일동 42,144.5
4385,명일신동아,11740,강동구,명일동 신동아아파트 재건축정비사업,재건축,추진위원회승인,명일동 44,103.0
4389,명일한양,11740,강동구,명일 한양아파트 재건축정비사업,재건축,추진위원회승인,명일동 54,92.3
4386,고덕현대아파트,11740,강동구,고덕현대아파트 재건축정비사업,재건축,추진위원회승인,명일동 56,122.6
4390,고덕주공9단지,11740,강동구,고덕주공9단지아파트 재건축정비사업,재건축,추진위원회승인,명일동 257,145.6
4381,"명일삼익가든1,2차",11740,강동구,삼익맨숀아파트 재건축정비사업조합,재건축,조합설립인가,명일동 270,108.8
4408,상일우성타운,11740,강동구,상일동 빌라단지 통합 재건축,재건축,추진위원회승인,상일동 174,111.1
4470,성내현대,11740,강동구,성내 현대아파트 재건축 정비사업,재건축,안전진단,성내동 30-2,48.4
4473,성내1차e-편한세상,11740,강동구,목화연립 주택재건축정비사업조합,재건축,사업시행인가,성내동 209,123.0
