no,gu,biz_type,project,jibun,stage_now,slug,cafe_id,bsns_pk,안전진단,안전진단_approx,정비구역지정,정비구역지정_approx,추진위,추진위_approx,조합설립,조합설립_approx,사업시행인가,사업시행인가_approx,관리처분,관리처분_approx,착공,착공_approx,준공,준공_approx
1158,강남구,재건축,개포주공3단지아파트 재건축정비사업 조합,개포동 138,조합해산,gaepo3,680100002007B38,11680-100002007,,,,,,20031114,,20130122,,20140522,,20150930,20160621,,20190829,
1157,강남구,재건축,개포주공2단지 주택재건축정비사업조합,개포동 140,조합해산,gaepo22,680900001276m18,11680-900001276,,,,,,,,20160514,,,,,,,,
1156,강남구,재건축,개포주공2단지 주택재건축정비사업조합,개포동 140,조합해산,gaepo2,680100002008V99,11680-100002008,,,,,,20031215,,20130624,,20140521,,20150204,20151229,,20190226,
1155,강남구,재건축,"개포주공6,7단지아파트 재건축정비사업조합",개포동 185,사업시행인가,gaepo6_7,680900000688Q62,11680-900000688,,,,20160324,,20190212,,20210122,,20241111,,,,,,
1154,강남구,재건축,개포주공5단지아파트 재건축정비사업 조합,개포동 187,관리처분인가,gaepo5,680900000683Y53,11680-900000683,,,,,,20190212,,20201201,,20231012,,20250929,,,,
1153,강남구,재건축,개포주공4단지아파트 재건축정비사업 조합,개포동 189,준공인가,gaepofour,680100002009j14,11680-100002009,,,,,,20031218,,20131121,,20151130,,20170616,,,20230228,
1152,강남구,재건축,개포 경남·우성3차·현대1차 통합 재건축정비사업,개포동 649,추진위원회승인,ruddngus,680900001390P37,11680-900001390,,,,,,20260428,,,,,,,,,,
1151,강남구,재건축,개포현대2차아파트 재건축정비사업,개포동 654,추진위원회승인,gaepohd2,680900001389E54,11680-900001389,,,,,,20260311,,,,,,,,,,
1150,강남구,소규모재건축,"개포현대2차아파트 200동,220동 소규모재건축사업조합",개포동 655,조합설립인가,hd200220,680900001464p70,11680-900001464,,,,,,,,,,,,,,,,
1149,강남구,재건축,개포시영(아) 주택재건축정비사업조합,개포동 656,조합해산,K0HnsE0P,680100002012X19,11680-100002012,,,,,,20031215,,20130809,,20140620,,20160106,20170818,,20200928,
1148,강남구,재건축,개포시영아파트 중심상가 재건축정비사업조합,개포동 656-3,이전고시,gaepoS,680900000694E30,11680-900000694,,,,,,20171222,,20180712,,20190717,,20200429,20220810,,20221004,
1147,강남구,재건축,개포우성6차아파트 재건축정비사업조합,개포동 658-1,조합설립인가,wooseong6,680900000942G32,11680-900000942,,,,,,20180531,,20240424,,,,,,,,
1146,강남구,재건축,개포1동주공아파트 주택재건축정비사업조합,개포동 660-4,착공,kvNK2YB3,680100003003y67,11680-100003003,,,,,,20030926,,20031014,,20160428,,20180406,20200602,,,
1145,강남구,재건축,논현청학아파트재건축정비사업 조합,논현동 62-3,조합설립인가,cheonghak,,,,,,,,,,,,,,,,,,
1144,강남구,재건축,논현동현아파트 재건축정비사업,논현동 105,추진위원회승인,DonghyunApt,680900001399K85,11680-900001399,,,,,,20260410,,,,,,,,,,
1143,강남구,재건축,대성연립주택재건축정비사업조합,논현동 191-4,조합설립인가,nonhyun,,,,,,,,,,,,,,,,,,
1142,강남구,재건축,대치우성1차아파트 재건축정비사업조합,대치동 63,사업시행인가,woosung1,680900000617J84,11680-900000617,,,,,,20160126,,20170117,,20220908,,,,,,
1141,강남구,재건축,대치쌍용2차아파트 주택재건축정비사업조합,대치동 65,사업시행인가,ssang2,680900000567C51,11680-900000567,,,,,,20141014,,20150702,,20170912,,,,,,
1140,강남구,재건축,대치쌍용1차아파트 주택재건축정비사업조합,대치동 66,사업시행인가,ssang1,680900000566y01,11680-900000566,,,,,,20141120,,20160106,,20181002,,,,,,
1139,강남구,재건축,은마아파트 재건축정비사업조합,대치동 316,사업시행인가,the-eunma,680100002017E89,11680-100002017,20091021,,,,,20031231,,20230926,,20260702,,,,,,
1138,강남구,재건축,"개포우성1,2차아파트 재건축정비사업",대치동 503,정비계획 수립,gaepowoosung,680900001502T86,11680-900001502,,,,,,,,,,,,,,,,
1137,강남구,재건축,대치선경아파트 재건축정비사업,대치동 506,추진위원회승인,tjsrud12,680900001467I54,11680-900001467,,,,,,,,,,,,,,,,
1136,강남구,재건축,대치미도아파트 재건축정비사업,대치동 511,추진위원회승인,mido511,680900001391Q28,11680-900001391,,,,,,20260320,,,,,,,,,,
1135,강남구,재건축,대치동구마을1지구재건축정비사업 조합,대치동 963,이전고시,A768OvYc,680100003002U62,11680-100003002,,,,,,,,20030630,,20151023,,20160627,20200714,,20230605,
1134,강남구,재건축,대치동 구마을 제3지구 재건축정비사업조합,대치동 964,준공인가,urban9,680900000542Q95,11680-900000542,,,,,,20140224,,20140902,,20150916,,20171129,20220408,,,
1133,강남구,재건축,대치제2지구 재건축정비사업조합,대치동 977,이전고시,daech2,680900000568d97,11680-900000568,,,,,,,,20030621,,20051028,,20180403,20190418,,20210917,
1132,강남구,재건축,도곡개포한신아파트 주택재건축정비사업조합,도곡동 464,관리처분인가,cCsUmJjP,680100002001v60,11680-100002001,20120918,,,,,20031114,,20171124,,20221228,,20251219,,,,
