region,from_stage,from_label,n,p_next_within_5y,censored,dwell_median_months,dwell_p25_months,dwell_p75_months,status,source
서울,2,안전진단(2),13,0.692,1,14,9,18,PROXY,서울 정비사업 정보몽땅(근사 일자 포함)
서울,3,구역지정/추진위(3),417,0.65,85,18,9,34,VERIFIED,서울 정비사업 정보몽땅(근사 일자 포함)
서울,4,조합설립(4),422,0.595,192,33,18,46,VERIFIED,서울 정비사업 정보몽땅(근사 일자 포함)
서울,5,사업시행인가(5),263,0.776,62,23,15,33,VERIFIED,서울 정비사업 정보몽땅(근사 일자 포함)
서울,6,관리처분(6),196,0.786,59,23,17,36,VERIFIED,서울 정비사업 정보몽땅(근사 일자 포함)
서울,7,착공(7),159,0.855,37,34,30,38,VERIFIED,서울 정비사업 정보몽땅(근사 일자 포함)
경기,2,안전진단(2),152,0.572,37,30,8,45,VERIFIED,경기데이터드림 정비사업 추진현황
경기,3,구역지정/추진위(3),227,0.811,27,19,10,33,VERIFIED,경기데이터드림 정비사업 추진현황
경기,4,조합설립(4),80,0.787,9,18,8,35,VERIFIED,경기데이터드림 정비사업 추진현황
경기,5,사업시행인가(5),95,0.916,5,15,8,22,VERIFIED,경기데이터드림 정비사업 추진현황
경기,6,관리처분(6),188,0.941,29,16,10,26,VERIFIED,경기데이터드림 정비사업 추진현황
경기,7,착공(7),189,0.952,28,33,29,38,VERIFIED,경기데이터드림 정비사업 추진현황
인천,3,구역지정/추진위(3),78,0.795,9,23,8,30,VERIFIED,인천 renewal 정비사업 현황
인천,4,조합설립(4),50,0.5,2,29,20,38,VERIFIED,인천 renewal 정비사업 현황
인천,5,사업시행인가(5),58,0.724,8,16,9,26,VERIFIED,인천 renewal 정비사업 현황
인천,6,관리처분(6),24,0.875,12,27,18,39,PROXY,인천 renewal 정비사업 현황
인천,7,착공(7),27,0.889,20,28,24,33,PROXY,인천 renewal 정비사업 현황
