tax_kind,rule_key,conditions_json,bracket_min,bracket_max,rate,progressive_deduction,fixed_amount,rate_formula,rate_decimals,max_amount,base_kind,effective_from,effective_to,source_name,source_url,last_verified,status,verification,note
취득세,acq/주택/1주택/6억이하/2013,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",0,600000000,0.01,0,,,,,취득가액,2013-08-28,2019-12-31,지방세법 제11조제1항제8호 [2013-08-28 인하],https://casenote.kr/법령/지방세법/제11조,2026-09-03,ENACTED,VERIFIED,[종인님이 2026-09-03 시행일 확인] 1천분의 10
지방교육세,edu/주택/1주택/6억이하/2013,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",0,600000000,0.001,0,,,,,취득가액,2013-08-28,2019-12-31,지방세법 제151조제1항제1호,https://casenote.kr/법령/지방세법/제11조,2026-09-03,ENACTED,VERIFIED,[종인님이 2026-09-03 시행일 확인] 취득세율 × 50% × 20% = 1/10
취득세,acq/주택/1주택/6억~9억/2013,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",600000000,900000000,0.02,0,,,,,취득가액,2013-08-28,2019-12-31,지방세법 제11조제1항제8호 [2013-08-28 인하],https://casenote.kr/법령/지방세법/제11조,2026-09-03,ENACTED,VERIFIED,[종인님이 2026-09-03 시행일 확인] 1천분의 20 (단일세율)
지방교육세,edu/주택/1주택/6억~9억/2013,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",600000000,900000000,0.002,0,,,,,취득가액,2013-08-28,2019-12-31,지방세법 제151조제1항제1호,https://casenote.kr/법령/지방세법/제11조,2026-09-03,ENACTED,VERIFIED,[종인님이 2026-09-03 시행일 확인] 취득세율 × 50% × 20% = 1/10
취득세,acq/주택/1주택/9억초과/2013,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",900000000,,0.03,0,,,,,취득가액,2013-08-28,2019-12-31,지방세법 제11조제1항제8호 [2013-08-28 인하],https://casenote.kr/법령/지방세법/제11조,2026-09-03,ENACTED,VERIFIED,[종인님이 2026-09-03 시행일 확인] 1천분의 30
지방교육세,edu/주택/1주택/9억초과/2013,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",900000000,,0.003,0,,,,,취득가액,2013-08-28,2019-12-31,지방세법 제151조제1항제1호,https://casenote.kr/법령/지방세법/제11조,2026-09-03,ENACTED,VERIFIED,[종인님이 2026-09-03 시행일 확인] 취득세율 × 50% × 20% = 1/10
취득세,acq/주택/1주택/6억이하/2020,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",0,600000000,0.01,0,,,,,취득가액,2020-01-01,2026-06-30,지방세법 제11조제1항제8호,https://casenote.kr/법령/지방세법/제11조,2026-09-03,ENACTED,VERIFIED,[종인님이 2026-09-03 시행일 확인] 1천분의 10
지방교육세,edu/주택/1주택/6억이하/2020,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",0,600000000,0.001,0,,,,,취득가액,2020-01-01,2026-06-30,지방세법 제151조제1항제1호,https://casenote.kr/법령/지방세법/제11조,2026-09-03,ENACTED,VERIFIED,[종인님이 2026-09-03 시행일 확인] 취득세의 1/10
취득세,acq/주택/1주택/6억~9억/2020,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",600000000,900000000,,0,,(base * 2 / 300000000 - 3) / 100,,,취득가액,2020-01-01,2026-06-30,지방세법 제11조제1항제8호,https://casenote.kr/법령/지방세법/제11조,2026-09-03,ENACTED,VERIFIED,[종인님이 2026-09-03 시행일 확인] 취득가액×2÷3억−3 (%)
지방교육세,edu/주택/1주택/6억~9억/2020,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",600000000,900000000,,0,,((base * 2 / 300000000 - 3) / 100) / 10,,,취득가액,2020-01-01,2026-06-30,지방세법 제151조제1항제1호,https://casenote.kr/법령/지방세법/제11조,2026-09-03,ENACTED,VERIFIED,[종인님이 2026-09-03 시행일 확인] 취득세의 1/10
취득세,acq/주택/1주택/9억초과/2020,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",900000000,,0.03,0,,,,,취득가액,2020-01-01,2026-06-30,지방세법 제11조제1항제8호,https://casenote.kr/법령/지방세법/제11조,2026-09-03,ENACTED,VERIFIED,[종인님이 2026-09-03 시행일 확인] 1천분의 30
지방교육세,edu/주택/1주택/9억초과/2020,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",900000000,,0.003,0,,,,,취득가액,2020-01-01,2026-06-30,지방세법 제151조제1항제1호,https://casenote.kr/법령/지방세법/제11조,2026-09-03,ENACTED,VERIFIED,[종인님이 2026-09-03 시행일 확인] 취득세의 1/10
취득세,acq/주택/중과/2주택/조정/2020,"{""resulting_home_count"": 2, ""regulated_area"": true, ""buyer_type"": ""개인""}",0,,0.08,0,,,,,취득가액,2020-08-12,2026-06-30,지방세법 제13조의2 [2020-08-12 신설],https://casenote.kr/법령/지방세법/제13조의2,2026-09-03,ENACTED,VERIFIED,[종인님이 2026-09-03 시행일 확인] 조정대상지역 1세대 2주택
취득세,acq/주택/중과/3주택이상/조정/2020,"{""resulting_home_count_gte"": 3, ""regulated_area"": true, ""buyer_type"": ""개인""}",0,,0.12,0,,,,,취득가액,2020-08-12,2026-06-30,지방세법 제13조의2 [2020-08-12 신설],https://casenote.kr/법령/지방세법/제13조의2,2026-09-03,ENACTED,VERIFIED,[종인님이 2026-09-03 시행일 확인] 조정대상지역 1세대 3주택 이상
취득세,acq/주택/중과/3주택/비조정/2020,"{""resulting_home_count"": 3, ""regulated_area"": false, ""buyer_type"": ""개인""}",0,,0.08,0,,,,,취득가액,2020-08-12,2026-06-30,지방세법 제13조의2 [2020-08-12 신설],https://casenote.kr/법령/지방세법/제13조의2,2026-09-03,ENACTED,VERIFIED,[종인님이 2026-09-03 시행일 확인] 비조정 1세대 3주택
취득세,acq/주택/중과/4주택이상/비조정/2020,"{""resulting_home_count_gte"": 4, ""regulated_area"": false, ""buyer_type"": ""개인""}",0,,0.12,0,,,,,취득가액,2020-08-12,2026-06-30,지방세법 제13조의2 [2020-08-12 신설],https://casenote.kr/법령/지방세법/제13조의2,2026-09-03,ENACTED,VERIFIED,[종인님이 2026-09-03 시행일 확인] 비조정 1세대 4주택 이상
농어촌특별세,rural/주택/85초과/과거,"{""exclusive_area_gt"": 85}",0,,0.002,0,,,,,취득가액,2013-08-28,2026-06-30,농어촌특별세법 제5조제1항제6호,https://www.law.go.kr/법령/농어촌특별세법,,ENACTED,NEEDS_VERIFICATION,★표준세율 2%로 산출한 취득세액의 10% = 취득가액 0.2%. 중과(8·12%) 건은 산식이 다를 수 있다 · 2차 자료(casenote 조문·국세청 요약)에서 모은 값. 국가법령정보센터 연혁 원문으로 확인 후 VERIFIED 로 올릴 것
