ym,sido,sigungu,lawd_cd,level,unsold
200701,서울,계,,시도,697
200701,서울,종로구,11110,시군구,
200701,서울,중구,11140,시군구,
200701,서울,용산구,11170,시군구,
200701,서울,성동구,11200,시군구,
200701,서울,광진구,11215,시군구,187
200701,서울,동대문구,11230,시군구,
200701,서울,중랑구,11260,시군구,
200701,서울,성북구,11290,시군구,404
200701,서울,강북구,11305,시군구,
200701,서울,도봉구,11320,시군구,
200701,서울,노원구,11350,시군구,
200701,서울,은평구,11380,시군구,
200701,서울,서대문구,11410,시군구,
200701,서울,마포구,11440,시군구,
200701,서울,양천구,11470,시군구,106
200701,서울,강서구,11500,시군구,
200701,서울,구로구,11530,시군구,
200701,서울,금천구,11545,시군구,
200701,서울,영등포구,11560,시군구,
200701,서울,동작구,11590,시군구,
200701,서울,관악구,11620,시군구,
200701,서울,서초구,11650,시군구,
200701,서울,강남구,11680,시군구,
200701,서울,송파구,11710,시군구,
200701,서울,강동구,11740,시군구,
200701,부산,계,,시도,8680
200701,대구,계,,시도,9467
200701,인천,계,,시도,243
200701,인천,중구,28110,시군구,0
200701,인천,동구,28140,시군구,0
200701,인천,미추홀구,28177,시군구,38
200701,인천,연수구,28185,시군구,0
200701,인천,남동구,28200,시군구,22
200701,인천,부평구,28237,시군구,127
200701,인천,계양구,28245,시군구,2
200701,인천,서구,28260,시군구,40
200701,인천,강화군,28710,시군구,14
200701,인천,옹진군,28720,시군구,
200701,광주,계,,시도,7005
200701,대전,계,,시도,819
200701,울산,계,,시도,1180
200701,경기,계,,시도,819
200701,경기,수원시,41111,시(구 합산),216
200701,경기,수원시,41113,시(구 합산),216
200701,경기,수원시,41115,시(구 합산),216
200701,경기,수원시,41117,시(구 합산),216
200701,경기,성남시,41131,시(구 합산),159
200701,경기,성남시,41133,시(구 합산),159
200701,경기,성남시,41135,시(구 합산),159
200701,경기,의정부시,41150,시군구,116
200701,경기,안양시,41171,시(구 합산),282
200701,경기,안양시,41173,시(구 합산),282
200701,경기,부천시,41192,시(구 합산),46
200701,경기,부천시,41194,시(구 합산),46
200701,경기,부천시,41196,시(구 합산),46
200701,경기,부천시,41190,시(구 합산),46
200701,경기,광명시,41210,시군구,1180
200701,경기,평택시,41220,시군구,73
200701,경기,동두천시,41250,시군구,619
200701,경기,안산시,41271,시(구 합산),24
200701,경기,안산시,41273,시(구 합산),24
200701,경기,고양시,41281,시(구 합산),104
200701,경기,고양시,41285,시(구 합산),104
200701,경기,고양시,41287,시(구 합산),104
200701,경기,과천시,41290,시군구,360
200701,경기,구리시,41310,시군구,32
200701,경기,남양주시,41360,시군구,204
200701,경기,오산시,41370,시군구,433
200701,경기,시흥시,41390,시군구,23
200701,경기,군포시,41410,시군구,0
200701,경기,의왕시,41430,시군구,0
200701,경기,하남시,41450,시군구,0
200701,경기,용인시,41461,시(구 합산),0
200701,경기,용인시,41463,시(구 합산),0
200701,경기,용인시,41465,시(구 합산),0
200701,경기,파주시,41480,시군구,1
200701,경기,이천시,41500,시군구,473
