life_zone,band,rank,complex_id,name,composite,top3_share,volume,crash_rel,lead,explain
Z28177-숭의동,84,1,5,광해리드빌,0.5,1.0,1.1667,0.0,0.2092,0.8607
Z28177-숭의동,84,2,7,스타디움센트럴시티 아파트,0.5,1.0,8.0,0.2161,-0.5862,0.6791
Z28177-숭의동,84,3,8,숭의 한화꿈에그린아파트,0.5,1.0,3.1667,-0.1187,-0.0983,0.7673
Z28177-주안동,84,1,333,간석 래미안자이아파트,0.6891,0.15,17.9583,-0.0403,0.1489,0.8735
Z28177-주안동,84,2,306,구월유승한내들퍼스티지아파트,0.6879,0.25,11.5417,0.0,0.137,0.7895
Z28177-주안동,84,3,69,더샵인천스카이타워1단지아파트,0.6503,0.1,22.0417,-0.0043,-0.4026,0.9408
Z28185-동춘동,84,1,196,연수서해그랑블1단지아파트,0.7929,0.9667,7.5417,0.08,0.1459,0.9237
Z28185-동춘동,84,2,195,송도 파크레인 동일하이빌아파트,0.7357,0.95,12.0,0.0395,0.2987,0.7472
Z28185-동춘동,84,3,208,연수1차 현대 아파트,0.6929,0.0833,12.5,-0.0239,0.2459,0.9093
Z28185-송도동,84,1,285,송도더샵그린스퀘어,0.7677,0.0167,12.5417,0.0781,0.0929,0.9508
Z28185-송도동,84,2,247,송도글로벌파크베르디움,0.7501,0.4,11.875,0.0525,0.1734,0.9037
Z28185-송도동,84,3,246,송도더샵센트럴시티아파트,0.7313,0.0167,17.4583,0.0089,0.2352,0.9285
Z28200-만수동,84,1,362,향촌휴먼시아2단지아파트,0.7429,1.0,5.7083,0.0201,0.1332,0.932
Z28200-만수동,84,2,377,만수 한국 아파트,0.7429,0.0,7.7083,0.0243,0.1482,0.944
Z28200-만수동,84,3,361,포레시안 아파트,0.6571,1.0,19.4583,-0.0641,0.0302,0.9352
Z28200-논현동,84,1,7813,월곶2차풍림아이원,0.7238,0.0,5.4583,0.036,0.0841,0.9062
Z28200-논현동,84,2,398,서창청광플러스원아파트,0.6952,0.0333,11.625,0.0016,0.1628,0.8975
Z28200-논현동,84,3,454,에코메트로7단지,0.6952,0.8667,10.875,-0.0512,0.0698,0.9483
Z28237-부평동,84,1,566,삼산타운7단지,0.7476,0.5667,22.3333,0.0119,0.3198,0.7839
Z28237-부평동,84,2,474,래미안부평아파트,0.7178,0.25,17.0833,0.0051,0.2729,0.8288
Z28237-부평동,84,3,600,부개역푸르지오,0.7012,0.3167,4.8333,0.0956,0.1202,0.862
Z28237-산곡동,84,1,518,산곡 한화2차 아파트,0.7556,0.1167,10.0,-0.0398,0.0956,0.9342
Z28237-산곡동,84,2,954,가좌한신휴플러스아파트,0.7197,0.0,19.2083,-0.0401,0.0333,0.9324
Z28237-산곡동,84,3,501,부평두산위브더파크,0.7188,0.3667,9.7917,,0.8716,0.4924
Z28245-작전동,84,1,671,계산 현대 아파트,0.8025,0.0167,9.1667,-0.0123,0.2019,0.9391
Z28245-작전동,84,2,696,작전현대2-2차아파트,0.7873,0.0,10.9167,0.0396,0.1308,0.9366
Z28245-작전동,84,3,628,e편한세상 계양 더프리미어아파트,0.7498,0.8167,7.5,0.1847,0.1515,0.4879
Z28245-용종동,84,1,726,용종 초정마을하나아파트,0.7,1.0,15.0833,-0.0355,0.0072,0.977
Z28245-용종동,84,2,721,계양 코아루 센트럴파크아파트,0.4,1.0,8.4167,0.0,0.0381,0.9249
Z28245-용종동,84,3,722,용종마을 중앙아파트,0.4,1.0,3.7083,0.0109,-0.0585,0.9544
Z28245-동양동,84,1,752,계양센트레빌3단지,0.6,0.8889,4.0833,0.0004,0.076,0.9607
Z28245-동양동,84,2,751,계양센트레빌1단지,0.5333,1.0,8.7083,-0.0198,-0.0577,0.9783
Z28245-동양동,84,3,753,계양센트레빌2단지,0.5333,1.0,3.1667,0.0009,-0.0225,0.9528
Z28125-송림동,84,1,790,송림휴먼시아1단지,0.8,0.9825,4.9583,0.009,0.0831,0.9531
Z28125-송림동,84,2,786,송림 풍림아이원아파트,0.75,0.9825,10.125,0.0,0.1853,0.916
Z28125-송림동,84,3,788,동산휴먼시아2단지,0.5,0.8947,4.375,-0.0519,0.1743,0.9342
Z28177-학익동,84,1,804,신흥아이파크 아파트,0.6824,0.0,17.5,-0.0006,-0.1226,0.9365
Z28177-학익동,84,2,14,인천에스케이스카이뷰,0.6813,0.9833,43.6667,-0.022,0.4361,0.6988
Z28177-학익동,84,3,12,용현엘크루윈드포레,0.6679,0.5333,4.8333,0.027,0.303,0.6844
Z28155-중산동,84,1,822,e편한세상 영종국제도시 오션하임,0.65,0.7667,25.375,-0.0311,0.0799,0.972
Z28155-중산동,84,2,816,호반써밋스카이센트럴,0.5,0.5333,10.875,0.2353,0.2579,0.592
Z28155-중산동,84,3,819,영종하늘도시KCC스위첸,0.5,0.8333,13.9167,0.0,-0.0544,0.943
Z28155-운남동,84,1,839,영종센트럴푸르지오자이 아파트,0.6,1.0,11.0417,-0.015,0.1092,0.9637
Z28155-운남동,84,2,841,영종자이아파트,0.5,1.0,3.0,0.0868,-0.0631,0.9634
Z28155-운남동,84,3,840,e편한세상영종하늘도시아파트,0.4,1.0,8.5833,0.0,-0.0613,0.9597
Z28155-운서동,84,1,848,운서역반도유보라퍼스티지,0.76,0.8833,10.375,0.154,0.2314,0.6009
Z28155-운서동,84,2,849,운서SK뷰스카이시티,0.68,0.8333,27.5417,0.1469,0.1183,0.5356
Z28155-운서동,84,3,863,영종금호베스트빌2단지,0.52,0.5667,10.5833,-0.0608,-0.0609,0.9242
Z28275-검암동,84,1,870,검암1차신명스카이뷰,0.7,0.3,9.0,0.0,0.1419,0.7954
Z28275-검암동,84,2,885,가이아샹베르2차아파트,0.7,0.0167,5.625,0.0445,-0.0889,0.9168
Z28275-검암동,84,3,880,검암서해그랑블,0.66,1.0,4.4583,-0.0055,0.1449,0.7944
Z28275-가정동,84,1,915,루원시티프라디움아파트,0.8077,0.85,27.625,0.0,0.0788,0.9755
Z28275-가정동,84,2,912,루원시티 SK리더스뷰,0.7846,0.75,51.875,0.284,1.0339,0.356
Z28275-가정동,84,3,928,루원시티대성베르힐,0.6338,0.2167,17.875,-0.0207,0.0003,0.9562
Z28275-청라동,84,1,962,청라호수공원 한신더휴아파트,0.8056,0.7667,18.375,,0.5549,0.9412
Z28275-청라동,84,2,966,청라제일풍경채2차에듀앤파크,0.7972,0.8333,27.25,0.0355,0.2623,0.9066
Z28275-청라동,84,3,1001,청라29블럭 호반베르디움,0.7056,0.15,35.9583,0.0081,-0.0592,0.9572
Z28290-마전동,84,1,1093,검단우방아이유쉘아파트,0.9212,1.0,16.5417,0.036,0.182,0.9344
Z28290-마전동,84,2,1109,검단자이2단지,0.7333,0.0667,6.6667,0.069,0.0861,0.7772
Z28290-마전동,84,3,1014,검단2차 우방아이유쉘아파트,0.7273,0.9667,3.9583,0.0205,0.2215,0.9253
Z28290-당하동,84,1,1054,파라곤 센트럴파크,0.7969,0.0667,26.9167,0.2064,0.3895,0.8816
Z28290-당하동,84,2,1088,검단호반써밋1차,0.7939,0.85,20.9583,0.1845,0.6972,0.6606
Z28290-당하동,84,3,1086,검단푸르지오더베뉴,0.7488,0.8333,22.7083,-0.0303,0.0062,0.9815
Z11440-창전동,84,1,1169,인왕산아이파크,0.7667,0.2167,14.0,0.1158,0.0995,0.7712
Z11440-창전동,84,2,2684,마포 아이파크 포레 아파트,0.6956,0.9,13.25,-0.0484,0.0592,0.8635
Z11440-창전동,84,3,2697,마포 웨스트리버 태영데시앙아파트,0.5933,0.6167,5.0,-0.0501,0.277,0.8058
Z11140-황학동,84,1,1148,창신두산,0.6667,0.58,4.4583,0.1443,0.1547,0.6298
Z11140-황학동,84,2,1326,성동삼성쉐르빌,0.625,0.34,5.3333,,-0.0099,0.8838
Z11140-황학동,84,3,1827,삼선푸르지오아파트,0.5667,0.02,12.0833,0.0,-0.0571,0.926
Z11440-공덕동,84,1,2674,마포프레스티지자이아파트,0.7477,0.8,11.5833,0.0883,0.2328,0.5147
Z11440-공덕동,84,2,1155,경희궁자이3단지,0.734,0.8333,8.9583,0.0605,-0.0187,0.9008
Z11440-공덕동,84,3,2623,마포래미안푸르지오,0.7169,0.4,38.0833,0.0275,0.0715,0.7025
Z11590-상도동,84,1,3588,아크로 리버하임,0.8092,0.8833,16.375,0.0875,0.2308,0.8521
Z11590-상도동,84,2,3595,흑석한강센트레빌,0.7918,0.1667,27.25,0.0227,0.0218,0.9153
Z11590-상도동,84,3,3553,상도파크자이 아파트,0.7036,0.1,6.875,0.0974,-0.0078,0.8876
Z11170-이촌동,84,1,1280,한강대우,0.75,0.8421,6.4167,0.0,0.2882,0.9055
Z11170-이촌동,84,2,1282,한가람아파트,0.75,0.8947,7.0417,-0.0726,0.045,0.9088
Z11170-이촌동,84,3,1281,이촌강촌아파트,0.35,0.807,5.7917,-0.0687,-0.1252,0.7607
Z11200-행당동,84,1,1362,e편한세상금호파크힐스,0.8209,0.05,12.6667,0.0102,0.0968,0.9355
Z11200-행당동,84,2,1367,신금호파크자이아파트,0.7537,0.0333,6.4167,0.0403,0.151,0.8794
Z11200-행당동,84,3,1342,서울숲리버뷰자이아파트,0.7476,0.9833,13.7917,-0.005,0.1444,0.8531
Z11200-성수동1가,84,1,1417,강변건영,0.8,0.9811,6.7083,0.005,0.0206,0.9272
Z11200-성수동1가,84,2,1404,트리마제,0.6333,1.0,7.9167,0.0,-0.1295,0.7571
Z11200-성수동1가,84,3,1411,서울숲대림아파트,0.2667,0.7547,3.75,-0.0613,0.171,-0.0963
Z11260-면목동,84,1,1610,동대문더퍼스트데시앙아파트,0.83,0.0167,6.0417,0.0833,0.1487,0.9203
Z11260-면목동,84,2,1617,래미안장안2차,0.787,0.1667,22.5,0.0,0.1949,0.8891
Z11260-면목동,84,3,1699,면목현대,0.7444,0.0,10.0833,0.0301,0.0207,0.9173
Z11215-자양동,84,1,1479,광장현대파크빌,0.7865,0.0333,18.5,0.0004,0.0142,0.9403
Z11215-자양동,84,2,1449,래미안 구의 파크스위트 아파트,0.7532,0.0167,7.5833,0.1118,0.0495,0.8608
Z11215-자양동,84,3,1458,구의현대2단지,0.7365,0.0167,22.25,-0.0103,0.1812,0.841
Z11230-답십리동,84,1,1541,e편한세상 청계 센트럴포레,0.8523,0.6167,7.5,,0.0723,0.9604
Z11230-답십리동,84,2,1665,이문쌍용,0.704,0.0,10.0833,0.003,-0.0136,0.922
Z11230-답십리동,84,3,1563,래미안크레시티,0.7025,0.7833,24.9583,-0.053,0.212,0.8692
Z11350-공릉동,84,1,1739,e편한세상화랑대아파트,0.8222,0.95,8.2917,0.0218,0.0779,0.9067
Z11350-공릉동,84,2,2134,월계풍림아이원,0.7357,0.0667,6.0,0.0591,0.1068,0.8282
Z11350-공릉동,84,3,1716,한일써너스빌아파트,0.7102,0.0667,5.375,0.1018,0.1218,0.7775
Z11290-정릉동,84,1,1933,꿈의숲아이파크아파트,0.8304,0.7833,18.0417,0.1004,-0.0036,0.9222
Z11290-정릉동,84,2,1935,래미안퍼스트하이,0.8114,0.45,23.6667,0.0261,0.3136,0.8588
Z11290-정릉동,84,3,1945,석관두산,0.7874,0.0,15.5417,0.0684,0.0417,0.9238
Z11305-번동,84,1,2003,수유극동아파트,0.7314,0.1356,4.9167,0.0247,0.0271,0.9193
Z11305-번동,84,2,1993,해모로,0.6429,0.322,3.0417,,-0.0216,0.9533
Z11305-번동,84,3,1990,수유역두산위브,0.6057,0.8983,3.5417,0.0175,-0.0636,0.842
Z11350-상계동,84,1,2324,중계한화꿈에그린,0.8346,0.0,10.5,,0.0633,0.9214
Z11350-상계동,84,2,2238,노원 센트럴푸르지오,0.7275,0.05,5.7083,-0.0671,0.1314,0.9283
Z11350-상계동,84,3,2329,중계건영2차,0.7075,0.0,3.2917,0.0263,0.1144,0.9029
Z11410-홍제동,84,1,2594,DMC래미안e편한세상,0.8499,0.3333,42.25,0.0191,0.1329,0.9173
Z11410-홍제동,84,2,2370,래미안베라힐즈,0.8097,0.0667,18.7083,0.0273,0.0958,0.9109
Z11410-홍제동,84,3,2423,녹번역e편한세상캐슬,0.8064,0.4,23.5417,-0.0196,0.1111,0.9645
Z11380-불광동,84,1,2393,북한산힐스테이트7차,0.897,0.9333,9.625,0.0211,0.1265,0.8705
Z11380-불광동,84,2,2388,북한산힐스테이트3차아파트,0.7354,0.6833,10.25,-0.0425,0.067,0.8632
Z11380-불광동,84,3,2391,북한산현대홈타운,0.6889,0.3333,5.0417,-0.0168,0.0983,0.8453
Z11440-상암동,84,1,2747,상암월드컵파크7단지,0.7396,0.1833,8.9583,0.0154,0.0115,0.9266
Z11440-상암동,84,2,2744,상암월드컵파크6단지,0.6121,0.4333,3.6667,0.0282,-0.0315,0.8835
Z11440-상암동,84,3,2745,상암월드컵파크3단지,0.6099,0.0,8.4167,0.0153,0.0466,0.9305
Z11380-진관동,84,1,6687,지축역 한림풀에버,0.72,0.0333,20.0833,0.0386,0.0417,0.9738
Z11380-진관동,84,2,6689,지축역센트럴푸르지오,0.72,0.9667,18.75,0.0017,-0.0108,0.9158
Z11380-진관동,84,3,6686,지축역중흥S클래스 북한산파크뷰,0.6,0.0667,15.25,0.2094,0.9477,0.4535
Z11560-당산동4가,84,1,3416,당산센트럴아이파크,0.8885,0.8596,7.2917,0.0314,0.2701,0.9411
Z11560-당산동4가,84,2,2692,래미안 웰스트림,0.6769,0.9825,9.875,0.0831,-0.0004,0.4974
Z11560-당산동4가,84,3,3415,당산현대5차,0.6154,0.0175,10.0,-0.0895,0.0638,0.9297
Z11470-신정동,84,1,2764,목동힐스테이트,0.81,0.8596,15.1667,0.0146,0.3274,0.7541
Z11470-신정동,84,2,2766,경남아너스빌,0.6667,0.7193,3.25,,0.1169,0.8449
Z11470-신정동,84,3,2804,신정대림,0.6667,0.1579,5.7917,,0.0512,0.8632
Z11470-목동,84,1,3006,강서힐스테이트아파트,0.8039,0.25,21.7083,0.0297,0.0213,0.9267
Z11470-목동,84,2,3002,우장산아이파크이편한세상,0.7947,0.0,28.375,0.0114,0.1592,0.9391
Z11470-목동,84,3,2961,등촌부영,0.7947,0.0,23.75,0.1343,0.2334,0.8507
Z11470-신월동,84,1,2893,수명산롯데캐슬,0.7607,0.5614,4.2917,-0.0026,0.0118,0.9152
Z11470-신월동,84,2,2882,목동 센트럴 아이파크위브 아파트,0.725,1.0,50.1667,-0.1201,0.1165,0.8855
Z11470-신월동,84,3,2891,신월삼정그린뷰,0.5179,0.0175,2.5833,0.0394,-0.0812,0.8852
Z11500-마곡동,84,1,3056,마곡엠밸리14단지,0.7167,0.5789,3.9583,0.0282,0.1466,0.931
Z11500-마곡동,84,2,3047,마곡힐스테이트,0.6833,0.3333,8.7917,0.0,0.1234,0.9044
Z11500-마곡동,84,3,3052,마곡엠밸리6단지,0.6667,0.7544,5.5833,-0.0073,-0.0179,0.9198
Z11500-방화동,84,1,3096,마곡우림필유아파트,0.775,0.7636,5.2083,-0.044,0.0994,0.8678
Z11500-방화동,84,2,3090,마곡 한진해모로,0.75,0.4364,4.9167,0.0838,0.03,0.8141
Z11500-방화동,84,3,3097,방화동부센트레빌,0.625,0.7455,4.4167,0.056,0.016,0.6564
Z11530-구로동,84,1,6057,광명해모로이연,0.8377,0.0,17.125,0.0021,0.1258,0.9315
Z11530-구로동,84,2,6052,광명아크포레자이위브아파트,0.8153,0.7667,11.4167,0.038,0.2567,0.7612
Z11530-구로동,84,3,3232,개봉한마을,0.7776,0.0333,13.5417,0.01,0.0153,0.9174
Z11530-항동,84,1,5996,옥길브리즈힐,0.7059,0.0,19.2083,0.0004,0.064,0.9296
Z11530-항동,84,2,3283,천왕이펜하우스2단지,0.6444,0.5833,2.4583,0.164,0.261,0.5317
Z11530-항동,84,3,3287,천왕연지타운2단지,0.6431,0.0667,5.625,0.0647,0.2018,0.8403
Z41210-소하동,84,1,6087,e편한세상센트레빌,0.7774,0.0167,40.875,0.0,0.0711,0.9197
Z41210-소하동,84,2,6068,철산역 롯데캐슬 & SK VIEW 클래스티지,0.7339,0.7667,13.5833,,1.1253,0.6911
Z41210-소하동,84,3,6075,철산래미안자이,0.7243,0.0167,24.8333,-0.0156,0.1829,0.8982
Z11560-신길동,84,1,3486,힐스테이트클래시안아파트,0.8677,0.4833,8.125,0.1151,0.1721,0.8999
Z11560-신길동,84,2,3641,대방1차e편한세상,0.8075,0.0167,10.375,0.0736,0.0425,0.8943
Z11560-신길동,84,3,3664,신대방현대,0.7745,0.0,16.0417,0.0182,0.0181,0.9226
Z11620-봉천동,84,1,3625,사당동작삼성래미안아파트,0.7202,0.05,19.7083,0.0087,0.0583,0.887
Z11620-봉천동,84,2,3632,사당우성2단지,0.6313,0.3333,5.4583,0.011,0.0898,0.8847
Z11620-봉천동,84,3,3613,래미안로이파크아파트,0.6303,0.9333,17.375,-0.0122,0.0701,0.8559
Z11620-신림동,84,1,3760,신림푸르지오,0.7889,1.0,11.25,0.0,0.1857,0.8206
Z11620-신림동,84,2,3734,신림2차푸르지오,0.6833,0.4167,3.625,0.0136,0.0607,0.9147
Z11620-신림동,84,3,3741,관악산휴먼시아3단지,0.675,0.1667,25.875,-0.0048,-0.03,0.9411
Z11620-남현동,84,1,3763,남현동한일유앤아이,0.9,1.0,2.2917,0.0005,0.168,0.7769
Z11620-남현동,84,2,3764,남현우림루미아트,0.375,1.0,1.8333,,-0.089,0.657
Z11620-남현동,84,3,3761,예성그랑펠리체아파트,0.2,1.0,1.25,-0.0005,0.0364,0.7147
Z11650-서초동,84,1,3912,래미안리더스원,0.8443,0.95,7.625,0.0272,0.0659,0.8465
Z11650-서초동,84,2,3911,서초그랑자이,0.8109,0.7833,6.3333,0.0454,0.3663,0.8225
Z11650-서초동,84,3,3924,래미안 서초에스티지,0.7943,0.3667,10.7917,-0.0023,0.0509,0.8892
Z11650-잠원동,84,1,3888,래미안퍼스티지,0.8217,0.7667,14.875,0.0643,0.0028,0.901
Z11650-잠원동,84,2,3873,래미안원베일리,0.7188,0.6833,14.1667,,0.8861,0.3664
Z11650-잠원동,84,3,3846,래미안 신반포팰리스,0.7117,0.0167,5.2083,0.0569,0.0487,0.8808
Z11680-역삼동,84,1,4207,잠실엘스아파트,0.826,0.0,52.5,0.0188,0.1958,0.9484
Z11680-역삼동,84,2,4206,잠실리센츠,0.7908,0.0,49.875,0.017,0.1647,0.9457
Z11680-역삼동,84,3,4088,은마,0.7587,0.0667,10.7083,0.0269,0.0713,0.9089
Z11680-세곡동,84,1,4131,세곡푸르지오,0.6,1.0,9.4167,0.0,0.0312,0.9117
Z11680-세곡동,84,2,4132,강남엘에이치1단지,0.5,1.0,4.9583,-0.0336,-0.135,0.9524
